symbol,timeframe,time,open,high,low,close
AAPL,1H,1633012200,143.03,143.13,142.51,143.03
AAPL,1H,1633015800,143.04,143.09,141.33,141.47
AAPL,1H,1633019400,141.46,142.29,141.29,141.84
AAPL,1H,1633023000,141.82,142.72,141.66,142.64
AAPL,1H,1633026600,142.65,142.99,142.31,142.72
AAPL,1H,1633030200,142.7,143.05,141.31,141.36
AAPL,1H,1633095000,141.89,142.04,139.5,139.53
AAPL,1H,1633098600,139.52,140.42,139.13,140.02
AAPL,1H,1633102200,140.02,140.57,139.98,140.49
AAPL,1H,1633105800,140.5,140.9,140.29,140.77
AAPL,1H,1633109400,140.8,141.76,140.8,141.56
AAPL,1H,1633113000,141.57,142.5,141.53,142.24
AAPL,1H,1633116600,142.25,142.91,141.93,142.42
AAPL,1H,1633354200,141.68,142.2,139.88,139.88
AAPL,1H,1633357800,139.86,139.91,138.79,139.07
AAPL,1H,1633361400,139.08,139.39,138.47,138.53
AAPL,1H,1633365000,138.53,138.9,138.27,138.54
AAPL,1H,1633368600,138.56,139.22,138.55,138.76
AAPL,1H,1633372200,138.75,139.31,138.515,138.58
AAPL,1H,1633375800,138.58,139.23,138.475,139.19
AAPL,1H,1633440600,139.63,140.4,139.36,139.87
AAPL,1H,1633444200,139.88,141.27,139.63,141.06
AAPL,1H,1633447800,141.09,141.89,141,141.78
AAPL,1H,1633451400,141.795,142.01,141.6,141.77
AAPL,1H,1633455000,141.76,142.19,141.76,142.05
AAPL,1H,1633458600,142.04,142.22,141.615,141.65
AAPL,1H,1633462200,141.64,141.73,140.92,141.09
AAPL,1H,1633527000,139.53,140.27,138.38,140.02
AAPL,1H,1633530600,140.02,140.67,139.6,139.69
AAPL,1H,1633534200,139.73,140.45,139.66,139.83
AAPL,1H,1633537800,139.79,140.42,139.57,140.42
AAPL,1H,1633541400,140.43,141.43,140.35,141.43
AAPL,1H,1633545000,141.41,141.65,141.1,141.47
AAPL,1H,1633548600,141.47,142.145,141.12,142
AAPL,1H,1633613400,143.03,144.21,142.72,143.96
AAPL,1H,1633617000,143.965,144.18,143.555,143.83
AAPL,1H,1633620600,143.84,144.15,143.63,143.84
AAPL,1H,1633624200,143.86,144.16,143.72,144.07
AAPL,1H,1633627800,144.08,144.17,143.64,143.73
AAPL,1H,1633631400,143.75,143.82,143.43,143.79
AAPL,1H,1633635000,143.77,143.835,143,143.285
AAPL,1H,1633699800,144.08,144.16,143.08,143.7
AAPL,1H,1633703400,143.76,143.85,143.07,143.31
AAPL,1H,1633707000,143.3,143.35,142.84,142.86
AAPL,1H,1633710600,142.86,143.24,142.56,142.68
AAPL,1H,1633714200,142.65,143.33,142.64,143.29
AAPL,1H,1633717800,143.3,143.4,142.99,143.3
AAPL,1H,1633721400,143.3,143.3,142.79,143.02
AAPL,1H,1633959000,142.26,144.8,141.82,144.69
AAPL,1H,1633962600,144.73,144.74,144.2,144.44
AAPL,1H,1633966200,144.44,144.645,144,144.09
AAPL,1H,1633969800,144.04,144.12,143.5,143.55
AAPL,1H,1633973400,143.54,143.83,143.39,143.59
AAPL,1H,1633977000,143.59,143.66,143.14,143.18
AAPL,1H,1633980600,143.17,143.27,142.76,142.8
AAPL,1H,1634045400,143.21,143.21,141.54,141.79
AAPL,1H,1634049000,141.8,142.18,141.42,142
AAPL,1H,1634052600,142.02,142.98,141.76,142.48
AAPL,1H,1634056200,142.49,142.51,141.63,141.87
AAPL,1H,1634059800,141.88,142.48,141.81,142.25
AAPL,1H,1634063400,142.26,142.26,141.7,141.81
AAPL,1H,1634067000,141.8,141.88,141.05,141.46
AAPL,1H,1634131800,141.24,141.39,139.51,139.67
AAPL,1H,1634135400,139.63,140.1,139.52,139.61
AAPL,1H,1634139000,139.58,140.14,139.2,140.11
AAPL,1H,1634142600,140.1,140.44,139.83,140.43
AAPL,1H,1634146200,140.42,140.99,140.29,140.46
AAPL,1H,1634149800,140.51,140.69,140.195,140.43
AAPL,1H,1634153400,140.42,141.03,140.42,140.94
AAPL,1H,1634218200,142.11,143.28,141.52,142.96
AAPL,1H,1634221800,142.98,143.1,142.64,142.88
AAPL,1H,1634225400,142.9,143.58,142.88,143.29
AAPL,1H,1634229000,143.29,143.64,143.26,143.47
AAPL,1H,1634232600,143.49,143.74,143.45,143.73
AAPL,1H,1634236200,143.73,143.88,143.57,143.61
AAPL,1H,1634239800,143.61,143.83,143.345,143.75
AAPL,1H,1634304600,143.77,144.68,143.51,143.84
AAPL,1H,1634308200,143.85,144.44,143.83,144.2
AAPL,1H,1634311800,144.2,144.25,143.66,143.88
AAPL,1H,1634315400,143.855,144.3,143.845,144.26
AAPL,1H,1634319000,144.25,144.61,144.25,144.51
AAPL,1H,1634322600,144.51,144.67,144.295,144.67
AAPL,1H,1634326200,144.67,144.89,144.36,144.83
AAPL,1H,1634563800,143.445,144.67,143.19,144.48
AAPL,1H,1634567400,144.49,145.51,144.19,145.4
AAPL,1H,1634571000,145.41,145.51,145.125,145.28
AAPL,1H,1634574600,145.27,146.03,144.965,145.86
AAPL,1H,1634578200,145.83,146.05,145.695,145.78
AAPL,1H,1634581800,145.79,146.79,145.79,146.62
AAPL,1H,1634585400,146.62,146.83,146.45,146.55
AAPL,1H,1634650200,147.01,148.81,146.55,148.76
AAPL,1H,1634653800,148.77,149.17,148.24,148.39
AAPL,1H,1634657400,148.37,148.75,148.22,148.75
AAPL,1H,1634661000,148.79,149.04,148.5,148.89
AAPL,1H,1634664600,148.91,148.98,148.48,148.54
AAPL,1H,1634668200,148.55,148.83,148.33,148.455
AAPL,1H,1634671800,148.45,148.82,148.26,148.78
AAPL,1H,1634736600,148.73,149.75,148.71,149.45
AAPL,1H,1634740200,149.44,149.48,149.07,149.45
AAPL,1H,1634743800,149.45,149.74,149.16,149.18
