symbol,timeframe,time,open,high,low,close
AAPL,1D,345479400,0.128348,0.128348,0.128348,0.128348
AAPL,1D,345738600,0.121652,0.121652,0.121652,0.121652
AAPL,1D,345825000,0.112723,0.112723,0.112723,0.112723
AAPL,1D,345911400,0.115513,0.115513,0.115513,0.115513
AAPL,1D,345997800,0.118861,0.118861,0.118861,0.118861
AAPL,1D,346084200,0.126116,0.126116,0.126116,0.126116
AAPL,1D,346343400,0.132254,0.132254,0.132254,0.132254
AAPL,1D,346429800,0.137835,0.137835,0.137835,0.137835
AAPL,1D,346516200,0.145089,0.145089,0.145089,0.145089
AAPL,1D,346689000,0.158482,0.158482,0.158482,0.158482
AAPL,1D,346948200,0.160714,0.160714,0.160714,0.160714
AAPL,1D,347034600,0.156808,0.156808,0.156808,0.156808
AAPL,1D,347121000,0.152344,0.152344,0.152344,0.152344
AAPL,1D,347293800,0.154018,0.154018,0.154018,0.154018
AAPL,1D,347553000,0.150669,0.150669,0.150669,0.150669
AAPL,1D,347639400,0.143973,0.143973,0.143973,0.143973
AAPL,1D,347725800,0.137835,0.137835,0.137835,0.137835
AAPL,1D,347812200,0.135045,0.135045,0.135045,0.135045
AAPL,1D,347898600,0.142299,0.142299,0.142299,0.142299
AAPL,1D,348157800,0.141183,0.141183,0.141183,0.141183
AAPL,1D,348244200,0.136161,0.136161,0.136161,0.136161
AAPL,1D,348330600,0.136719,0.136719,0.136719,0.136719
AAPL,1D,348417000,0.139509,0.139509,0.139509,0.139509
AAPL,1D,348503400,0.138393,0.138393,0.138393,0.138393
AAPL,1D,348762600,0.146763,0.146763,0.146763,0.146763
AAPL,1D,348849000,0.142299,0.142299,0.142299,0.142299
AAPL,1D,348935400,0.145089,0.145089,0.145089,0.145089
AAPL,1D,349021800,0.146763,0.146763,0.146763,0.146763
AAPL,1D,349108200,0.146205,0.146205,0.146205,0.146205
AAPL,1D,349367400,0.143973,0.143973,0.143973,0.143973
AAPL,1D,349453800,0.142857,0.142857,0.142857,0.142857
AAPL,1D,349540200,0.138393,0.138393,0.138393,0.138393
AAPL,1D,349626600,0.13337,0.13337,0.13337,0.13337
AAPL,1D,349713000,0.126116,0.126116,0.126116,0.126116
AAPL,1D,349972200,0.118861,0.118861,0.118861,0.118861
AAPL,1D,350058600,0.123326,0.123326,0.123326,0.123326
AAPL,1D,350145000,0.12779,0.12779,0.12779,0.12779
AAPL,1D,350231400,0.12779,0.12779,0.12779,0.12779
AAPL,1D,350317800,0.128348,0.128348,0.128348,0.128348
AAPL,1D,350577000,0.121652,0.121652,0.121652,0.121652
AAPL,1D,350663400,0.121652,0.121652,0.121652,0.121652
AAPL,1D,350749800,0.117745,0.117745,0.117745,0.117745
AAPL,1D,350836200,0.116629,0.116629,0.116629,0.116629
AAPL,1D,350922600,0.113839,0.113839,0.113839,0.113839
AAPL,1D,351268200,0.116629,0.116629,0.116629,0.116629
AAPL,1D,351354600,0.121652,0.121652,0.121652,0.121652
AAPL,1D,351441000,0.114397,0.114397,0.114397,0.114397
AAPL,1D,351527400,0.108259,0.108259,0.108259,0.108259
AAPL,1D,351786600,0.109933,0.109933,0.109933,0.109933
AAPL,1D,351873000,0.106027,0.106027,0.106027,0.106027
AAPL,1D,351959400,0.112723,0.112723,0.112723,0.112723
AAPL,1D,352045800,0.114397,0.114397,0.114397,0.114397
AAPL,1D,352132200,0.118303,0.118303,0.118303,0.118303
AAPL,1D,352391400,0.118861,0.118861,0.118861,0.118861
AAPL,1D,352477800,0.117187,0.117187,0.117187,0.117187
AAPL,1D,352564200,0.116071,0.116071,0.116071,0.116071
AAPL,1D,352650600,0.115513,0.115513,0.115513,0.115513
AAPL,1D,352737000,0.114397,0.114397,0.114397,0.114397
AAPL,1D,352996200,0.105469,0.105469,0.105469,0.105469
AAPL,1D,353082600,0.100446,0.100446,0.100446,0.100446
AAPL,1D,353169000,0.09654,0.09654,0.09654,0.09654
AAPL,1D,353255400,0.100446,0.100446,0.100446,0.100446
AAPL,1D,353341800,0.09933,0.09933,0.09933,0.09933
AAPL,1D,353601000,0.103237,0.103237,0.103237,0.103237
AAPL,1D,353687400,0.108259,0.108259,0.108259,0.108259
AAPL,1D,353773800,0.114955,0.114955,0.114955,0.114955
AAPL,1D,353860200,0.113839,0.113839,0.113839,0.113839
AAPL,1D,353946600,0.114955,0.114955,0.114955,0.114955
AAPL,1D,354205800,0.11942,0.11942,0.11942,0.11942
AAPL,1D,354292200,0.118861,0.118861,0.118861,0.118861
AAPL,1D,354378600,0.116629,0.116629,0.116629,0.116629
AAPL,1D,354465000,0.114397,0.114397,0.114397,0.114397
AAPL,1D,354551400,0.110491,0.110491,0.110491,0.110491
AAPL,1D,354810600,0.110491,0.110491,0.110491,0.110491
AAPL,1D,354897000,0.109375,0.109375,0.109375,0.109375
AAPL,1D,354983400,0.108259,0.108259,0.108259,0.108259
AAPL,1D,355069800,0.117745,0.117745,0.117745,0.117745
AAPL,1D,355156200,0.118303,0.118303,0.118303,0.118303
AAPL,1D,355415400,0.116071,0.116071,0.116071,0.116071
AAPL,1D,355501800,0.114955,0.114955,0.114955,0.114955
AAPL,1D,355588200,0.120536,0.120536,0.120536,0.120536
AAPL,1D,355674600,0.122768,0.122768,0.122768,0.122768
AAPL,1D,355761000,0.124442,0.124442,0.124442,0.124442
AAPL,1D,356020200,0.124442,0.124442,0.124442,0.124442
AAPL,1D,356106600,0.124442,0.124442,0.124442,0.124442
AAPL,1D,356193000,0.118303,0.118303,0.118303,0.118303
AAPL,1D,356279400,0.111607,0.111607,0.111607,0.111607
AAPL,1D,356625000,0.114955,0.114955,0.114955,0.114955
AAPL,1D,356711400,0.122768,0.122768,0.122768,0.122768
AAPL,1D,356797800,0.127232,0.127232,0.127232,0.127232
AAPL,1D,356884200,0.13058,0.13058,0.13058,0.13058
AAPL,1D,356970600,0.129464,0.129464,0.129464,0.129464
AAPL,1D,357226200,0.128348,0.128348,0.128348,0.128348
AAPL,1D,357312600,0.126116,0.126116,0.126116,0.126116
AAPL,1D,357399000,0.124442,0.124442,0.124442,0.124442
AAPL,1D,357485400,0.126674,0.126674,0.126674,0.126674
AAPL,1D,357571800,0.126674,0.126674,0.126674,0.126674
AAPL,1D,357831000,0.126116,0.126116,0.126116,0.126116
AAPL,1D,357917400,0.125558,0.125558,0.125558,0.125558
AAPL,1D,358003800,0.12221,0.12221,0.12221,0.12221
AAPL,1D,358090200,0.123884,0.123884,0.123884,0.123884
AAPL,1D,358176600,0.125,0.125,0.125,0.125
AAPL,1D,358435800,0.12221,0.12221,0.12221,0.12221
AAPL,1D,358522200,0.12221,0.12221,0.12221,0.12221
AAPL,1D,358608600,0.121652,0.121652,0.121652,0.121652
AAPL,1D,358695000,0.119978,0.119978,0.119978,0.119978
AAPL,1D,358781400,0.122768,0.122768,0.122768,0.122768
AAPL,1D,359040600,0.125,0.125,0.125,0.125
AAPL,1D,359127000,0.122768,0.122768,0.122768,0.122768
AAPL,1D,359213400,0.126674,0.126674,0.126674,0.126674
