symbol,timeframe,time,open,high,low,close
AAPL,1H,1294065000,11.629988,11.783203,11.606774,11.753203
AAPL,1H,1294068600,11.753203,11.787131,11.746417,11.780345
AAPL,1H,1294072200,11.780345,11.792845,11.767488,11.774631
AAPL,1H,1294075800,11.774274,11.777488,11.761417,11.776417
AAPL,1H,1294079400,11.776417,11.794631,11.758917,11.762131
AAPL,1H,1294083000,11.762488,11.773917,11.724631,11.745345
AAPL,1H,1294086600,11.744988,11.774274,11.742845,11.770345
AAPL,1H,1294151400,11.874274,11.874274,11.795702,11.816774
AAPL,1H,1294155000,11.814274,11.821595,11.773203,11.778917
AAPL,1H,1294158600,11.774274,11.796417,11.720703,11.733917
AAPL,1H,1294162200,11.733917,11.780345,11.722131,11.775345
AAPL,1H,1294165800,11.774988,11.820702,11.764274,11.815702
AAPL,1H,1294169400,11.815702,11.82356,11.781417,11.817131
AAPL,1H,1294173000,11.817131,11.834274,11.79606,11.83106
AAPL,1H,1294237800,11.782131,11.864988,11.771417,11.850702
AAPL,1H,1294241400,11.85356,11.887845,11.849452,11.884631
AAPL,1H,1294245000,11.884274,11.919274,11.882845,11.919274
AAPL,1H,1294248600,11.92106,11.939274,11.916774,11.935702
AAPL,1H,1294252200,11.935345,11.937488,11.917488,11.921774
AAPL,1H,1294255800,11.920702,11.939631,11.910702,11.928202
AAPL,1H,1294259400,11.930345,11.933917,11.914988,11.92856
AAPL,1H,1294324200,11.963202,11.969988,11.914274,11.963917
AAPL,1H,1294327800,11.963917,11.972845,11.926417,11.959988
AAPL,1H,1294331400,11.957845,11.959988,11.938917,11.942845
AAPL,1H,1294335000,11.939274,11.943559,11.918202,11.929988
AAPL,1H,1294338600,11.933202,11.948381,11.925345,11.930345
AAPL,1H,1294342200,11.931417,11.932845,11.889988,11.902488
AAPL,1H,1294345800,11.90356,11.929988,11.898202,11.922131
AAPL,1H,1294410600,11.932845,11.966774,11.874274,11.965345
AAPL,1H,1294414200,11.966417,11.985345,11.923202,11.92606
AAPL,1H,1294417800,11.924274,11.933917,11.89606,11.911417
AAPL,1H,1294421400,11.907845,11.926417,11.854631,11.914631
AAPL,1H,1294425000,11.914988,11.936774,11.907845,11.929988
AAPL,1H,1294428600,11.92356,11.974988,11.921417,11.964274
AAPL,1H,1294432200,11.965345,12.011774,11.958917,12.007488
AAPL,1H,1294669800,12.099274,12.172131,12.042845,12.131416
AAPL,1H,1294673400,12.134274,12.150702,12.111059,12.118916
AAPL,1H,1294677000,12.117845,12.191416,12.116059,12.181774
AAPL,1H,1294680600,12.180345,12.207131,12.174631,12.199988
AAPL,1H,1294684200,12.200702,12.216416,12.192131,12.203559
AAPL,1H,1294687800,12.202845,12.236773,12.190702,12.233202
AAPL,1H,1294691400,12.233559,12.257488,12.225702,12.226773
AAPL,1H,1294756200,12.317131,12.319631,12.192131,12.237131
AAPL,1H,1294759800,12.236773,12.252845,12.178559,12.213916
AAPL,1H,1294763400,12.222845,12.256059,12.188202,12.197488
AAPL,1H,1294767000,12.200345,12.212131,12.166774,12.178559
AAPL,1H,1294770600,12.177845,12.191774,12.124274,12.168202
AAPL,1H,1294774200,12.170345,12.192488,12.153916,12.181059
AAPL,1H,1294777800,12.179631,12.199988,12.171774,12.199631
AAPL,1H,1294842600,12.259273,12.268202,12.215166,12.246773
AAPL,1H,1294846200,12.246416,12.295702,12.244273,12.275702
AAPL,1H,1294849800,12.274988,12.279631,12.259273,12.277845
AAPL,1H,1294853400,12.277131,12.277131,12.257488,12.272488
