symbol,timeframe,time,open,high,low,close
AAPL,1M,344529000,0.128348,0.160714,0.112723,0.152344
AAPL,1M,347207400,0.154018,0.154018,0.126116,0.126116
AAPL,1M,349972200,0.118861,0.128348,0.106027,0.118303
AAPL,1M,352391400,0.118861,0.11942,0.09654,0.109375
AAPL,1M,354983400,0.108259,0.13058,0.108259,0.126674
AAPL,1M,357571800,0.126674,0.147879,0.119978,0.147879
AAPL,1M,360250200,0.147879,0.147879,0.116071,0.116071
AAPL,1M,362842200,0.114955,0.116629,0.09933,0.111607
AAPL,1M,365693400,0.110491,0.115513,0.084263,0.089844
AAPL,1M,368199000,0.095424,0.097098,0.063616,0.06808
AAPL,1M,370791000,0.06808,0.089286,0.06808,0.089286
AAPL,1M,373559400,0.089286,0.089286,0.079799,0.083147
AAPL,1M,376065000,0.083147,0.10212,0.080915,0.098772
AAPL,1M,378743400,0.098214,0.098214,0.079799,0.09096
AAPL,1M,381421800,0.089844,0.090402,0.081473,0.081473
AAPL,1M,383841000,0.082031,0.082031,0.063058,0.075335
AAPL,1M,386519400,0.079241,0.079241,0.06529,0.065848
AAPL,1M,389280600,0.06808,0.072545,0.0625,0.0625
AAPL,1M,391786200,0.061384,0.0625,0.05692,0.05692
AAPL,1M,394378200,0.056362,0.064174,0.049107,0.060268
AAPL,1M,397143000,0.061942,0.080357,0.054687,0.080357
AAPL,1M,399735000,0.078125,0.084263,0.077567,0.081473
AAPL,1M,402327000,0.082589,0.11942,0.080357,0.113281
AAPL,1M,405009000,0.113281,0.151786,0.112165,0.142299
AAPL,1M,407601000,0.142299,0.155692,0.123326,0.13337
AAPL,1M,410452200,0.13337,0.1875,0.121652,0.182477
AAPL,1M,412957800,0.182477,0.217076,0.179687,0.203683
AAPL,1M,415377000,0.203683,0.210937,0.179129,0.188616
AAPL,1M,418055400,0.188616,0.235491,0.172433,0.225446
AAPL,1M,420730200,0.225446,0.272321,0.212611,0.257812
AAPL,1M,423322200,0.257812,0.282366,0.204241,0.218192
AAPL,1M,425914200,0.218192,0.222098,0.151228,0.155692
AAPL,1M,428592600,0.155692,0.166294,0.133928,0.166294
AAPL,1M,431271000,0.166294,0.177455,0.098772,0.103237
AAPL,1M,434035800,0.103237,0.107143,0.079799,0.101004
AAPL,1M,436545000,0.101004,0.107701,0.077009,0.09096
AAPL,1M,439137000,0.09096,0.112723,0.08817,0.108817
AAPL,1M,441901800,0.108817,0.131696,0.103237,0.110491
AAPL,1M,444493800,0.110491,0.123326,0.099888,0.117187
AAPL,1M,446999400,0.117187,0.125,0.109375,0.110491
AAPL,1M,449764200,0.110491,0.140067,0.102678,0.140067
AAPL,1M,452266200,0.141741,0.15346,0.125,0.131138
AAPL,1M,454944600,0.131138,0.137277,0.108259,0.118303
AAPL,1M,457623000,0.118303,0.123326,0.108259,0.113839
AAPL,1M,460215000,0.113839,0.137835,0.107143,0.118303
AAPL,1M,463066200,0.118303,0.129464,0.108259,0.112165
AAPL,1M,465485400,0.111607,0.12221,0.100446,0.111049
AAPL,1M,468167400,0.111049,0.118303,0.097098,0.110491
AAPL,1M,470932200,0.110491,0.13058,0.105469,0.130022
AAPL,1M,473437800,0.130022,0.138951,0.122768,0.129464
AAPL,1M,476116200,0.129464,0.137277,0.107143,0.110491
AAPL,1M,478535400,0.110491,0.116071,0.092076,0.098772
AAPL,1M,481213800,0.098772,0.102678,0.085937,0.094866
AAPL,1M,483802200,0.094866,0.09933,0.073103,0.077567
AAPL,1M,486653400,0.075893,0.082589,0.063616,0.080357
AAPL,1M,489072600,0.080357,0.081473,0.07087,0.07087
AAPL,1M,491751000,0.07087,0.071987,0.063616,0.066964
AAPL,1M,494515800,0.066964,0.077009,0.06529,0.070312
AAPL,1M,497021400,0.070312,0.085937,0.064732,0.083147
AAPL,1M,499703400,0.083147,0.092634,0.082031,0.089844
AAPL,1M,502381800,0.089844,0.10212,0.085937,0.098214
AAPL,1M,504973800,0.098214,0.110491,0.097098,0.103237
AAPL,1M,507825000,0.103237,0.11942,0.10212,0.111607
AAPL,1M,510244200,0.111607,0.132254,0.108259,0.126116
AAPL,1M,512749800,0.126116,0.146205,0.117187,0.135045
AAPL,1M,515338200,0.135045,0.167411,0.132812,0.165178
AAPL,1M,518103000,0.165178,0.174665,0.145089,0.160156
AAPL,1M,520608600,0.160156,0.168527,0.133928,0.139509
AAPL,1M,523287000,0.139509,0.169643,0.136719,0.165178
AAPL,1M,525965400,0.165178,0.165736,0.141183,0.149553
AAPL,1M,528557400,0.149553,0.157366,0.143973,0.154576
AAPL,1M,531412200,0.154576,0.184152,0.151228,0.178571
AAPL,1M,533831400,0.178571,0.19587,0.174665,0.180803
AAPL,1M,536509800,0.180803,0.25558,0.179129,0.247768
AAPL,1M,539274600,0.247768,0.318638,0.230469,0.3125
AAPL,1M,541693800,0.3125,0.314732,0.277902,0.287946
AAPL,1M,544285800,0.287946,0.357143,0.27846,0.353794
AAPL,1M,546874200,0.353794,0.367187,0.32366,0.352678
AAPL,1M,549552600,0.352678,0.38616,0.339285,0.361607
AAPL,1M,552144600,0.361607,0.399553,0.325893,0.368303
AAPL,1M,554995800,0.368303,0.484375,0.357143,0.482142
AAPL,1M,557501400,0.482142,0.524553,0.433035,0.504464
AAPL,1M,560093400,0.504464,0.533482,0.246652,0.344866
AAPL,1M,562861800,0.344866,0.357143,0.272321,0.294643
AAPL,1M,565367400,0.294643,0.390625,0.265625,0.375
AAPL,1M,568045800,0.377232,0.412946,0.341518,0.370535
AAPL,1M,570724200,0.370535,0.390625,0.337053,0.383928
AAPL,1M,573229800,0.383928,0.426339,0.345982,0.357143
AAPL,1M,575908200,0.357143,0.378348,0.34375,0.366071
AAPL,1M,578583000,0.366071,0.385044,0.333705,0.370535
AAPL,1M,581175000,0.370535,0.41741,0.368303,0.412946
AAPL,1M,583767000,0.412946,0.424107,0.377232,0.396205
AAPL,1M,586445400,0.396205,0.408482,0.350446,0.356026
AAPL,1M,589123800,0.35491,0.395089,0.337053,0.38616
AAPL,1M,591888600,0.38616,0.38616,0.334821,0.344866
AAPL,1M,594397800,0.344866,0.35491,0.316964,0.335937
AAPL,1M,596989800,0.335937,0.375,0.334821,0.359375
AAPL,1M,599754600,0.359375,0.392857,0.328125,0.337053
AAPL,1M,602346600,0.337053,0.359375,0.316964,0.32366
AAPL,1M,604765800,0.32366,0.325893,0.299107,0.31808
AAPL,1M,607613400,0.31808,0.371651,0.302455,0.348214
AAPL,1M,610032600,0.348214,0.4375,0.34375,0.426339
AAPL,1M,612711000,0.426339,0.44866,0.352678,0.368303
AAPL,1M,615475800,0.368303,0.375,0.337053,0.35491
AAPL,1M,617981400,0.35491,0.408482,0.350446,0.397321
AAPL,1M,620659800,0.397321,0.41741,0.383928,0.397321
AAPL,1M,623338200,0.397321,0.449776,0.379464,0.415178
AAPL,1M,625933800,0.415178,0.421875,0.379464,0.395089
AAPL,1M,628525800,0.395089,0.408482,0.290178,0.314732
AAPL,1M,631204200,0.314732,0.345982,0.28683,0.303571
AAPL,1M,633882600,0.303571,0.314732,0.287946,0.303571
AAPL,1M,636301800,0.303571,0.387276,0.296875,0.359375
AAPL,1M,639063000,0.359375,0.395089,0.340401,0.351562
AAPL,1M,641568600,0.351562,0.381696,0.345982,0.368303
AAPL,1M,644247000,0.368303,0.400669,0.334821,0.399553
AAPL,1M,646925400,0.397321,0.426339,0.357143,0.375
AAPL,1M,649517400,0.375,0.390625,0.299107,0.330357
AAPL,1M,652368600,0.330357,0.334821,0.243303,0.258928
AAPL,1M,654787800,0.26116,0.285714,0.216518,0.274553
AAPL,1M,657469800,0.274553,0.34375,0.265625,0.328125
AAPL,1M,660234600,0.330357,0.404017,0.330357,0.383928
AAPL,1M,662740200,0.383928,0.5,0.375,0.495535
AAPL,1M,665418600,0.495535,0.555803,0.488839,0.51116
AAPL,1M,667837800,0.51116,0.627232,0.508928,0.607142
AAPL,1M,670516200,0.607142,0.654017,0.488839,0.491071
AAPL,1M,673104600,0.4375,0.47991,0.392857,0.419642
AAPL,1M,675955800,0.419642,0.441964,0.359375,0.370535
AAPL,1M,678375000,0.372767,0.430803,0.372767,0.412946
AAPL,1M,681053400,0.412946,0.495535,0.408482,0.473214
AAPL,1M,683818200,0.473214,0.477678,0.415178,0.441964
AAPL,1M,686323800,0.441964,0.502232,0.415178,0.459821
AAPL,1M,689005800,0.459821,0.493303,0.424107,0.453125
AAPL,1M,691684200,0.453125,0.517857,0.433035,0.503348
AAPL,1M,694276200,0.497767,0.616071,0.495535,0.578124
AAPL,1M,697127400,0.578124,0.624999,0.551339,0.602678
AAPL,1M,699546600,0.60491,0.611607,0.515624,0.520089
AAPL,1M,702138600,0.51116,0.546874,0.473214,0.53683
AAPL,1M,704727000,0.535714,0.564732,0.520089,0.533482
AAPL,1M,707405400,0.51116,0.531249,0.381696,0.428571
AAPL,1M,709997400,0.428571,0.441964,0.388392,0.41741
AAPL,1M,712848600,0.41741,0.421875,0.370535,0.410714
AAPL,1M,715354200,0.412946,0.446428,0.390625,0.402901
AAPL,1M,717946200,0.399553,0.482142,0.370535,0.46875
AAPL,1M,720714600,0.46875,0.531249,0.459821,0.513392
AAPL,1M,723220200,0.51116,0.546874,0.486607,0.533482
AAPL,1M,725898600,0.531249,0.582589,0.51116,0.531249
AAPL,1M,728577000,0.529017,0.549107,0.459821,0.473214
AAPL,1M,730996200,0.473214,0.515624,0.44866,0.459821
AAPL,1M,733674600,0.457589,0.46875,0.41741,0.457589
AAPL,1M,736435800,0.457589,0.527901,0.455357,0.50558
AAPL,1M,738941400,0.504464,0.520089,0.34375,0.352678
AAPL,1M,741533400,0.348214,0.35491,0.227678,0.247768
AAPL,1M,744298200,0.252232,0.274553,0.231027,0.236607
AAPL,1M,746890200,0.236607,0.241071,0.205357,0.208705
AAPL,1M,749482200,0.203125,0.287946,0.196428,0.274553
AAPL,1M,752164200,0.274553,0.3125,0.265625,0.28125
AAPL,1M,754756200,0.285714,0.290178,0.236607,0.26116
AAPL,1M,757607400,0.263393,0.314732,0.256696,0.29241
AAPL,1M,760113000,0.294643,0.341518,0.287946,0.325893
AAPL,1M,762532200,0.328125,0.34375,0.28125,0.296875
AAPL,1M,765210600,0.287946,0.305803,0.241071,0.267857
AAPL,1M,767885400,0.267857,0.301339,0.254464,0.26116
AAPL,1M,770477400,0.254464,0.25558,0.219866,0.236607
AAPL,1M,773069400,0.235491,0.303571,0.226562,0.300781
AAPL,1M,775747800,0.300223,0.333705,0.28683,0.323102
AAPL,1M,778426200,0.315848,0.332589,0.297991,0.300781
AAPL,1M,781191000,0.300223,0.390625,0.290178,0.385602
AAPL,1M,783700200,0.382812,0.388253,0.324776,0.332589
AAPL,1M,786292200,0.330357,0.356026,0.310268,0.348214
AAPL,1M,789057000,0.347098,0.429129,0.338169,0.360491
AAPL,1M,791649000,0.363839,0.397321,0.339285,0.352678
AAPL,1M,794068200,0.35491,0.363839,0.302455,0.314732
AAPL,1M,796915800,0.316964,0.353794,0.300223,0.341518
AAPL,1M,799335000,0.341518,0.396205,0.334821,0.371093
AAPL,1M,802013400,0.373884,0.447544,0.370535,0.41462
AAPL,1M,804778200,0.415178,0.445312,0.383928,0.401785
AAPL,1M,807283800,0.400669,0.412946,0.373884,0.383928
AAPL,1M,809962200,0.383928,0.40625,0.30971,0.332589
AAPL,1M,812640600,0.337053,0.353236,0.300223,0.324218
AAPL,1M,815236200,0.327009,0.379464,0.316964,0.340401
AAPL,1M,817828200,0.339285,0.358259,0.282366,0.284598
AAPL,1M,820506600,0.287946,0.316964,0.239816,0.246652
AAPL,1M,823185000,0.245535,0.270089,0.243303,0.245535
AAPL,1M,825690600,0.246652,0.246652,0.205357,0.219308
AAPL,1M,828369000,0.22433,0.236607,0.212053,0.217634
AAPL,1M,830957400,0.217634,0.257812,0.209821,0.233259
AAPL,1M,833808600,0.231027,0.232143,0.175223,0.1875
AAPL,1M,836227800,0.188616,0.203125,0.142857,0.196428
AAPL,1M,838906200,0.196428,0.223214,0.185268,0.216518
AAPL,1M,841671000,0.215402,0.219866,0.180803,0.198102
AAPL,1M,844176600,0.196428,0.247768,0.196428,0.205357
AAPL,1M,846858600,0.208705,0.235491,0.206473,0.215402
AAPL,1M,849537000,0.215402,0.227678,0.185268,0.186384
AAPL,1M,852129000,0.188616,0.198661,0.147321,0.148437
AAPL,1M,854980200,0.150669,0.159598,0.135045,0.145089
AAPL,1M,857399400,0.147321,0.172991,0.141741,0.162946
AAPL,1M,859905000,0.157366,0.177455,0.149553,0.151786
AAPL,1M,862493400,0.150669,0.160714,0.146205,0.148437
AAPL,1M,865258200,0.151786,0.152902,0.125,0.127232
AAPL,1M,867763800,0.124442,0.16183,0.113839,0.15625
