symbol,timeframe,time,open,high,low,close
AAPL,1W,345133800,0.128348,0.128348,0.128348,0.128348
AAPL,1W,345738600,0.121652,0.126116,0.112723,0.126116
AAPL,1W,346343400,0.132254,0.158482,0.132254,0.158482
AAPL,1W,346948200,0.160714,0.160714,0.152344,0.154018
AAPL,1W,347553000,0.150669,0.150669,0.135045,0.142299
AAPL,1W,348157800,0.141183,0.141183,0.136161,0.138393
AAPL,1W,348762600,0.146763,0.146763,0.142299,0.146205
AAPL,1W,349367400,0.143973,0.143973,0.126116,0.126116
AAPL,1W,349972200,0.118861,0.128348,0.118861,0.128348
AAPL,1W,350577000,0.121652,0.121652,0.113839,0.113839
AAPL,1W,351181800,0.116629,0.121652,0.108259,0.108259
AAPL,1W,351786600,0.109933,0.118303,0.106027,0.118303
AAPL,1W,352391400,0.118861,0.118861,0.114397,0.114397
AAPL,1W,352996200,0.105469,0.105469,0.09654,0.09933
AAPL,1W,353601000,0.103237,0.114955,0.103237,0.114955
AAPL,1W,354205800,0.11942,0.11942,0.110491,0.110491
AAPL,1W,354810600,0.110491,0.118303,0.108259,0.118303
AAPL,1W,355415400,0.116071,0.124442,0.114955,0.124442
AAPL,1W,356020200,0.124442,0.124442,0.111607,0.111607
AAPL,1W,356625000,0.114955,0.13058,0.114955,0.129464
AAPL,1W,357226200,0.128348,0.128348,0.124442,0.126674
AAPL,1W,357831000,0.126116,0.126116,0.12221,0.125
AAPL,1W,358435800,0.12221,0.122768,0.119978,0.122768
AAPL,1W,359040600,0.125,0.140067,0.122768,0.140067
AAPL,1W,359645400,0.139509,0.147879,0.139509,0.147879
AAPL,1W,360250200,0.147879,0.147879,0.140625,0.141183
AAPL,1W,360855000,0.136161,0.146763,0.136161,0.145089
AAPL,1W,361459800,0.144531,0.144531,0.135045,0.135045
AAPL,1W,362064600,0.130022,0.132254,0.128906,0.130022
AAPL,1W,362669400,0.125558,0.125558,0.114955,0.114955
AAPL,1W,363274200,0.111049,0.116629,0.09933,0.09933
AAPL,1W,363879000,0.101562,0.115513,0.101562,0.115513
AAPL,1W,364483800,0.107701,0.107701,0.101004,0.107143
AAPL,1W,365088600,0.111607,0.111607,0.106027,0.111607
AAPL,1W,365693400,0.110491,0.115513,0.110491,0.112723
AAPL,1W,366298200,0.109375,0.109375,0.10212,0.10212
AAPL,1W,366903000,0.098772,0.098772,0.089844,0.089844
AAPL,1W,367507800,0.084263,0.089844,0.084263,0.089844
AAPL,1W,368112600,0.089844,0.097098,0.089844,0.09096
AAPL,1W,368717400,0.08817,0.088728,0.087612,0.087612
AAPL,1W,369322200,0.084821,0.084821,0.078683,0.079241
AAPL,1W,369927000,0.079799,0.079799,0.063616,0.063616
AAPL,1W,370531800,0.064174,0.073661,0.064174,0.073661
AAPL,1W,371136600,0.075893,0.083147,0.075335,0.083147
AAPL,1W,371741400,0.085937,0.085937,0.080915,0.081473
AAPL,1W,372346200,0.083147,0.087612,0.083147,0.084821
AAPL,1W,372954600,0.084821,0.089286,0.084821,0.089286
AAPL,1W,373559400,0.089286,0.089286,0.079799,0.080357
AAPL,1W,374164200,0.081473,0.087053,0.080915,0.080915
AAPL,1W,374769000,0.079799,0.084821,0.079799,0.084821
AAPL,1W,375373800,0.080915,0.084263,0.080357,0.084263
AAPL,1W,375978600,0.083147,0.084821,0.082589,0.084821
AAPL,1W,376583400,0.085379,0.085379,0.083705,0.083705
AAPL,1W,377188200,0.080915,0.10212,0.080915,0.10212
AAPL,1W,377793000,0.097656,0.09933,0.097098,0.097656
AAPL,1W,378397800,0.093192,0.098772,0.093192,0.098772
AAPL,1W,379002600,0.098214,0.098214,0.084821,0.088728
AAPL,1W,379607400,0.083147,0.089286,0.079799,0.089286
AAPL,1W,380212200,0.09096,0.092634,0.088728,0.092634
AAPL,1W,380817000,0.089844,0.09096,0.086495,0.09096
AAPL,1W,381421800,0.089844,0.090402,0.08817,0.08817
AAPL,1W,382026600,0.082589,0.083705,0.082589,0.083705
AAPL,1W,382631400,0.082031,0.084263,0.082031,0.083705
AAPL,1W,383236200,0.082589,0.082589,0.081473,0.081473
AAPL,1W,383841000,0.082031,0.082031,0.074219,0.074219
AAPL,1W,384445800,0.073103,0.073661,0.06808,0.06808
AAPL,1W,385050600,0.067522,0.074219,0.063058,0.074219
AAPL,1W,385655400,0.079799,0.079799,0.072545,0.072545
AAPL,1W,386260200,0.074219,0.079241,0.074219,0.079241
AAPL,1W,386865000,0.079241,0.079241,0.077567,0.078125
AAPL,1W,387469800,0.077567,0.077567,0.071429,0.075335
AAPL,1W,388074600,0.073661,0.073661,0.068638,0.068638
AAPL,1W,388675800,0.070312,0.070312,0.06529,0.065848
AAPL,1W,389280600,0.06808,0.072545,0.06808,0.072545
AAPL,1W,389885400,0.071429,0.071429,0.06529,0.06529
AAPL,1W,390490200,0.064174,0.064174,0.0625,0.063616
AAPL,1W,391095000,0.064174,0.064174,0.0625,0.0625
AAPL,1W,391699800,0.061384,0.0625,0.058594,0.058594
AAPL,1W,392304600,0.058594,0.05971,0.05692,0.05971
AAPL,1W,392909400,0.05971,0.05971,0.057478,0.057478
AAPL,1W,393514200,0.057478,0.061384,0.057478,0.059152
AAPL,1W,394119000,0.058594,0.058594,0.053571,0.053571
AAPL,1W,394723800,0.051339,0.051339,0.049107,0.050781
AAPL,1W,395328600,0.051897,0.059152,0.051897,0.059152
AAPL,1W,395933400,0.05971,0.064174,0.05971,0.063058
AAPL,1W,396538200,0.060268,0.060268,0.057478,0.060268
AAPL,1W,397143000,0.061942,0.061942,0.054687,0.054687
AAPL,1W,397747800,0.055245,0.059152,0.055245,0.058594
AAPL,1W,398352600,0.05971,0.065848,0.05971,0.065848
AAPL,1W,398957400,0.068638,0.079241,0.068638,0.075335
AAPL,1W,399562200,0.076451,0.082031,0.076451,0.082031
AAPL,1W,400167000,0.077567,0.080915,0.077567,0.080915
AAPL,1W,400771800,0.081473,0.084263,0.079241,0.079241
AAPL,1W,401376600,0.079799,0.083705,0.079799,0.080915
AAPL,1W,401981400,0.080915,0.082589,0.080915,0.082589
AAPL,1W,402586200,0.082589,0.105469,0.080357,0.104911
AAPL,1W,403191000,0.104911,0.110491,0.101004,0.102678
AAPL,1W,403795800,0.102678,0.11942,0.102678,0.115513
AAPL,1W,404400600,0.115513,0.116071,0.103795,0.113281
AAPL,1W,405009000,0.113281,0.142299,0.112165,0.134486
AAPL,1W,405613800,0.134486,0.151786,0.128348,0.144531
AAPL,1W,406218600,0.144531,0.146205,0.13337,0.137835
AAPL,1W,406823400,0.137835,0.137835,0.125558,0.129464
AAPL,1W,407428200,0.129464,0.150669,0.125,0.141741
AAPL,1W,408033000,0.141741,0.155692,0.128906,0.13058
AAPL,1W,408637800,0.129464,0.135603,0.123326,0.134486
AAPL,1W,409242600,0.134486,0.142857,0.131696,0.142857
AAPL,1W,409847400,0.142857,0.150669,0.132254,0.13337
AAPL,1W,410452200,0.13337,0.136161,0.122768,0.122768
AAPL,1W,411057000,0.122768,0.147321,0.121652,0.147321
AAPL,1W,411661800,0.147321,0.174107,0.145089,0.166853
AAPL,1W,412266600,0.166853,0.1875,0.154576,0.183036
AAPL,1W,412871400,0.183036,0.202567,0.179129,0.196428
AAPL,1W,413476200,0.196428,0.210937,0.181919,0.207589
AAPL,1W,414081000,0.207589,0.208147,0.19029,0.202567
AAPL,1W,414685800,0.203683,0.217076,0.203683,0.208705
AAPL,1W,415290600,0.208705,0.210937,0.19308,0.199219
AAPL,1W,415895400,0.199219,0.199777,0.18471,0.189174
AAPL,1W,416500200,0.188616,0.194196,0.179129,0.191964
AAPL,1W,417105000,0.191964,0.201451,0.188616,0.192522
AAPL,1W,417709800,0.191964,0.198661,0.186384,0.188616
AAPL,1W,418314600,0.188616,0.188616,0.172433,0.175781
AAPL,1W,418919400,0.175781,0.205915,0.172991,0.204241
AAPL,1W,419524200,0.205357,0.235491,0.205357,0.227678
AAPL,1W,420125400,0.227678,0.229352,0.21596,0.225446
AAPL,1W,420730200,0.225446,0.248884,0.212611,0.246094
AAPL,1W,421335000,0.246094,0.24721,0.233817,0.237165
AAPL,1W,421939800,0.237165,0.254464,0.228236,0.253906
AAPL,1W,422544600,0.253906,0.272321,0.248884,0.265067
AAPL,1W,423149400,0.264509,0.275111,0.25279,0.273995
AAPL,1W,423754200,0.273995,0.282366,0.260602,0.264509
AAPL,1W,424359000,0.264509,0.265067,0.237723,0.250558
AAPL,1W,424963800,0.250558,0.252232,0.233817,0.237723
AAPL,1W,425568600,0.237723,0.237723,0.204241,0.219866
AAPL,1W,426173400,0.219866,0.220424,0.205357,0.206473
AAPL,1W,426778200,0.206473,0.215402,0.196986,0.198102
AAPL,1W,427383000,0.198102,0.207031,0.181919,0.195312
AAPL,1W,427987800,0.195312,0.195312,0.151228,0.155692
AAPL,1W,428592600,0.155692,0.162388,0.141741,0.151228
AAPL,1W,429197400,0.151228,0.155692,0.147879,0.149553
AAPL,1W,429802200,0.149553,0.155134,0.146205,0.150669
AAPL,1W,430407000,0.150669,0.152344,0.133928,0.137835
AAPL,1W,431011800,0.137835,0.171875,0.133928,0.169643
AAPL,1W,431616600,0.172991,0.177455,0.136161,0.136719
AAPL,1W,432221400,0.136719,0.146205,0.130022,0.131138
AAPL,1W,432826200,0.131138,0.149553,0.13058,0.145089
AAPL,1W,433431000,0.108817,0.115513,0.098772,0.103237
AAPL,1W,434035800,0.103237,0.106027,0.089844,0.09096
AAPL,1W,434640600,0.089844,0.107143,0.082031,0.101562
AAPL,1W,435245400,0.101562,0.101562,0.084263,0.088728
AAPL,1W,435850200,0.088728,0.097656,0.079799,0.093192
AAPL,1W,436458600,0.094308,0.107701,0.09375,0.094308
AAPL,1W,437063400,0.094308,0.09654,0.077009,0.089286
AAPL,1W,437668200,0.089286,0.093192,0.084821,0.092076
AAPL,1W,438273000,0.092076,0.097098,0.089286,0.091518
AAPL,1W,438877800,0.091518,0.095982,0.08817,0.088728
AAPL,1W,439482600,0.088728,0.098772,0.08817,0.09654
AAPL,1W,440087400,0.09654,0.111607,0.09375,0.110491
AAPL,1W,440692200,0.110491,0.111607,0.102678,0.109933
AAPL,1W,441297000,0.109933,0.112723,0.108259,0.108817
AAPL,1W,441901800,0.108817,0.129464,0.108817,0.123884
AAPL,1W,442506600,0.123884,0.127232,0.113281,0.121652
AAPL,1W,443111400,0.121652,0.131696,0.121094,0.12779
AAPL,1W,443716200,0.12779,0.130022,0.114397,0.116629
AAPL,1W,444321000,0.116629,0.118861,0.103237,0.109375
AAPL,1W,444925800,0.109375,0.111607,0.099888,0.108817
AAPL,1W,445530600,0.108817,0.11942,0.106585,0.111607
AAPL,1W,446135400,0.111607,0.123326,0.111049,0.121094
AAPL,1W,446740200,0.121094,0.125,0.112165,0.121652
AAPL,1W,447345000,0.121652,0.12221,0.112165,0.117745
AAPL,1W,447949800,0.118303,0.123884,0.117745,0.118861
AAPL,1W,448554600,0.118303,0.11942,0.111607,0.113839
AAPL,1W,449159400,0.113839,0.116629,0.109375,0.110491
AAPL,1W,449764200,0.110491,0.112723,0.102678,0.104911
AAPL,1W,450369000,0.104911,0.117745,0.104911,0.114955
AAPL,1W,450973800,0.114955,0.126674,0.112165,0.126116
AAPL,1W,451578600,0.126116,0.137277,0.12221,0.134486
AAPL,1W,452179800,0.134486,0.149553,0.13337,0.134486
AAPL,1W,452784600,0.134486,0.15346,0.13337,0.143973
AAPL,1W,453389400,0.143415,0.143415,0.128348,0.132812
AAPL,1W,453994200,0.132812,0.143973,0.128906,0.131696
AAPL,1W,454599000,0.131696,0.135603,0.125,0.135603
AAPL,1W,455203800,0.135603,0.137277,0.123884,0.12779
AAPL,1W,455808600,0.12779,0.13337,0.126116,0.129464
AAPL,1W,456413400,0.129464,0.136719,0.126674,0.12779
AAPL,1W,457018200,0.12779,0.128906,0.108259,0.118303
AAPL,1W,457623000,0.118303,0.118861,0.108259,0.112165
AAPL,1W,458227800,0.112165,0.121652,0.110491,0.117745
AAPL,1W,458832600,0.117745,0.117745,0.111607,0.113281
AAPL,1W,459437400,0.113281,0.123326,0.109375,0.121094
AAPL,1W,460042200,0.121094,0.122768,0.107143,0.12221
AAPL,1W,460647000,0.12221,0.137835,0.121652,0.127232
AAPL,1W,461251800,0.127232,0.135045,0.121094,0.122768
AAPL,1W,461856600,0.122768,0.13058,0.118861,0.125558
AAPL,1W,462461400,0.125558,0.126674,0.116629,0.118303
AAPL,1W,463066200,0.118303,0.119978,0.116071,0.118303
AAPL,1W,463671000,0.118303,0.127232,0.114955,0.124442
AAPL,1W,464275800,0.124442,0.129464,0.118303,0.119978
AAPL,1W,464880600,0.119978,0.121652,0.108259,0.112165
AAPL,1W,465485400,0.111607,0.114397,0.108817,0.111049
AAPL,1W,466090200,0.111049,0.111607,0.100446,0.101562
AAPL,1W,466695000,0.101562,0.12221,0.101004,0.114397
AAPL,1W,467299800,0.114397,0.118303,0.109375,0.109933
AAPL,1W,467908200,0.109933,0.112723,0.109375,0.111049
AAPL,1W,468513000,0.111049,0.117745,0.102678,0.103795
AAPL,1W,469117800,0.103795,0.109933,0.102678,0.103795
AAPL,1W,469722600,0.103795,0.107701,0.097098,0.106027
AAPL,1W,470327400,0.106027,0.118303,0.104911,0.110491
AAPL,1W,470932200,0.110491,0.126674,0.105469,0.121652
AAPL,1W,471537000,0.121652,0.121652,0.112165,0.117745
AAPL,1W,472141800,0.117745,0.128348,0.117187,0.120536
AAPL,1W,472746600,0.121094,0.128906,0.121094,0.128348
AAPL,1W,473351400,0.128348,0.13058,0.123326,0.126674
AAPL,1W,473956200,0.126674,0.135045,0.122768,0.132812
AAPL,1W,474561000,0.132812,0.138951,0.123326,0.12779
