timeframe,symbol,time,open,high,low,close
5min,AAPL,1652707800,145.55,145.86,144.85,145.05
5min,AAPL,1652708100,145.07,145.58,144.73,145.46
5min,AAPL,1652708400,145.5,146.19,144.94,145.31
5min,AAPL,1652708700,145.29,145.51,144.35,144.87
5min,AAPL,1652709000,144.88,145.54,144.84,145.25
5min,AAPL,1652709300,145.3,145.54,144.94,144.98
5min,AAPL,1652709600,144.97,145.24,144.6,145.16
5min,AAPL,1652709900,145.1,145.56,145.04,145.44
5min,AAPL,1652710200,145.46,145.59,145.08,145.16
5min,AAPL,1652710500,145.13,146.33,145.1,146.06
5min,AAPL,1652710800,146.06,146.55,146,146.02
5min,AAPL,1652711100,146.03,146.66,145.92,146.51
5min,AAPL,1652711400,146.5,146.54,145.33,145.45
5min,AAPL,1652711700,145.46,145.72,145.39,145.57
5min,AAPL,1652712000,145.53,145.61,145.09,145.25
5min,AAPL,1652712300,145.17,145.18,144.84,144.89
5min,AAPL,1652712600,144.88,145.01,144.63,144.75
5min,AAPL,1652712900,144.77,144.78,144.43,144.43
5min,AAPL,1652713200,144.43,144.79,144.18,144.75
5min,AAPL,1652713500,144.72,145.04,144.5,145.03
5min,AAPL,1652713800,144.91,145.12,144.81,144.93
5min,AAPL,1652714100,144.9,145.39,144.88,145.12
5min,AAPL,1652714400,145.11,145.21,144.92,145
5min,AAPL,1652714700,144.99,145.16,144.87,145.02
5min,AAPL,1652715000,145.05,145.37,144.84,145.37
5min,AAPL,1652715300,145.35,145.78,144.8,145.7
5min,AAPL,1652715600,145.67,146,145.28,146
5min,AAPL,1652715900,145.94,146.05,145.85,145.97
5min,AAPL,1652716200,146.01,146.61,145.785,146.61
5min,AAPL,1652716500,146.61,146.94,146.45,146.62
5min,AAPL,1652716800,146.66,146.8,146.37,146.45
5min,AAPL,1652717100,146.42,146.46,146.06,146.26
5min,AAPL,1652717400,146.28,146.31,145.92,145.97
5min,AAPL,1652717700,146,146.05,145.76,145.97
5min,AAPL,1652718000,145.94,145.97,145.48,145.665
5min,AAPL,1652718300,145.7,145.87,145.58,145.73
5min,AAPL,1652718600,145.72,145.93,145.54,145.66
5min,AAPL,1652718900,145.7,145.95,145.34,145.38
5min,AAPL,1652719200,145.4,145.42,145.24,145.345
5min,AAPL,1652719500,145.31,145.71,145.24,145.69
5min,AAPL,1652719800,145.72,145.75,145.35,145.405
5min,AAPL,1652720100,145.37,145.55,145.32,145.4
5min,AAPL,1652720400,145.36,145.61,145.16,145.59
5min,AAPL,1652720700,145.55,145.84,145.47,145.79
5min,AAPL,1652721000,145.755,146.24,145.715,146.13
5min,AAPL,1652721300,146.12,146.17,145.8,145.81
5min,AAPL,1652721600,145.87,146.61,145.83,146.445
5min,AAPL,1652721900,146.45,146.71,146.28,146.605
