timeframe,symbol,time,open,high,low,close
3min,AAPL,1666013400,141.065,141.69,140.49,141.61
3min,AAPL,1666013580,141.58,141.89,141.51,141.68
3min,AAPL,1666013760,141.69,142.16,141.64,141.81
3min,AAPL,1666013940,141.81,142.21,141.68,142.2
3min,AAPL,1666014120,142.19,142.6,142.16,142.48
3min,AAPL,1666014300,142.53,142.58,142.02,142.2
3min,AAPL,1666014480,142.2,142.6,142.18,142.54
3min,AAPL,1666014660,142.54,142.68,142.03,142.08
3min,AAPL,1666014840,142.105,142.3,141.96,142.02
3min,AAPL,1666015020,142.02,142.04,141.75,141.97
3min,AAPL,1666015200,142.01,142.16,141.65,141.695
3min,AAPL,1666015380,141.68,141.89,141.64,141.79
3min,AAPL,1666015560,141.78,141.82,141.51,141.72
3min,AAPL,1666015740,141.71,141.85,141.55,141.78
3min,AAPL,1666015920,141.78,142.17,141.51,142.15
3min,AAPL,1666016100,142.16,142.21,141.89,141.9
3min,AAPL,1666016280,141.93,142.01,141.79,141.99
3min,AAPL,1666016460,141.99,142.18,141.77,141.78
3min,AAPL,1666016640,141.75,141.83,141.59,141.62
3min,AAPL,1666016820,141.58,141.66,141.49,141.59
3min,AAPL,1666017000,141.62,141.92,141.48,141.76
3min,AAPL,1666017180,141.87,141.87,141.52,141.83
3min,AAPL,1666017360,141.83,141.97,141.76,141.78
3min,AAPL,1666017540,141.79,141.84,141.65,141.79
3min,AAPL,1666017720,141.8,141.845,141.41,141.51
3min,AAPL,1666017900,141.52,141.78,141.47,141.68
3min,AAPL,1666018080,141.66,141.68,141.24,141.33
3min,AAPL,1666018260,141.31,141.34,140.94,140.96
3min,AAPL,1666018440,140.97,141.02,140.82,140.83
3min,AAPL,1666018620,140.8,141.03,140.72,140.99
3min,AAPL,1666018800,140.96,141.11,140.85,141.11
3min,AAPL,1666018980,141.11,141.19,140.92,140.92
3min,AAPL,1666019160,140.9,140.97,140.64,140.64
3min,AAPL,1666019340,140.63,140.83,140.52,140.68
3min,AAPL,1666019520,140.74,140.78,140.47,140.55
3min,AAPL,1666019700,140.57,140.57,140.28,140.44
3min,AAPL,1666019880,140.43,140.45,140.28,140.44
3min,AAPL,1666020060,140.44,140.73,140.355,140.71
3min,AAPL,1666020240,140.68,141,140.68,140.97
3min,AAPL,1666020420,140.96,141.21,140.96,141.15
3min,AAPL,1666020600,141.14,141.23,141.03,141.11
3min,AAPL,1666020780,141.13,141.25,141.07,141.16
3min,AAPL,1666020960,141.16,141.19,141.08,141.15
3min,AAPL,1666021140,141.14,141.33,141.13,141.33
3min,AAPL,1666021320,141.35,141.46,141.3,141.43
3min,AAPL,1666021500,141.43,141.45,141.35,141.45
3min,AAPL,1666021680,141.49,141.73,141.45,141.69
3min,AAPL,1666021860,141.685,141.86,141.6,141.84
3min,AAPL,1666022040,141.85,141.89,141.72,141.72
3min,AAPL,1666022220,141.7,141.73,141.63,141.68
3min,AAPL,1666022400,141.72,141.78,141.56,141.56
3min,AAPL,1666022580,141.61,141.62,141.42,141.55
3min,AAPL,1666022760,141.56,141.85,141.53,141.82
