symbol,timeframe,time,open,high,low,close
AMZN,1H,1304703000,9.904,9.9245,9.8655,9.8715
AMZN,1H,1304706600,9.8615,9.914,9.83,9.8715
AMZN,1H,1304710200,9.872,9.8995,9.861,9.878
AMZN,1H,1304947800,9.91625,9.99025,9.84,9.9705
AMZN,1H,1304951400,9.969,10.111,9.9555,10.0255
AMZN,1H,1304955000,10.026,10.116,10.023,10.0705
AMZN,1H,1304958600,10.0725,10.091,10.052,10.08
AMZN,1H,1304962200,10.08,10.10925,10.0555,10.08
AMZN,1H,1304965800,10.089,10.095,10.037,10.059
AMZN,1H,1304969400,10.0535,10.067,10.0355,10.043
AMZN,1H,1305034200,10.098,10.264,10.089,10.2
AMZN,1H,1305037800,10.1995,10.228,10.131,10.148
AMZN,1H,1305041400,10.157,10.187,10.116,10.1605
AMZN,1H,1305045000,10.16725,10.2305,10.1525,10.21
AMZN,1H,1305048600,10.204,10.2195,10.177,10.2065
AMZN,1H,1305052200,10.2045,10.239,10.2035,10.2105
AMZN,1H,1305055800,10.2115,10.222,10.1875,10.1975
AMZN,1H,1305120600,10.1495,10.2715,10.1495,10.2195
AMZN,1H,1305124200,10.2225,10.246,10.214,10.232
AMZN,1H,1305127800,10.241,10.24425,10.1345,10.1515
AMZN,1H,1305131400,10.151,10.1765,10.1265,10.1405
AMZN,1H,1305135000,10.1405,10.165,10.117,10.1575
AMZN,1H,1305138600,10.156,10.2375,10.156,10.228
AMZN,1H,1305142200,10.2265,10.253,10.1895,10.2235
AMZN,1H,1305207000,10.219,10.273,10.036,10.2335
AMZN,1H,1305210600,10.232,10.232,10.1525,10.22375
AMZN,1H,1305214200,10.221,10.24,10.189,10.2255
AMZN,1H,1305217800,10.23,10.2535,10.2145,10.233
AMZN,1H,1305221400,10.237,10.267,10.1995,10.25
AMZN,1H,1305225000,10.242,10.308,10.2375,10.288
AMZN,1H,1305228600,10.2855,10.3085,10.2755,10.301
AMZN,1H,1305293400,10.285,10.318,10.2295,10.3055
AMZN,1H,1305297000,10.3005,10.3105,10.1705,10.194
AMZN,1H,1305300600,10.19,10.2165,10.1355,10.172
AMZN,1H,1305304200,10.1815,10.222,10.162,10.195
AMZN,1H,1305307800,10.203,10.244,10.191,10.2285
AMZN,1H,1305311400,10.238,10.2455,10.1535,10.155
AMZN,1H,1305315000,10.156,10.1705,10.1205,10.127
AMZN,1H,1305552600,10.01325,10.0435,9.859,9.9015
AMZN,1H,1305556200,9.904,9.937,9.863,9.8895
AMZN,1H,1305559800,9.8885,9.903,9.8395,9.8705
AMZN,1H,1305563400,9.867,9.87675,9.76,9.762
AMZN,1H,1305567000,9.763,9.776,9.648,9.65
AMZN,1H,1305570600,9.6485,9.663,9.5825,9.586
AMZN,1H,1305574200,9.5875,9.6325,9.5685,9.6265
AMZN,1H,1305639000,9.591,9.799,9.588,9.7675
AMZN,1H,1305642600,9.7695,9.778,9.6265,9.6705
AMZN,1H,1305646200,9.6735,9.725,9.64,9.689
AMZN,1H,1305649800,9.693,9.721,9.6465,9.6705
AMZN,1H,1305653400,9.6685,9.678,9.6065,9.6335
AMZN,1H,1305657000,9.6345,9.76,9.6345,9.7355
AMZN,1H,1305660600,9.7365,9.7705,9.726,9.74
AMZN,1H,1305725400,9.717,9.7775,9.663,9.771
AMZN,1H,1305729000,9.773,9.817,9.7685,9.795
AMZN,1H,1305732600,9.797,9.822,9.771,9.8215
AMZN,1H,1305736200,9.82,9.8575,9.817,9.819
AMZN,1H,1305739800,9.8165,9.9115,9.8135,9.903
AMZN,1H,1305743400,9.902,9.9115,9.856,9.876
AMZN,1H,1305747000,9.8765,9.8955,9.85,9.8545
AMZN,1H,1305811800,9.9075,9.9975,9.88,9.965
AMZN,1H,1305815400,9.9645,9.98,9.8785,9.9175
AMZN,1H,1305819000,9.921,9.9565,9.902,9.9535
AMZN,1H,1305822600,9.962,9.9765,9.9395,9.9745
AMZN,1H,1305826200,9.974,9.985,9.928,9.9345
AMZN,1H,1305829800,9.9365,9.956,9.924,9.945
AMZN,1H,1305833400,9.944,9.958,9.932,9.9405
AMZN,1H,1305898200,9.903,9.9885,9.8755,9.91225
AMZN,1H,1305901800,9.9105,9.9105,9.8625,9.8945
