symbol,timeframe,time,open,high,low,close,Volume,Volume MA
ES,1D,873756000,933.75,941.25,932.75,934,11387,NaN
ES,1D,873842400,933.75,934.25,914.5,915.25,2523,NaN
ES,1D,873928800,924,929.75,910.25,918.25,9945,NaN
ES,1D,874015200,918,936.5,913.5,933.75,8911,NaN
ES,1D,874274400,933.5,939.75,929,931.5,11874,NaN
ES,1D,874360800,931.25,960,930.25,956,11093,NaN
ES,1D,874447200,956,962.5,951.5,956,11620,NaN
ES,1D,874533600,955.75,970.5,954.75,957.75,10005,NaN
ES,1D,874620000,957.75,963.25,953,960.5,12126,NaN
ES,1D,874879200,960.25,972,960.25,966.25,10198,NaN
ES,1D,874965600,965.25,967.25,956.5,962,14580,NaN
ES,1D,875052000,961.5,970.5,952,954.5,14114,NaN
ES,1D,875138400,953.75,957.5,945.5,946.5,12097,NaN
ES,1D,875224800,946.25,956.5,946.25,953.25,11152,NaN
ES,1D,875484000,953.25,964.5,950.25,961.75,15239,NaN
ES,1D,875570400,961,965.25,952.75,954.5,14015,NaN
ES,1D,875656800,955.5,966.5,954.5,963.5,9651,NaN
ES,1D,875743200,963.25,969.5,961,969,13792,NaN
ES,1D,875829600,969.25,985.5,961.75,975.5,9245,NaN
ES,1D,876088800,976.75,983.75,976.5,981.5,11896,11273.15
ES,1D,876175200,981.5,992.25,977.5,989.5,16204,11514
ES,1D,876261600,989.5,991.75,974.75,982.25,9407,11858.2
ES,1D,876348000,982.25,983.25,969.25,978,6506,11686.25
ES,1D,876434400,978.75,981,964,976.75,3914,11436.4
ES,1D,876693600,976.75,981.75,974,976.25,11923,11438.85
ES,1D,876780000,976.25,981.5,968.5,977.5,9715,11369.95
ES,1D,876866400,975.75,976.75,968,973.5,12998,11438.85
ES,1D,876952800,973.5,981.25,955.25,959.75,13573,11617.25
ES,1D,877039200,959,960,935.5,948.75,11772,11599.55
ES,1D,877298400,963.5,963.5,962.25,962.25,10576,11618.45
ES,1D,877384800,964.25,980.5,964.25,979.5,10284,11403.65
ES,1D,877471200,979,980.5,970.5,974.25,13567,11376.3
ES,1D,877557600,973,974.25,947.5,955.5,14924,11517.65
ES,1D,877644000,956,969,941.5,944,15394,11729.75
ES,1D,877906800,942.5,944,874,874,17082,11821.9
ES,1D,877993200,862,933,844,924.5,16552,11948.75
ES,1D,878079600,924.5,942,916.25,924.5,13868,12159.6
ES,1D,878166000,924.5,928.5,902,903,14353,12187.65
ES,1D,878252400,902,926.25,889.75,924,11469,12298.85
ES,1D,878511600,923.75,948,921.25,945.75,11354,12271.75
ES,1D,878598000,946,946.75,936.25,945.75,11065,12014.8
ES,1D,878684400,941.5,956,938.25,947,8873,11988.1
ES,1D,878770800,946.5,947.5,937.25,942.25,13527,12339.15
ES,1D,878857200,942.25,943,916.5,931.25,9940,12640.45
ES,1D,879116400,930,940.5,922.75,926.25,6889,12388.75
ES,1D,879202800,926,929.75,924.25,926.5,14190,12612.5
ES,1D,879289200,926.5,929.5,905.5,908.25,13929,12659.05
ES,1D,879375600,907,922.5,902.5,919.25,11389,12549.85
ES,1D,879462000,920,932.5,920,932.5,9936,12458.05
ES,1D,879721200,932,954.5,932,950,10836,12471.05
ES,1D,879807600,950,954.5,940,942.5,11297,12521.7
ES,1D,879894000,942.25,951.5,936.25,947.75,10550,12370.85
ES,1D,879980400,948,965.5,947,963,9902,12119.75
ES,1D,880066800,962.5,971,957.5,969.5,7759,11738
ES,1D,880326000,968.5,969,947,949.75,10626,11415.2
ES,1D,880412400,950,957.5,944.75,951.75,6905,10932.85
ES,1D,880498800,952,959.75,948.75,955,2113,10345.1
ES,1D,880671600,954.75,962.25,953.75,955,10503,10152.6
ES,1D,880930800,955.5,979.5,955.5,979.5,10021,10080.2
ES,1D,881017200,980,982,972,975,12160,10120.5
ES,1D,881103600,974.75,981.25,969,977.5,12238,10179.15
ES,1D,881190000,977.5,985.75,972.5,977,14021,10436.55
ES,1D,881276400,976.25,989,963,986.5,8595,10189.95
ES,1D,881535600,986.5,989.75,980.5,984.5,11308,10258.35
ES,1D,881622000,984.75,986.25,974.5,979,11609,10494.35
ES,1D,881708400,978.75,979.75,963.5,970.25,3858,9977.75
ES,1D,881794800,981,981.5,962,965.25,11754,9869
ES,1D,881881200,964.75,974.5,957.75,966.5,10702,9834.65
ES,1D,882140400,966.75,978.5,960.5,974.25,9155,9795.6
ES,1D,882226800,973.5,985.75,973.25,980.5,9590,9733.3
ES,1D,882313200,980.25,988,974.5,975.5,12068,9771.85
ES,1D,882399600,975.25,976.5,960.5,965,15892,10038.95
ES,1D,882486000,964,964,957.5,957.5,9434,10015.55
ES,1D,882745200,956.75,962.75,956.75,962.75,6200,9937.6
ES,1D,882831600,962.75,965,944,945,3671,9589.85
ES,1D,882918000,944.75,953.5,941.5,942.25,1907,9339.95
ES,1D,883090800,944,949.5,943,946,1907,9329.65
ES,1D,883350000,945.5,966.5,941.25,965.75,6556,9132.3
ES,1D,883436400,966.5,980.5,965.5,979.25,5283,8895.4
ES,1D,883522800,979.5,984,975.25,979,4654,8520.1
ES,1D,883695600,979.25,984.75,972.5,984.75,12496,8533
ES,1D,883954800,987,992.75,976.5,987,12950,8479.45
ES,1D,884041200,987,987.75,970.5,971,13629,8731.15
ES,1D,884127600,970.75,974.75,960.5,974,13767,8854.1
ES,1D,884214000,973.75,977.25,960.5,961.25,18484,9197.85
ES,1D,884300400,962,963,925.5,929.5,20954,10052.65
ES,1D,884559600,929,948.25,914.5,945.5,12493,10089.6
ES,1D,884646000,945.5,960,944.5,959.5,12534,10181.2
ES,1D,884732400,960,966.25,953.75,963.25,11962,10321.55
ES,1D,884818800,963.5,964,954.75,955,10032,10343.65
ES,1D,884905200,955,972.75,952.5,968.5,10321,10256.3
ES,1D,885250800,968.5,986,966.75,985.25,14658,10194.6
ES,1D,885337200,984.5,985.25,967.5,975.5,15422,10494
ES,1D,885423600,977.25,977.5,964.25,966.25,15769,10972.45
ES,1D,885510000,966,972.5,955,964.5,12059,11391.85
ES,1D,885769200,961,969.75,953.5,963.5,15501,12071.55
ES,1D,885855600,963.25,979.75,960.75,973.75,13140,12633.2
ES,1D,885942000,974,985,973,982,13732,12992
ES,1D,886028400,982,999,979.75,987,14178,13436.75
ES,1D,886114800,987.75,993.5,984,987.75,12241,13816.1
ES,1D,886374000,988,1009,987.75,1004,11133,13747.95
ES,1D,886460400,1002.75,1011.75,1001.25,1010.75,13851,13793
ES,1D,886546800,1011,1014.75,1002.75,1009.75,13655,13794.3
ES,1D,886633200,1009.5,1019.25,1004,1009.5,13169,13764.4
ES,1D,886719600,1009,1019,1008,1018.5,11431,13411.75
ES,1D,886978800,1019,1022,1010.25,1015,12783,13003.2
ES,1D,887065200,1014.75,1027.75,1012.5,1024.25,9479,12852.5
ES,1D,887151600,1024,1026.5,1019.5,1023.75,13278,12889.7
ES,1D,887238000,1023.5,1031.5,1011.25,1026.75,6939,12638.55
ES,1D,887324400,1026.75,1028.25,1020.75,1022.25,9204,12597.15
ES,1D,887670000,1022.5,1033.5,1017.5,1027.5,12052,12683.7
ES,1D,887756400,1027.5,1036,1024,1035.25,11393,12520.45
ES,1D,887842800,1035.5,1038,1024.75,1030.75,11520,12325.35
ES,1D,887929200,1030.25,1038,1024.75,1037.5,11424,12108.1
ES,1D,888188400,1037.25,1045.75,1033.75,1041.25,13681,12189.2
ES,1D,888274800,1041.5,1041.75,1030.25,1033.75,9898,11909.05
ES,1D,888361200,1033.25,1049.5,1032.75,1045.5,10694,11786.75
ES,1D,888447600,1045.5,1052.5,1042,1052,10142,11607.25
ES,1D,888534000,1050.5,1055,1046,1050.5,10898,11443.25
ES,1D,888793200,1049.25,1057,1046.5,1050,12346,11448.5
ES,1D,888879600,1049.5,1056.5,1044.75,1055.5,13469,11565.3
