symbol,timeframe,time,open,high,low,close,Volume,Volume MA
ES,1H,1557093600,2917.75,2917.75,2893.5,2909,91989,NaN
ES,1H,1557097200,2909,2909,2892.75,2895.25,45588,NaN
ES,1H,1557100800,2895.25,2900.5,2887.25,2888,59737,NaN
ES,1H,1557104400,2888,2894.5,2883.5,2894,46698,NaN
ES,1H,1557108000,2893.75,2896,2889.75,2890.75,21535,NaN
ES,1H,1557111600,2891,2893.75,2885.25,2886.5,16903,NaN
ES,1H,1557115200,2886.75,2902.75,2886.25,2901.25,18780,NaN
ES,1H,1557118800,2901,2903.75,2895.75,2899.25,26451,NaN
ES,1H,1557122400,2899,2902.5,2891.25,2892.5,35750,NaN
ES,1H,1557126000,2892.75,2903.5,2891,2896.75,59320,NaN
ES,1H,1557129600,2896.75,2899.5,2891,2892.75,22092,NaN
ES,1H,1557133200,2892.75,2896.5,2891.25,2895.25,18506,NaN
ES,1H,1557136800,2895.25,2900.5,2893.75,2898.75,19416,NaN
ES,1H,1557140400,2898.75,2902,2896.5,2900.25,31712,NaN
ES,1H,1557144000,2900.25,2904.75,2899.5,2902.25,51898,NaN
ES,1H,1557147600,2902,2914.75,2894,2914.25,284395,NaN
ES,1H,1557151200,2914.25,2921.5,2909.5,2920.25,246401,NaN
ES,1H,1557154800,2920,2924.5,2917.25,2918.5,187278,NaN
ES,1H,1557158400,2918.25,2920.5,2916.25,2916.5,113968,NaN
ES,1H,1557162000,2916.5,2922.5,2914.5,2922.25,104428,75142.25
ES,1H,1557165600,2922.25,2935.75,2920.75,2935.5,160940,78589.8
ES,1H,1557169200,2935.25,2938.25,2932,2934,212037,86912.25
ES,1H,1557172800,2933.75,2935.75,2909,2909.75,83239,88087.35
ES,1H,1557180000,2911.75,2917.5,2911,2915.75,32117,87358.3
ES,1H,1557183600,2916,2919,2914.75,2918,12065,86884.8
ES,1H,1557187200,2918.25,2919,2910.25,2915.75,26723,87375.8
ES,1H,1557190800,2916,2917.75,2913.5,2916.25,15018,87187.7
ES,1H,1557194400,2916.25,2919.25,2916,2918.25,13446,86537.45
ES,1H,1557198000,2918.25,2918.25,2910.5,2912.5,20899,85794.9
ES,1H,1557201600,2912.5,2917.75,2912.5,2917.25,13685,83513.15
ES,1H,1557205200,2917.5,2917.5,2913,2916,8918,82854.45
ES,1H,1557208800,2915.75,2930.5,2915.25,2926.75,32360,83547.15
ES,1H,1557212400,2927,2928.25,2923.5,2924.5,20437,83598.2
ES,1H,1557216000,2924.5,2925.5,2919.5,2920.5,18131,82919.15
ES,1H,1557219600,2920.25,2920.5,2915.75,2918.75,20012,81324.85
ES,1H,1557223200,2918.75,2919.5,2913.25,2913.75,18492,68029.7
ES,1H,1557226800,2914,2917,2908.5,2910,30393,57229.3
ES,1H,1557230400,2909.75,2914.75,2908.25,2912.5,46156,50173.2
ES,1H,1557234000,2912.5,2913,2895.5,2902.5,417271,65338.35
ES,1H,1557237600,2902.5,2902.75,2887.25,2889,381382,79186.05
ES,1H,1557241200,2889,2895,2882.5,2886,320628,87170.45
ES,1H,1557244800,2885.75,2895.5,2881.5,2888.5,164852,84811.2
ES,1H,1557248400,2888.5,2889.5,2871,2877,290689,95183.7
ES,1H,1557252000,2876.75,2881,2867,2874.5,259803,106568
ES,1H,1557255600,2874.5,2886.75,2862.5,2885,433661,127647.8
ES,1H,1557259200,2885,2891.75,2884.5,2890.75,132563,132939.8
ES,1H,1557266400,2889.75,2890.75,2885.25,2887.25,9363,132657.05
ES,1H,1557270000,2887.5,2888.75,2883.75,2884.75,7813,132375.4
ES,1H,1557273600,2884.75,2888.75,2882.75,2886.5,21904,132425.65
ES,1H,1557277200,2886.5,2893,2886.5,2892.25,21321,132807.45
ES,1H,1557280800,2892.25,2895.5,2890.5,2893.5,20443,133383.7
ES,1H,1557284400,2893.75,2894.25,2890,2891.75,12978,132414.6
ES,1H,1557288000,2891.5,2893.25,2890.5,2893.25,8655,131825.5
ES,1H,1557291600,2893.25,2894.25,2889.25,2891.75,9955,131416.7
ES,1H,1557295200,2891.75,2893.25,2889,2890.75,11163,130974.25
ES,1H,1557298800,2890.75,2895,2890,2895,18233,130961.3
ES,1H,1557302400,2894.75,2899.5,2888,2890.75,43449,131614.1
ES,1H,1557306000,2890.75,2891.5,2877.5,2878,48908,131751.7
ES,1H,1557309600,2878,2880.25,2875.75,2879,33937,112585
ES,1H,1557313200,2879,2879,2868.75,2875.75,64916,96761.7
ES,1H,1557316800,2875.75,2886.25,2870.5,2880.5,137750,87617.8
ES,1H,1557320400,2880.75,2887.25,2873,2884.5,324415,95595.95
ES,1H,1557324000,2884.5,2891.75,2876.5,2891.5,224850,92304
ES,1H,1557327600,2891.25,2898.75,2882.25,2888,328760,95751.85
ES,1H,1557331200,2887.75,2894,2881.75,2893.75,119244,80031
ES,1H,1557334800,2893.75,2895.5,2888.25,2891.5,111596,78982.65
ES,1H,1557338400,2891.75,2894,2887.5,2892,93940,83211.5
ES,1H,1557342000,2892.25,2896.75,2878.75,2880.25,221637,93902.7
ES,1H,1557345600,2880.25,2888.25,2880,2884.5,78667,96740.85
ES,1H,1557352800,2884,2885,2880.75,2884.5,7825,96066.05
ES,1H,1557356400,2885,2885.5,2880.75,2881.5,12606,95674.2
ES,1H,1557360000,2881.25,2883.75,2871,2877.25,45939,97322.25
ES,1H,1557363600,2877,2880.75,2875.25,2876,30760,98427.5
