symbol,timeframe,time,open,high,low,close,Volume,Volume MA
ES,1M,873064800,933.75,972,910.25,954.5,180879,NaN
ES,1M,875656800,955.5,992.25,844,924,278665,NaN
ES,1M,878511600,923.75,971,902.5,955,191583,NaN
ES,1M,880930800,955.5,989.75,941.25,979,192583,NaN
ES,1M,883609200,979.25,999,914.5,987.75,276322,NaN
ES,1M,886374000,988,1055,987.75,1050.5,216624,NaN
ES,1M,888793200,1049.25,1125.25,1032,1110.5,255330,NaN
ES,1M,891385200,1109.75,1142.5,1081.5,1119.25,293414,NaN
ES,1M,893973600,1119.25,1137,1075,1090.75,297304,NaN
ES,1M,896652000,1090,1158,1077.25,1143,325060,NaN
ES,1M,899244000,1143,1199.75,1116.25,1123,384879,NaN
ES,1M,902095200,1122.25,1128.25,952,954,464603,NaN
ES,1M,904600800,951.75,1080.75,935,1026,391847,NaN
ES,1M,907192800,1026.5,1110.25,929.25,1105.25,512759,NaN
ES,1M,909961200,1105,1198,1101.75,1162.5,441211,NaN
ES,1M,912466800,1162.75,1256.75,1147.25,1245.5,424719,NaN
ES,1M,915145200,1243.25,1291,1203.5,1281.25,571058,NaN
ES,1M,917823600,1274.25,1279.25,1217.5,1235.75,652330,NaN
ES,1M,920242800,1239.25,1338,1228,1294,533480,NaN
ES,1M,922921200,1292.75,1376.75,1291,1337.75,142960,351380.5
ES,1M,925682400,1359,1376,1278,1296.75,224742,353573.65
ES,1M,928188000,1298.75,1386.5,1278,1381.5,585804,368930.6
ES,1M,930780000,1381.75,1431.75,1335.75,1339.5,845421,401622.5
ES,1M,933544800,1332.5,1387.75,1271,1319.75,1069942,445490.45
ES,1M,936136800,1320,1376.5,1267.5,1297.75,1034463,483397.5
ES,1M,938728800,1297,1383,1241.5,1376.25,1197006,532416.6
ES,1M,941410800,1375,1432.5,1352,1391.75,1106297,574964.95
ES,1M,944002800,1391.5,1499.5,1386.25,1485,809348,600761.65
ES,1M,946854000,1489,1496,1357,1400.75,1305318,651162.35
ES,1M,949359600,1402.75,1454.75,1327.5,1372,1383712,704094.95
ES,1M,951865200,1373.5,1574.25,1348.5,1517.5,1462699,757985.95
ES,1M,954712800,1514,1544.75,1342.25,1460,1460303,807770.95
ES,1M,957132000,1459,1492.75,1365.5,1422.25,1716416,873999.4
ES,1M,959810400,1422,1514.25,1420.25,1468,1478050,922263.95
ES,1M,962575200,1472.25,1533,1423.5,1439,1403020,970354.4
ES,1M,965080800,1439.5,1530,1433.25,1521.25,1438337,1021035.3
ES,1M,967759200,1522.75,1557.5,1436.75,1454,1705131,1077738.95
ES,1M,970437600,1453.75,1474,1324,1440.75,2109159,1150580.4
ES,1M,973033200,1441,1455,1296.75,1321,1909980,1219405.4
ES,1M,975625200,1321.5,1412.25,1270.25,1327,1581264,1291320.6
ES,1M,978303600,1331,1394,1287.5,1373.5,2260093,1393088.15
ES,1M,980982000,1373.5,1386,1217,1242,2313400,1479467.95
ES,1M,983401200,1239.25,1280.25,1088,1174,3060387,1590216.25
ES,1M,986162400,1173,1274.75,1098.5,1254.25,3095130,1691475.65
ES,1M,988668000,1253.25,1319.25,1235,1254.5,2816745,1780589.75
ES,1M,991346400,1255.75,1294.75,1206,1237.75,2759921,1858735.5
ES,1M,994024800,1233.5,1248.25,1168.5,1215.25,2877094,1947275.35
ES,1M,996616800,1214,1234.25,1125.5,1138.5,3477618,2080688.85
ES,1M,999468000,1137.5,1158.5,938.5,1043.75,3346927,2182769.3
ES,1M,1001887200,1044.25,1114.5,1028.75,1056.25,5296046,2378386
ES,1M,1004569200,1057.5,1164.75,1053.25,1135.25,4183280,2514415.05
ES,1M,1007334000,1137.25,1175.25,1114.5,1149.25,2943155,2588557.65
ES,1M,1009839600,1143.75,1178.5,1080.75,1130.5,4933104,2749392.05
ES,1M,1012518000,1128.75,1132.25,1073.75,1107,5565677,2953773.4
ES,1M,1014937200,1106.25,1177.5,1106,1144.75,5263548,3146799.8
ES,1M,1017615600,1145.25,1150,1063.5,1076,7164387,3433102.3
ES,1M,1020204000,1076.75,1109,1045.75,1064,7910643,3743377.9
ES,1M,1023055200,1066.25,1071,945.5,988,9280078,4101923.85
ES,1M,1025474400,989,996.25,771,908,14863924,4749621.05
ES,1M,1028152800,909.25,966,828.5,912.25,11387850,5239950.35
ES,1M,1030917600,913.25,927.5,798.25,815,11442179,5699054.65
ES,1M,1033423200,816.5,909.25,767.25,885.5,17173996,6442084.45
ES,1M,1036105200,882,942.5,870.25,936,11574865,6867808.35
ES,1M,1038783600,934,955.25,868,879,9280754,7177089.55
ES,1M,1041375600,883,937,836,854.75,14210981,7746801.35
ES,1M,1044226800,854.75,864,805.25,841,13362355,8276923.05
ES,1M,1046646000,844,895.75,788.5,847,14676198,8866878.25
ES,1M,1049151600,844.5,923.75,843,916,13508476,9368421.15
ES,1M,1051740000,915.5,966,900.5,963.25,13448659,9873507.75
ES,1M,1054504800,963.75,1015.75,963.5,973.25,14059689,10311689.9
ES,1M,1057010400,972.75,1014.75,960.25,989.25,14846541,10844852.95
ES,1M,1059688800,988.75,1012.25,958.25,1007.75,10478175,11221603.95
ES,1M,1062367200,1008.25,1039,987.75,994,14761095,11713003.5
ES,1M,1064959200,995.5,1055.75,995,1049.5,14552772,12162358.25
ES,1M,1067814000,1047.25,1064.5,1030.25,1057.75,11559778,12477169.75
ES,1M,1070233200,1059,1111.5,1053,1110.5,10074306,12622665.7
ES,1M,1072911600,1111,1155,1103.5,1130,13947909,12924529
ES,1M,1075676400,1130.25,1158.75,1122,1144.5,11783760,13049713.1
ES,1M,1078095600,1144.25,1163.75,1084.75,1125,16558007,13134417.25
ES,1M,1080774000,1126.75,1154.5,1103.75,1106,14988006,13314425.05
ES,1M,1083535200,1105.25,1127.5,1075.25,1121.5,16574061,13571019.15
ES,1M,1086040800,1121.25,1146.25,1112.5,1140.5,12032788,13313958.75
ES,1M,1088632800,1140.75,1143.75,1077,1101,15182073,13494319.15
ES,1M,1091397600,1098,1109.75,1060,1104,12880684,13674315.65
ES,1M,1093989600,1105,1132.5,1098,1115,12154324,13571482.8
ES,1M,1096581600,1115,1143.75,1088,1130.25,14615246,13634127.35
ES,1M,1099263600,1127.5,1191.25,1126.25,1174,14263503,13613492.6
ES,1M,1101855600,1177.25,1219.75,1173.5,1213.75,11441292,13510133.4
ES,1M,1104706800,1213.5,1221.25,1164.25,1181.75,15440389,13609719.9
ES,1M,1107212400,1181.25,1214.75,1179.5,1204,12496443,13531557.6
ES,1M,1109631600,1204.5,1229.75,1166.75,1184,16859282,13632194.65
ES,1M,1112310000,1183.25,1195.75,1135.75,1158.5,20167137,14116642.75
ES,1M,1114984800,1157.75,1202,1146.75,1192.25,16534049,14205290.45
ES,1M,1117576800,1192.5,1225.25,1191.25,1195.5,15690145,14262159.1
ES,1M,1120168800,1195.75,1248.75,1170.75,1236.75,14395899,14403965.15
ES,1M,1122847200,1239.25,1248.5,1194,1221.5,17655409,14783020.3
ES,1M,1125525600,1222.25,1251,1210.75,1234.25,17076129,14939431.3
ES,1M,1128290400,1235.25,1239,1171.75,1209.75,22917066,15496096.6
ES,1M,1130799600,1205.25,1273,1202.5,1251,16790003,15507696.4
ES,1M,1133391600,1253,1285,1251.25,1254.75,14350225,15475807.35
ES,1M,1136156400,1255.25,1301,1251.5,1283.5,19469929,15620600.75
ES,1M,1138748400,1278.25,1299.75,1255.75,1282.5,16798943,15858908.5
ES,1M,1141167600,1281.75,1321.5,1268.75,1307.5,19255771,16062593.4
ES,1M,1144015200,1307,1324.75,1286.5,1316,18166516,16326885
ES,1M,1146434400,1318.5,1331.25,1246.75,1272,26629557,17050646.65
ES,1M,1149112800,1273,1294,1229,1279.5,26692122,17654490.45
ES,1M,1151877600,1281.75,1290,1231,1281.75,22423370,18062483.8
