symbol,timeframe,time,open,high,low,close,Volume,Volume MA
ES,1W,873669600,933.75,941.25,910.25,933.75,32766,NaN
ES,1W,874274400,933.5,970.5,929,960.5,56718,NaN
ES,1W,874879200,960.25,972,945.5,953.25,62141,NaN
ES,1W,875484000,953.25,985.5,950.25,975.5,61942,NaN
ES,1W,876088800,976.75,992.25,964,976.75,47927,NaN
ES,1W,876693600,976.75,981.75,935.5,948.75,59981,NaN
ES,1W,877298400,963.5,980.5,941.5,944,64745,NaN
ES,1W,877906800,942.5,944,844,924,73324,NaN
ES,1W,878511600,923.75,956,916.5,931.25,54759,NaN
ES,1W,879116400,930,940.5,902.5,932.5,56333,NaN
ES,1W,879721200,932,971,932,969.5,50344,NaN
ES,1W,880326000,968.5,969,944.75,955,30147,NaN
ES,1W,880930800,955.5,989,955.5,986.5,57035,NaN
ES,1W,881535600,986.5,989.75,957.75,966.5,49231,NaN
ES,1W,882140400,966.75,988,957.5,957.5,56139,NaN
ES,1W,882745200,956.75,965,941.5,946,13685,NaN
ES,1W,883350000,945.5,984.75,941.25,984.75,28989,NaN
ES,1W,883954800,987,992.75,925.5,929.5,79784,NaN
ES,1W,884559600,929,972.75,914.5,968.5,57342,NaN
ES,1W,885164400,968.5,986,955,964.5,57908,52562
ES,1W,885769200,961,999,953.5,987.75,68792,54363.3
ES,1W,886374000,988,1019.25,987.75,1018.5,63239,54689.35
ES,1W,886978800,1019,1031.5,1010.25,1022.25,51683,54166.45
ES,1W,887583600,1022.5,1038,1017.5,1037.5,46389,53388.8
ES,1W,888188400,1037.25,1055,1030.25,1050.5,55313,53758.1
ES,1W,888793200,1049.25,1058,1032,1057.25,67228,54120.45
ES,1W,889398000,1054,1089,1051,1081,39745,52870.45
ES,1W,890002800,1080,1113.75,1076.75,1111.25,57981,52103.3
ES,1W,890607600,1110.5,1125.25,1098.75,1107.5,62778,52504.25
ES,1W,891212400,1106.25,1137.5,1100.25,1134.75,66364,53005.8
ES,1W,891813600,1134.5,1142.5,1105,1119.5,52388,53108
