timeframe,symbol,time,open,high,low,close
1min,ES,1683496800,4151,4151.5,4149.5,4150.5
1min,ES,1683496860,4151,4152.75,4151,4152.5
1min,ES,1683496920,4152.25,4153,4152,4153
1min,ES,1683496980,4153,4153.75,4152.5,4153.5
1min,ES,1683497040,4153.25,4153.5,4152.5,4152.5
1min,ES,1683497100,4152.75,4152.75,4152,4152
1min,ES,1683497160,4152,4153.25,4152,4152.5
1min,ES,1683497220,4152.5,4152.75,4152,4152
1min,ES,1683497280,4152.25,4152.5,4152,4152.5
1min,ES,1683497340,4152.75,4152.75,4152.5,4152.75
1min,ES,1683497400,4152.5,4152.5,4152,4152.25
1min,ES,1683497460,4152.5,4153.75,4152.5,4153.25
1min,ES,1683497520,4153.5,4153.75,4153.5,4153.5
1min,ES,1683497580,4153.25,4154.5,4153.25,4154.25
1min,ES,1683497640,4154.25,4154.5,4154,4154.25
1min,ES,1683497700,4154.25,4154.25,4154,4154.25
1min,ES,1683497760,4154.25,4154.25,4153,4154
1min,ES,1683497820,4153.75,4154,4152.5,4152.75
1min,ES,1683497880,4152.75,4153.25,4151.75,4152
1min,ES,1683497940,4152,4152.25,4151.25,4151.75
1min,ES,1683498000,4151.75,4152.25,4151.75,4152.25
1min,ES,1683498060,4152.25,4152.25,4151,4151.25
1min,ES,1683498120,4151.25,4152.5,4151,4152
1min,ES,1683498180,4152,4152.5,4152,4152.5
1min,ES,1683498240,4152.5,4153,4152.5,4152.5
1min,ES,1683498300,4152.5,4153,4152.5,4152.75
1min,ES,1683498360,4152.75,4153,4152.75,4153
1min,ES,1683498420,4153,4153.25,4152.75,4153.25
1min,ES,1683498480,4153.25,4153.5,4153.25,4153.25
1min,ES,1683498540,4153.5,4153.5,4152.25,4153
1min,ES,1683498600,4153,4153,4152.75,4153
1min,ES,1683498660,4153,4153,4152.75,4152.75
1min,ES,1683498720,4152.5,4153,4152.5,4153
1min,ES,1683498780,4152.75,4152.75,4152.25,4152.75
1min,ES,1683498840,4152.5,4152.75,4152.5,4152.75
1min,ES,1683498900,4152.75,4153,4152.25,4152.25
1min,ES,1683498960,4152.25,4152.5,4151.75,4151.75
1min,ES,1683499020,4151.75,4152,4151.5,4151.75
1min,ES,1683499080,4151.5,4151.5,4150.5,4150.75
1min,ES,1683499140,4151,4151.75,4150.75,4151.5
1min,ES,1683499200,4151.5,4151.75,4151.25,4151.25
1min,ES,1683499260,4151.25,4152,4151,4151.75
1min,ES,1683499320,4151.75,4151.75,4151.75,4151.75
1min,ES,1683499380,4151.75,4152,4151.75,4152
1min,ES,1683499440,4152,4152.5,4152,4152
1min,ES,1683499500,4152,4152.25,4151.75,4151.75
1min,ES,1683499560,4151.5,4151.75,4151.25,4151.75
1min,ES,1683499620,4152,4152.25,4152,4152.25
1min,ES,1683499680,4152,4152,4151.75,4152
1min,ES,1683499740,4151.75,4151.75,4151.75,4151.75
1min,ES,1683499800,4152,4152,4151.5,4151.5
1min,ES,1683499860,4151.5,4151.75,4151.25,4151.75
1min,ES,1683499920,4152,4152,4152,4152
1min,ES,1683499980,4151.75,4151.75,4151.75,4151.75
1min,ES,1683500040,4151.5,4151.5,4151,4151.5
1min,ES,1683500100,4151.5,4151.5,4150.75,4150.75
1min,ES,1683500160,4151,4151,4150.75,4151
1min,ES,1683500220,4150.75,4151.25,4150.75,4151.25
1min,ES,1683500280,4151,4151.25,4151,4151.25
1min,ES,1683500340,4151.25,4151.5,4151,4151.25
1min,ES,1683500400,4151.25,4151.25,4150.75,4151
1min,ES,1683500460,4151,4151.5,4150.75,4151.25
1min,ES,1683500520,4151.5,4151.5,4151.25,4151.25
1min,ES,1683500580,4151.25,4151.25,4151,4151.25
1min,ES,1683500640,4151.25,4151.25,4151.25,4151.25
1min,ES,1683500700,4151.25,4151.25,4150.75,4151.25
1min,ES,1683500760,4151.25,4151.75,4151.25,4151.5
