symbol,timeframe,time,open,high,low,close
MSFT,1H,1294065000,28.02,28.18,28.02,28.1
MSFT,1H,1294068600,28.1,28.13,27.97,28.09
MSFT,1H,1294072200,28.1,28.11,28.03,28.03
MSFT,1H,1294075800,28.03,28.05,27.985,28
MSFT,1H,1294079400,28,28.005,27.97,27.97
MSFT,1H,1294083000,27.97,28.055,27.94,28.05
MSFT,1H,1294086600,28.04,28.07,27.92,27.97
MSFT,1H,1294151400,27.94,28.05,27.85,28.005
MSFT,1H,1294155000,28.005,28.05,27.925,27.955
MSFT,1H,1294158600,27.955,28,27.95,27.985
MSFT,1H,1294162200,27.98,28.04,27.945,28.005
MSFT,1H,1294165800,28.005,28.05,28,28.03
MSFT,1H,1294169400,28.03,28.17,28.025,28.11
MSFT,1H,1294173000,28.105,28.115,28.035,28.06
MSFT,1H,1294237800,27.9,27.97,27.77,27.77
MSFT,1H,1294241400,27.775,27.905,27.775,27.88
MSFT,1H,1294245000,27.88,27.91,27.8,27.89
MSFT,1H,1294248600,27.885,27.885,27.78,27.86
MSFT,1H,1294252200,27.86,27.94,27.82,27.91
MSFT,1H,1294255800,27.905,28,27.89,27.975
MSFT,1H,1294259400,27.975,28.01,27.965,27.99
MSFT,1H,1294324200,28.04,28.1,27.86,27.975
MSFT,1H,1294327800,27.98,28.19,27.92,28.18
MSFT,1H,1294331400,28.18,28.34,28.175,28.255
MSFT,1H,1294335000,28.255,28.5,28.255,28.46
MSFT,1H,1294338600,28.46,28.565,28.45,28.55
MSFT,1H,1294342200,28.55,28.77,28.54,28.715
MSFT,1H,1294345800,28.715,28.85,28.715,28.8
MSFT,1H,1294410600,28.64,28.74,28.43,28.47
MSFT,1H,1294414200,28.465,28.53,28.32,28.34
MSFT,1H,1294417800,28.34,28.555,28.29,28.47
MSFT,1H,1294421400,28.47,28.48,28.25,28.26
MSFT,1H,1294425000,28.265,28.39,28.265,28.355
MSFT,1H,1294428600,28.355,28.58,28.31,28.58
MSFT,1H,1294432200,28.58,28.65,28.545,28.59
MSFT,1H,1294669800,28.28,28.4,28.04,28.07
MSFT,1H,1294673400,28.075,28.15,28.07,28.1
MSFT,1H,1294677000,28.095,28.28,28.08,28.24
MSFT,1H,1294680600,28.235,28.255,28.15,28.2
MSFT,1H,1294684200,28.205,28.23,28.18,28.2
MSFT,1H,1294687800,28.205,28.255,28.14,28.25
MSFT,1H,1294691400,28.26,28.26,28.185,28.21
