timeframe,symbol,time,open,high,low,close
5min,MSFT,1653312600,255.65,255.81,253.69,254.53
5min,MSFT,1653312900,254.59,254.84,253.52,254.15
5min,MSFT,1653313200,254.08,256.44,254.07,255.95
5min,MSFT,1653313500,256.08,257.43,255.94,257.12
5min,MSFT,1653313800,257.2,258.08,256.99,257.56
5min,MSFT,1653314100,257.54,257.67,256.47,256.64
5min,MSFT,1653314400,256.75,256.89,255.25,255.68
5min,MSFT,1653314700,255.71,256.17,255.09,255.51
5min,MSFT,1653315000,255.41,256.25,255.11,255.7
5min,MSFT,1653315300,255.79,257.12,255.79,256.75
5min,MSFT,1653315600,256.57,257.48,256.39,257.04
5min,MSFT,1653315900,257.07,257.73,255.95,257.73
5min,MSFT,1653316200,257.74,258.19,257.25,257.99
5min,MSFT,1653316500,258.04,258.37,257.69,257.89
5min,MSFT,1653316800,257.87,258.2,257.18,257.85
5min,MSFT,1653317100,257.91,258.83,257.44,258.08
5min,MSFT,1653317400,258.06,258.06,256.82,257.23
5min,MSFT,1653317700,257.16,257.645,256.725,257.57
5min,MSFT,1653318000,257.58,258.88,257.18,258.77
5min,MSFT,1653318300,258.8,259.23,258.8,259.13
5min,MSFT,1653318600,259.18,259.25,258.79,259.12
5min,MSFT,1653318900,259.23,259.25,258.28,258.33
5min,MSFT,1653319200,258.31,259.1,258.31,259.04
5min,MSFT,1653319500,259.06,259.64,258.92,259.19
5min,MSFT,1653319800,259.2,259.76,259,259.72
5min,MSFT,1653320100,259.72,260.35,259.41,260.35
5min,MSFT,1653320400,260.31,260.31,259.64,259.65
5min,MSFT,1653320700,259.67,259.9,259.3,259.65
5min,MSFT,1653321000,259.68,259.91,259.47,259.7
5min,MSFT,1653321300,259.73,260.24,259.65,260.11
5min,MSFT,1653321600,260.11,261.31,260.02,261.31
5min,MSFT,1653321900,261.27,261.5,261.22,261.36
5min,MSFT,1653322200,261.35,261.4,260.99,261.04
5min,MSFT,1653322500,261.07,261.33,260.94,261.06
5min,MSFT,1653322800,261.08,261.34,260.94,261.16
5min,MSFT,1653323100,261.075,261.3,260.87,260.9
5min,MSFT,1653323400,260.81,260.84,260.33,260.615
5min,MSFT,1653323700,260.66,260.855,260.51,260.85
5min,MSFT,1653324000,260.93,260.99,260.68,260.91
5min,MSFT,1653324300,260.94,260.95,260.09,260.24
5min,MSFT,1653324600,260.4,260.47,259.94,260.01
5min,MSFT,1653324900,260,260.12,259.79,260.07
5min,MSFT,1653325200,260.06,260.07,259.64,259.64
5min,MSFT,1653325500,259.56,259.81,259.47,259.71
5min,MSFT,1653325800,259.66,259.96,259.58,259.88
5min,MSFT,1653326100,259.76,259.78,259.38,259.72
5min,MSFT,1653326400,259.68,259.7,259.16,259.51
5min,MSFT,1653326700,259.53,259.73,259.35,259.6
5min,MSFT,1653327000,259.59,259.9,259.39,259.67
5min,MSFT,1653327300,259.41,259.66,259.26,259.41
5min,MSFT,1653327600,259.45,259.57,259.33,259.45
5min,MSFT,1653327900,259.49,260.28,259.45,260.2
5min,MSFT,1653328200,260.22,260.22,259.72,259.72
5min,MSFT,1653328500,259.75,260.05,259.58,260.05
5min,MSFT,1653328800,260.07,260.25,259.76,259.92
5min,MSFT,1653329100,259.94,260.24,259.75,260.14
5min,MSFT,1653329400,260.2,260.51,260,260.32
5min,MSFT,1653329700,260.33,260.65,260.15,260.64
5min,MSFT,1653330000,260.59,260.83,260.45,260.66
5min,MSFT,1653330300,260.69,260.69,260.03,260.29
5min,MSFT,1653330600,260.17,260.46,260.13,260.3
5min,MSFT,1653330900,260.29,260.44,260.24,260.31
5min,MSFT,1653331200,260.36,260.905,260.09,260.905
5min,MSFT,1653331500,260.9,260.9,260.02,260.23
5min,MSFT,1653331800,260.18,260.42,259.56,260.09
5min,MSFT,1653332100,260.14,260.14,259.5,259.68
5min,MSFT,1653332400,259.7,260.19,259.64,259.83
5min,MSFT,1653332700,259.87,260.46,259.7,260.46
5min,MSFT,1653333000,260.49,260.5,259.24,259.62
5min,MSFT,1653333300,259.51,259.86,259.43,259.86
5min,MSFT,1653333600,259.87,259.93,259.11,259.26
5min,MSFT,1653333900,259.32,259.73,259.17,259.47
5min,MSFT,1653334200,259.53,259.87,259.45,259.78
5min,MSFT,1653334500,259.82,260.19,259.25,259.27
5min,MSFT,1653334800,259.25,259.61,259.1,259.45
5min,MSFT,1653335100,259.31,259.43,258.88,259.13
5min,MSFT,1653335400,259.5,260.27,259.29,259.89
5min,MSFT,1653335700,259.82,260.75,259.76,260.44
5min,MSFT,1653399000,257.73,259.51,257.34,258.71
5min,MSFT,1653399300,258.63,259.19,257.655,258.51
5min,MSFT,1653399600,258.58,258.9,258.08,258.35
5min,MSFT,1653399900,258.15,258.33,257.16,257.795
5min,MSFT,1653400200,257.83,258.65,257.68,258.09
5min,MSFT,1653400500,258.19,258.19,256.33,256.53
5min,MSFT,1653400800,256.38,256.64,255.88,256.55
5min,MSFT,1653401100,256.51,256.92,255.44,255.44
5min,MSFT,1653401400,255.48,255.54,253.92,253.95
5min,MSFT,1653401700,253.89,254.17,253.54,253.72
5min,MSFT,1653402000,253.69,254.57,253.69,254.13
5min,MSFT,1653402300,254.09,254.99,253.7,254.99
5min,MSFT,1653402600,254.78,255.62,254.61,255.29
5min,MSFT,1653402900,255.21,255.88,254.93,255
5min,MSFT,1653403200,254.89,255.58,254.62,255.38
5min,MSFT,1653403500,255.57,256.08,254.75,254.88
5min,MSFT,1653403800,254.76,254.96,254.58,254.61
5min,MSFT,1653404100,254.5,255.2,254.27,255.2
5min,MSFT,1653404400,255.1,255.6,255.05,255.08
5min,MSFT,1653404700,255.05,255.47,254.815,255.09
5min,MSFT,1653405000,255.25,255.57,254.775,255.12
5min,MSFT,1653405300,255.17,256.15,254.95,255.1
5min,MSFT,1653405600,255.06,255.49,254.86,255.49
5min,MSFT,1653405900,255.34,255.76,255.34,255.76
5min,MSFT,1653406200,255.93,255.93,255.34,255.71
5min,MSFT,1653406500,255.57,255.92,255.44,255.67
5min,MSFT,1653406800,255.76,256.39,255.6,256.32
5min,MSFT,1653407100,256.5,257.51,256.5,257.375
5min,MSFT,1653407400,257.35,257.8,257.08,257.61
5min,MSFT,1653407700,257.36,257.87,257.24,257.37
5min,MSFT,1653408000,257.23,257.63,257.19,257.59
5min,MSFT,1653408300,257.68,258.09,257.48,258.08
5min,MSFT,1653408600,258.01,258.69,258.01,258.67
5min,MSFT,1653408900,258.9,259.57,258.9,259.11
5min,MSFT,1653409200,258.99,258.99,258.29,258.395
5min,MSFT,1653409500,258.5,258.54,258.04,258.04
5min,MSFT,1653409800,258.095,258.17,257.49,257.63
5min,MSFT,1653410100,257.57,257.57,256.98,257.19
5min,MSFT,1653410400,257.24,257.38,257.145,257.25
5min,MSFT,1653410700,257.11,257.63,257.04,257.43
5min,MSFT,1653411000,257.61,257.61,257.34,257.41
5min,MSFT,1653411300,257.77,258.19,257.68,257.88
5min,MSFT,1653411600,257.73,257.75,256.64,256.64
5min,MSFT,1653411900,256.75,256.9,256.62,256.62
5min,MSFT,1653412200,256.63,257.03,256.6,256.93
5min,MSFT,1653412500,256.89,257.32,256.72,257.12
5min,MSFT,1653412800,257.08,257.13,256.77,256.95
5min,MSFT,1653413100,256.84,257.27,256.79,257.27
5min,MSFT,1653413400,257.21,257.245,256.81,257.245
5min,MSFT,1653413700,257.26,258.08,257.17,258.05
5min,MSFT,1653414000,258.29,259,258.29,258.6
5min,MSFT,1653414300,258.67,259.35,258.53,258.7
5min,MSFT,1653414600,258.71,259.05,258.7,258.75
5min,MSFT,1653414900,258.85,259.03,258.52,258.6
5min,MSFT,1653415200,258.64,258.64,257.96,257.96
5min,MSFT,1653415500,258,259.16,257.95,259.02
5min,MSFT,1653415800,258.95,259.61,258.75,259.03
5min,MSFT,1653416100,258.81,258.9,258.38,258.43
5min,MSFT,1653416400,258.44,258.73,258.14,258.73
5min,MSFT,1653416700,258.81,258.94,258.43,258.46
5min,MSFT,1653417000,258.43,258.74,258.15,258.71
5min,MSFT,1653417300,258.91,259.08,258.49,258.95
5min,MSFT,1653417600,259.035,259.28,257.89,257.89
5min,MSFT,1653417900,257.88,258.04,257.25,257.4
5min,MSFT,1653418200,257.37,257.57,257.21,257.33
5min,MSFT,1653418500,257.26,257.71,257.03,257.64
5min,MSFT,1653418800,257.61,258.39,257.54,258.32
5min,MSFT,1653419100,258.51,258.65,258.12,258.29
5min,MSFT,1653419400,258.3,258.96,258.3,258.73
5min,MSFT,1653419700,259,259.39,258.66,258.74
5min,MSFT,1653420000,258.67,259.55,258.31,259.34
5min,MSFT,1653420300,259.25,259.84,258.93,259.37
5min,MSFT,1653420600,259.4,259.73,259.15,259.69
5min,MSFT,1653420900,259.73,261.29,259.73,260.58
5min,MSFT,1653421200,260.66,260.84,259.74,259.74
5min,MSFT,1653421500,259.68,260.57,259.68,260.15
5min,MSFT,1653421800,260.06,260.15,259.08,259.12
5min,MSFT,1653422100,259.09,260.15,258.89,259.73
5min,MSFT,1653485400,258.3,259.18,257.66,258.65
5min,MSFT,1653485700,258.81,260.02,258.5,259.615
5min,MSFT,1653486000,259.8,260.61,259.64,260.12
5min,MSFT,1653486300,260.14,261.3,259.15,259.37
5min,MSFT,1653486600,259.26,259.59,258.37,258.73
5min,MSFT,1653486900,258.82,259.56,258.68,259.29
5min,MSFT,1653487200,259.29,259.35,258.19,258.5
5min,MSFT,1653487500,258.25,258.25,257.15,257.33
5min,MSFT,1653487800,257.5,258.93,257.21,258.93
5min,MSFT,1653488100,258.99,260,258.91,259.68
5min,MSFT,1653488400,259.71,259.71,259.35,259.52
5min,MSFT,1653488700,259.66,260.35,259.54,260.16
5min,MSFT,1653489000,260.15,260.71,259.99,260.71
5min,MSFT,1653489300,260.79,260.81,260.49,260.5
5min,MSFT,1653489600,260.7,260.7,259.6,260.12
5min,MSFT,1653489900,260.07,260.22,259.24,259.65
5min,MSFT,1653490200,259.7,259.94,259.4,259.5
5min,MSFT,1653490500,259.5,259.85,259.39,259.69
5min,MSFT,1653490800,259.64,259.67,258.13,258.24
5min,MSFT,1653491100,258.42,259.16,258.31,259.03
5min,MSFT,1653491400,259.08,259.64,259.01,259.37
5min,MSFT,1653491700,259.48,259.64,259.25,259.39
5min,MSFT,1653492000,259.3,259.55,259.07,259.5
5min,MSFT,1653492300,259.27,259.43,259.08,259.31
5min,MSFT,1653492600,259.2,259.42,258.66,258.81
5min,MSFT,1653492900,258.9,259.12,258.4,259.02
5min,MSFT,1653493200,259.04,259.78,259.04,259.61
5min,MSFT,1653493500,259.54,260.08,259.41,259.775
5min,MSFT,1653493800,259.7,259.86,259.58,259.76
5min,MSFT,1653494100,259.58,259.95,259.56,259.58
5min,MSFT,1653494400,259.41,259.7,259.37,259.46
5min,MSFT,1653494700,259.56,259.61,258.92,259.05
5min,MSFT,1653495000,259.03,259.69,258.97,259.56
5min,MSFT,1653495300,259.74,259.75,259.08,259.19
5min,MSFT,1653495600,259.17,259.2,258.76,259.03
5min,MSFT,1653495900,258.89,259,258.67,258.93
5min,MSFT,1653496200,259.04,259.31,258.85,258.88
5min,MSFT,1653496500,258.95,258.98,258.64,258.81
5min,MSFT,1653496800,258.83,258.83,258.555,258.74
5min,MSFT,1653497100,258.87,260.13,258.84,260.04
5min,MSFT,1653497400,259.81,259.89,259.33,259.48
5min,MSFT,1653497700,259.43,259.75,259.08,259.75
5min,MSFT,1653498000,259.75,259.75,259.3,259.33
5min,MSFT,1653498300,259.43,259.71,259.28,259.46
5min,MSFT,1653498600,259.47,259.49,258.76,259.31
5min,MSFT,1653498900,259.39,259.6,259.02,259.1
5min,MSFT,1653499200,258.96,259.16,258.92,258.96
5min,MSFT,1653499500,258.81,259.63,258.8,259.63
5min,MSFT,1653499800,259.5,260.03,259.5,260.03
5min,MSFT,1653500100,260.04,260.49,260.04,260.42
5min,MSFT,1653500400,260.44,260.59,260.1,260.51
5min,MSFT,1653500700,260.53,260.58,260.19,260.51
5min,MSFT,1653501000,260.59,260.6,260.21,260.21
5min,MSFT,1653501300,260.11,260.46,260.11,260.32
5min,MSFT,1653501600,260.15,261.83,260,260.98
5min,MSFT,1653501900,261.06,261.35,258.98,259.9
5min,MSFT,1653502200,260.245,261.19,259.94,260.94
5min,MSFT,1653502500,261.06,262.2,260.91,261.915
5min,MSFT,1653502800,261.88,262.55,261.53,261.91
5min,MSFT,1653503100,261.94,262.95,261.92,262.73
5min,MSFT,1653503400,262.85,263.07,262.37,263.07
5min,MSFT,1653503700,263.03,263.22,262.48,262.59
