symbol,timeframe,time,open,high,low,close,Volume,Volume MA
NQ,1D,930693600,2293.5,2348.5,2268.5,2325.5,2456,NaN
NQ,1D,930780000,2326,2357,2295,2347.5,1247,NaN
NQ,1D,931212000,2383.5,2410,2376.5,2396,1247,NaN
NQ,1D,931298400,2365,2367.5,2341,2352,3440,NaN
NQ,1D,931384800,2368,2405,2350.5,2388,3604,NaN
NQ,1D,931471200,2395,2405.5,2384,2398,2126,NaN
NQ,1D,931730400,2423,2437,2389,2422,3650,NaN
NQ,1D,931816800,2394,2399,2372.5,2382,3552,NaN
NQ,1D,931903200,2397.5,2426.5,2382,2424,3067,NaN
NQ,1D,931989600,2434,2453.5,2428.5,2448,2875,NaN
NQ,1D,932076000,2448,2489,2446.5,2484,1798,NaN
NQ,1D,932335200,2475.5,2489,2442,2449.5,2699,NaN
NQ,1D,932421600,2402,2406,2358.5,2369.5,3934,NaN
NQ,1D,932508000,2356.5,2387.5,2342,2353,3047,NaN
NQ,1D,932594400,2316,2324.5,2299,2312,3224,NaN
NQ,1D,932680800,2325,2333,2283.5,2303,2485,NaN
NQ,1D,932940000,2281,2302,2265.5,2268,2851,NaN
NQ,1D,933026400,2276,2328.5,2274,2325.5,3644,NaN
NQ,1D,933112800,2319.5,2353,2292,2334.5,3190,NaN
NQ,1D,933199200,2326,2329,2269,2284.5,3528,2883.2
NQ,1D,933285600,2304,2327,2282,2294,2712,2896
NQ,1D,933544800,2266.5,2325,2260.5,2310.5,3088,2988.05
NQ,1D,933631200,2282,2302.5,2224,2261.5,4979,3174.65
NQ,1D,933717600,2262,2273.5,2233,2247,3463,3175.8
NQ,1D,933804000,2207,2241.5,2164.5,2226,4686,3229.9
NQ,1D,933890400,2251,2273.5,2215,2224.5,3736,3310.4
NQ,1D,934149600,2236,2244,2206,2227,4108,3333.3
NQ,1D,934236000,2142,2167,2132,2159,5955,3453.45
NQ,1D,934322400,2197,2230,2184.5,2226.5,3989,3499.55
NQ,1D,934408800,2248.5,2272.5,2234,2238,4343,3572.95
NQ,1D,934495200,2217.5,2302.5,2214,2297.5,2947,3630.4
NQ,1D,934754400,2318,2348,2307,2313,3878,3689.35
NQ,1D,934840800,2330,2359,2289,2334.5,3717,3678.5
NQ,1D,934927200,2350,2363.5,2320,2323.5,3717,3712
NQ,1D,935013600,2322,2326.5,2278,2302,4291,3765.35
NQ,1D,935100000,2295.5,2313.5,2282.5,2308,1928,3737.5
NQ,1D,935359200,2337,2372,2335.5,2363,2778,3733.85
NQ,1D,935445600,2388,2444.5,2379.5,2405,3037,3703.5
NQ,1D,935532000,2415,2476.5,2406.5,2470.5,3321,3710.05
