symbol,timeframe,time,open,high,low,close
NQ,1H,1557136800,7690,7702.5,7684.25,7699
NQ,1H,1557140400,7698.75,7713,7694.5,7709
NQ,1H,1557144000,7708.75,7723.5,7703.75,7717.25
NQ,1H,1557147600,7717,7753,7676,7751.25
NQ,1H,1557151200,7751,7778.75,7733,7775.25
NQ,1H,1557154800,7775.25,7787.5,7763,7766.5
NQ,1H,1557158400,7766.5,7771,7745.75,7748
NQ,1H,1557162000,7747.75,7773.25,7741.5,7771.5
NQ,1H,1557165600,7771.75,7816.5,7765,7814.25
NQ,1H,1557169200,7814.5,7817.5,7800.25,7808.5
NQ,1H,1557172800,7808.25,7811.25,7739,7739
NQ,1H,1557180000,7744.75,7761.75,7742.25,7756.75
NQ,1H,1557183600,7757,7765.5,7751.75,7762.75
NQ,1H,1557187200,7763,7765.5,7735,7749.5
NQ,1H,1557190800,7749.5,7758.25,7745.25,7754
NQ,1H,1557194400,7754,7765,7753.75,7762.75
NQ,1H,1557198000,7762.5,7762.5,7738,7743.25
NQ,1H,1557201600,7743.75,7757,7742.75,7756
NQ,1H,1557205200,7756,7756.5,7741.25,7749.25
NQ,1H,1557208800,7749,7804,7748,7788.25
NQ,1H,1557212400,7788.75,7792.75,7777.75,7783.5
NQ,1H,1557216000,7783.25,7785.25,7765.25,7766.5
NQ,1H,1557219600,7766.25,7768.25,7754.25,7762.75
NQ,1H,1557223200,7762.5,7766.25,7744.5,7746.5
NQ,1H,1557226800,7746.5,7757,7726.5,7728.5
NQ,1H,1557230400,7728.25,7747.75,7719.25,7738.75
NQ,1H,1557234000,7739,7752.5,7695,7709.5
NQ,1H,1557237600,7709.25,7711,7653.75,7664
NQ,1H,1557241200,7663.75,7687,7641.5,7660.5
NQ,1H,1557244800,7660.5,7689.5,7646.75,7661.75
NQ,1H,1557248400,7661.75,7665.25,7607,7623
NQ,1H,1557252000,7623,7638.25,7587.5,7613.75
NQ,1H,1557255600,7613.5,7654.5,7581.25,7654.25
NQ,1H,1557259200,7654,7675.75,7652.5,7670.5
NQ,1H,1557266400,7663.75,7671.75,7651.25,7659.25
NQ,1H,1557270000,7659.75,7663.5,7648.75,7652.5
NQ,1H,1557273600,7652.75,7664.75,7645.25,7657
NQ,1H,1557277200,7657,7678.75,7656.75,7675.5
NQ,1H,1557280800,7675.25,7688,7670.5,7681.25
NQ,1H,1557284400,7681.5,7683,7670.5,7676
NQ,1H,1557288000,7675.75,7679.75,7671.5,7679.5
NQ,1H,1557291600,7679.5,7682.75,7665.5,7675.75
NQ,1H,1557295200,7675.75,7679.75,7668.25,7674.5
NQ,1H,1557298800,7674.75,7684.5,7671.5,7683
NQ,1H,1557302400,7682.75,7698,7666.5,7675.5
NQ,1H,1557306000,7675.5,7677.75,7633.75,7635.25
NQ,1H,1557309600,7635,7643.25,7627.25,7636
NQ,1H,1557313200,7636.25,7636.25,7605,7624.5
NQ,1H,1557316800,7624.25,7649.75,7602,7634
NQ,1H,1557320400,7633.75,7661,7600,7646
NQ,1H,1557324000,7646.5,7674.75,7617.25,7674
NQ,1H,1557327600,7673,7692,7638.5,7653.5
NQ,1H,1557331200,7653.75,7677.75,7636.5,7674.75
NQ,1H,1557334800,7674.75,7681.25,7657,7665.25
NQ,1H,1557338400,7665,7671.5,7650.25,7664.75
NQ,1H,1557342000,7665,7682.5,7626.75,7628.5
NQ,1H,1557345600,7628.25,7650,7627.75,7642.5
NQ,1H,1557352800,7639.75,7643.5,7630.25,7642.25
NQ,1H,1557356400,7642.25,7644.5,7631.75,7632.75
NQ,1H,1557360000,7632.75,7642,7595.25,7616.25
NQ,1H,1557363600,7615.75,7626.5,7611.75,7614.25
NQ,1H,1557367200,7614.5,7617.75,7586.5,7597.25
NQ,1H,1557370800,7597.5,7598,7586.5,7595.75
NQ,1H,1557374400,7596,7598,7591.5,7596.5
NQ,1H,1557378000,7596.75,7612.5,7589.75,7599.75
NQ,1H,1557381600,7600,7604.75,7575,7580.75
NQ,1H,1557385200,7580.75,7583,7558.5,7572.25
NQ,1H,1557388800,7572.5,7579.75,7559,7577.75
NQ,1H,1557392400,7578,7587,7570.75,7577.5
NQ,1H,1557396000,7577.5,7590.75,7569.25,7587.75
NQ,1H,1557399600,7588.25,7593.5,7575.25,7579
NQ,1H,1557403200,7579,7580.75,7550,7552.5
NQ,1H,1557406800,7552.25,7565.5,7502,7525.25
NQ,1H,1557410400,7525.5,7525.75,7481,7490.25
NQ,1H,1557414000,7490,7538,7487.25,7530.5
NQ,1H,1557417600,7530.75,7617.25,7512.5,7581.5
NQ,1H,1557421200,7580.75,7616,7568,7595.75
NQ,1H,1557424800,7596,7610,7571,7573
NQ,1H,1557428400,7572.75,7602.5,7555,7593
NQ,1H,1557432000,7593,7604.25,7588.75,7592.5
NQ,1H,1557439200,7591,7594.25,7574.25,7574.5
NQ,1H,1557442800,7574.75,7601.5,7573.25,7596.75
NQ,1H,1557446400,7597,7654.5,7590,7627
NQ,1H,1557450000,7627.25,7648.25,7601.25,7644.25
NQ,1H,1557453600,7644.25,7646.5,7575,7575.5
NQ,1H,1557457200,7575.25,7609.25,7542.25,7549.25
NQ,1H,1557460800,7549.25,7580.5,7532.5,7547.5
NQ,1H,1557464400,7547.75,7587,7532.5,7584
NQ,1H,1557468000,7583.25,7595.5,7574.25,7582.5
NQ,1H,1557471600,7582,7609.25,7577.25,7579.25
NQ,1H,1557475200,7579,7592.25,7567.5,7583.25
NQ,1H,1557478800,7583.25,7599,7580.25,7583
NQ,1H,1557482400,7582.75,7614.5,7573.75,7580.75
NQ,1H,1557486000,7581.25,7586.25,7551,7554.25
NQ,1H,1557489600,7554.25,7554.5,7525,7546.75
NQ,1H,1557493200,7546.25,7588.25,7544.5,7550.5
NQ,1H,1557496800,7550.25,7551.75,7444.25,7459.75
NQ,1H,1557500400,7460,7482,7435.75,7458.5
NQ,1H,1557504000,7458,7536.5,7457.5,7526.75
