symbol,timeframe,time,open,high,low,close,Volume,Volume MA
NQ,1M,928188000,2293.5,2348.5,2268.5,2325.5,2456,NaN
NQ,1M,930780000,2326,2489,2265.5,2294,57920,NaN
NQ,1M,933544800,2266.5,2477.5,2132,2395.5,83324,NaN
NQ,1M,936136800,2395,2588,2362,2439.5,89004,NaN
NQ,1M,938728800,2436.5,2672,2318.5,2655.5,104355,NaN
NQ,1M,941410800,2650,3165,2626.5,2972,120691,NaN
NQ,1M,944002800,2971,3804.5,2961.5,3754,181857,NaN
NQ,1M,946854000,3750,3938,3257,3612.5,301193,NaN
NQ,1M,949359600,3606.5,4316,3564,4301,386267,NaN
NQ,1M,951865200,4298,4884,4108,4457.5,572577,NaN
NQ,1M,954712800,4417,4417,3148,3810,599269,NaN
NQ,1M,957132000,3807.5,3910,2902.5,3325,744705,NaN
NQ,1M,959810400,3324,4057.5,3324,3817,730109,NaN
NQ,1M,962575200,3801.5,4134.5,3464.5,3617,755886,NaN
NQ,1M,965080800,3616,4095,3370,4094,883112,NaN
NQ,1M,967759200,4089.5,4186,3580.5,3621,1162841,NaN
NQ,1M,970437600,3621,3668,2978.5,3298,1588826,NaN
NQ,1M,973033200,3299.5,3400,2435,2530,1518227,NaN
NQ,1M,975625200,2530.5,3048,2211,2374.5,1437234,NaN
NQ,1M,978303600,2375,2797,2130.5,2611,1879203,659952.8
NQ,1M,980982000,2608.5,2647.5,1881,1913,1941199,756889.95
NQ,1M,983401200,1905.5,2036.5,1544.5,1588,2500483,879018.1
NQ,1M,986162400,1601,1997,1361,1866.5,2923006,1021002.2
NQ,1M,988668000,1862,2080.5,1764,1798.5,2795588,1156331.4
NQ,1M,991346400,1799,2022.5,1660,1855,2821677,1292197.5
NQ,1M,994024800,1848,1882,1588.5,1693,2475685,1409947.2
NQ,1M,996616800,1691,1779.5,1437,1472.5,2567569,1529232.8
NQ,1M,999468000,1474,1523,1097,1175,2181012,1623223.75
NQ,1M,1001887200,1171,1493,1136,1369,3964161,1802118.45
NQ,1M,1004569200,1364.5,1648,1360.5,1598,3263778,1936678.5
NQ,1M,1007334000,1590,1738,1557.5,1583.5,2358930,2024661.55
NQ,1M,1009839600,1577.5,1717,1484,1553.5,3719312,2173391.9
NQ,1M,1012518000,1549.5,1565.5,1330.5,1360.5,3843644,2329068.65
NQ,1M,1014937200,1360,1583,1358,1459.5,3412148,2461881.75
NQ,1M,1017615600,1454,1489.5,1231,1280,4227364,2629094.35
NQ,1M,1020204000,1279.5,1354,1144.5,1209.5,4835568,2812730.7
NQ,1M,1023055200,1209.5,1219.5,974,1054,4427024,2954640.6
NQ,1M,1025474400,1054.5,1073.5,873,961.5,6038526,3180655.55
NQ,1M,1028152800,958.5,1055,857,943.5,4305028,3324045.25
NQ,1M,1030917600,942,980.5,826,837,4240411,3442105.65
NQ,1M,1033423200,835.5,1014.5,797.5,991.5,6252221,3657656.75
NQ,1M,1036105200,991.5,1145,973.5,1117,5031103,3784187.75
NQ,1M,1038783600,1112.5,1157.5,979,987,4239842,3850029.55
NQ,1M,1041375600,992,1108.5,965,984.5,5338706,3977185.45
NQ,1M,1044226800,984,1022,938.5,1010.5,4879522,4080077.7
NQ,1M,1046646000,1014.5,1103.5,945,1021,5335553,4223071.1
NQ,1M,1049151600,1019,1129.5,1015.5,1108,5130873,4351236.3
NQ,1M,1051740000,1107,1202.5,1095,1199,5238059,4504088.65
NQ,1M,1054504800,1198.5,1266.5,1180,1204.5,5960921,4603926.65
NQ,1M,1057010400,1206,1319.5,1179,1279,6365998,4759037.65
NQ,1M,1059688800,1278.5,1346,1204,1342,4920697,4887126
NQ,1M,1062367200,1341,1405,1303,1306,6770142,5039667.5
NQ,1M,1064959200,1305.5,1445,1304.5,1418,6598658,5177418.2
NQ,1M,1067814000,1412.5,1458.5,1356.5,1425,5496232,5281622.4
NQ,1M,1070233200,1424,1479,1372.5,1468,5132301,5326869.25
NQ,1M,1072911600,1473,1563,1460.5,1495,6641608,5417171.25
NQ,1M,1075676400,1494,1525.5,1452,1471.5,5858370,5488738.55
NQ,1M,1078095600,1473,1496,1365.5,1441.5,7497726,5561698.55
NQ,1M,1080774000,1443.5,1511,1399.5,1403,6385429,5665718.6
NQ,1M,1083535200,1399.5,1471.5,1372.5,1468,7055801,5806488.1
NQ,1M,1086040800,1466,1528.5,1441.5,1521,5596073,5773680.7
NQ,1M,1088632800,1521.5,1525.5,1360,1402.5,7512819,5897766.5
NQ,1M,1091397600,1400,1410.5,1302,1370,6117029,5991625.85
NQ,1M,1093989600,1369.5,1446.5,1360,1417.5,6122605,6030820.8
NQ,1M,1096581600,1417,1500.5,1412,1490,7318577,6152773.55
NQ,1M,1099263600,1481,1596.5,1481,1573,6108273,6191409.55
NQ,1M,1101855600,1578.5,1645,1574.5,1628.5,4974031,6183567.45
NQ,1M,1104706800,1628,1644,1484.5,1524,7173057,6280317.35
NQ,1M,1107212400,1522.5,1565,1490.5,1513,6146733,6289607.95
NQ,1M,1109631600,1513.5,1555,1463.5,1491,6730294,6307822.75
NQ,1M,1112310000,1491.5,1511.5,1397.5,1425.5,7235602,6423568
NQ,1M,1114984800,1426,1558.5,1419,1545,5732308,6371676.3
NQ,1M,1117576800,1544,1576.5,1499.5,1503,5698610,6326673.9
NQ,1M,1120168800,1502,1630,1465,1611.5,4894941,6296609.35
NQ,1M,1122847200,1616,1635.5,1544.5,1584,5163337,6298161.15
NQ,1M,1125525600,1585.5,1634.5,1563.5,1614,5113458,6221753.65
NQ,1M,1128290400,1615.5,1629.5,1523,1586.5,6581566,6257913.45
NQ,1M,1130799600,1578,1710,1574,1675,5530885,6159571.4
NQ,1M,1133391600,1678,1731,1654,1659,4323267,6056463.3
NQ,1M,1136156400,1658,1774,1646,1719.5,6906639,6049005.2
NQ,1M,1138748400,1698.5,1725.5,1642.5,1674.5,6118416,6075122.35
NQ,1M,1141167600,1673,1737.5,1642,1720,6857832,6042373
NQ,1M,1144015200,1724.25,1765.75,1696.25,1711,5457341,6009388.6
NQ,1M,1146434400,1714.5,1728,1557.25,1583,7832710,6094893.85
NQ,1M,1149112800,1583,1636.75,1525.75,1591.5,7187677,6088348.85
NQ,1M,1151877600,1593.5,1603.5,1457.75,1518.75,6950986,6130484.5
NQ,1M,1154383200,1516,1591.5,1481.75,1583,6309661,6197266
NQ,1M,1157061600,1584,1683.25,1561.5,1671.25,6438764,6160551.35
NQ,1M,1159740000,1670.5,1757,1638,1742.75,6766131,6191521.25
NQ,1M,1162335600,1743.25,1826,1701.25,1794.75,6505172,6180265.15
NQ,1M,1164927600,1794.25,1848.75,1762.5,1775,4776995,6057334.8
NQ,1M,1167606000,1780.5,1867.75,1747,1802.5,7115855,6126512.15
NQ,1M,1170284400,1804.5,1857.5,1743.25,1765.5,6952475,6189205.4
NQ,1M,1172703600,1764.5,1831,1704.75,1790.75,7892520,6339084.35
NQ,1M,1175464800,1791.75,1909,1778.25,1879.25,4974818,6329658.4
NQ,1M,1177970400,1876.5,1935.75,1868,1932.25,7063869,6427178.95
NQ,1M,1180648800,1933.5,1975,1881.75,1956,7387215,6467461.4
NQ,1M,1183327200,1955,2077.75,1942.25,1945.75,8120222,6596928.25
NQ,1M,1185919200,1951.5,2006.75,1813.75,1994.75,10551899,6908359.85
NQ,1M,1188770400,1994.75,2124,1947,2114,6126330,6869344.4
NQ,1M,1191189600,2116.25,2253,2108.5,2252.5,8914908,7009169
NQ,1M,1193868000,2252.5,2256.25,1982.25,2094.5,11136694,7223112.1
NQ,1M,1196636400,2092.75,2165,2021,2104.75,5919256,7246207.85
NQ,1M,1199142000,2111.25,2117,1698.25,1847.75,11596482,7434396.45
NQ,1M,1201820400,1835.75,1879,1713,1748.25,8062613,7478143.25
NQ,1M,1204498800,1748,1839.5,1668.75,1790.5,8798276,7570507.75
NQ,1M,1207000800,1785.5,1960.5,1777.25,1923.25,6879944,7599021.9
NQ,1M,1209592800,1922.25,2054.25,1921.5,2035.25,7407416,7647454.5
NQ,1M,1212357600,2037,2062.75,1836,1846,9031593,7760727.6
NQ,1M,1214863200,1849.75,1887.25,1765.25,1853.75,10469033,7958920.65
NQ,1M,1217541600,1854.25,1977.25,1801.75,1875,7597223,8099932.05
NQ,1M,1220220000,1875.25,1915.5,1494,1594.25,10511151,8269696.85
NQ,1M,1222812000,1599.75,1600.25,1136.75,1337,12282000,8536173.1
NQ,1M,1225666800,1340,1389,1017.75,1186,7296261,8506360.15
NQ,1M,1228086000,1185.75,1252.5,1089.5,1212.5,5870642,8551151.35
NQ,1M,1230764400,1211,1287,1132,1179.25,5702041,8483059.95
NQ,1M,1233529200,1181,1286,1107.25,1117,6783740,8452886.2
NQ,1M,1235948400,1114.25,1281.75,1040.25,1237.5,8046979,8449224.05
NQ,1M,1238536800,1228,1417.25,1210,1393.5,6381613,8240709.75
NQ,1M,1241128800,1388.75,1442.75,1336.5,1435.5,6236963,8246241.4
NQ,1M,1243807200,1434,1517.75,1412,1476.25,6065493,8103770.65
NQ,1M,1246399200,1476.5,1632,1392.5,1602,6238277,7858849.8
NQ,1M,1249250400,1601.25,1668.5,1561.25,1625,5943514,7860062.7
NQ,1M,1251756000,1625,1753.25,1584.5,1717.5,6068923,7583684.75
NQ,1M,1254348000,1716,1779.25,1649.75,1665.5,7043481,7532728.15
NQ,1M,1257116400,1661,1813.75,1650.25,1767.5,5676433,7376636
NQ,1M,1259622000,1766.5,1882,1758.75,1858.75,4985741,7281925.85
NQ,1M,1262559600,1865.5,1900,1731.75,1739.25,6702513,7246680.7
NQ,1M,1264978800,1740,1833,1710.75,1818.5,6170647,7103633.4
NQ,1M,1267398000,1821.25,1974.25,1821.25,1955.75,5845267,6872445.1
NQ,1M,1270072800,1955.75,2058.75,1940.75,1998.5,5934028,6789285.35
NQ,1M,1272837600,2002.25,2038,1730.25,1852,8659018,6696678.7
NQ,1M,1275256800,1852,1941,1733,1738,7388161,6451986.75
NQ,1M,1277935200,1736.25,1900.75,1698,1862.25,6902737,6432310.55
NQ,1M,1280700000,1868.75,1918,1744,1766.5,6607964,6469176.65
NQ,1M,1283292000,1773.25,2032,1770.5,1995.5,6698778,6519013.5
NQ,1M,1285884000,1995.75,2136.75,1961,2122,6244859,6492069.45
NQ,1M,1288562400,2125,2198,2083.5,2117,6054988,6392469.9
NQ,1M,1291158000,2115,2239,2110.75,2216,3861176,6266448.05
NQ,1M,1294009200,2220,2346.5,2219.25,2280,4982701,6203734.95
NQ,1M,1296514800,2284,2403,2280.25,2350.75,4758968,6138408.7
NQ,1M,1298934000,2351,2378.75,2185.75,2336.25,7366267,6194808.2
NQ,1M,1301608800,2339,2415.75,2250.25,2400.75,4908808,6143072.9
NQ,1M,1304287200,2408,2428,2281,2371.75,5938726,6136563.05
NQ,1M,1306879200,2375.5,2380.75,2174,2321,6177226,6093250.3
NQ,1M,1309471200,2318.75,2435.5,2314.5,2359.25,5268787,6072868
NQ,1M,1312149600,2386,2395,1972.25,2240.75,8870184,6267090.15
NQ,1M,1314828000,2243.5,2332.5,2108.25,2134.5,7354909,6299709.95
NQ,1M,1317592800,2126.5,2408.75,2035.75,2356,6812541,6331804.65
NQ,1M,1320098400,2353.25,2399.5,2135.75,2295,5804709,6329776.75
NQ,1M,1322694000,2293.25,2344.75,2204.25,2274.5,4253894,6245770.05
NQ,1M,1325458800,2312.5,2478.5,2302.5,2464.25,3622979,5993968.1
NQ,1M,1328050800,2455,2645.25,2453.5,2623,4272002,5838160.15
NQ,1M,1330556400,2623.75,2790.25,2575,2750.75,5305907,5758318.65
NQ,1M,1333317600,2758,2791.5,2624.75,2719.25,5653930,5710616.95
NQ,1M,1335823200,2719.5,2753,2465,2524,6425137,5696934.9
NQ,1M,1338501600,2520,2628.25,2433.75,2609.75,5478733,5658628.6
NQ,1M,1341180000,2612,2658,2516.5,2636.5,4852082,5598483.3
NQ,1M,1343772000,2634.75,2802.5,2600,2771,4445605,5627704.75
NQ,1M,1346623200,2773,2871.75,2742.75,2792,4453647,5601252.05
NQ,1M,1349042400,2789,2840.75,2604.5,2640.5,5577603,5642183.8
NQ,1M,1351720800,2634.25,2694,2492,2675.75,5842629,5566001.9
NQ,1M,1354489200,2676,2713.75,2580,2655.25,4889828,5565052.9
NQ,1M,1356994800,2686.25,2768.75,2686.25,2725,4419673,5489100.25
NQ,1M,1359673200,2733,2786.5,2689,2738,4350567,5397767.3
NQ,1M,1362092400,2738,2817,2711.75,2811,4315466,5350101.25
NQ,1M,1364767200,2811,2884.25,2724,2880,5224810,5167832.55
NQ,1M,1367359200,2884,3053.5,2862.25,2980.25,4539251,5027049.65
NQ,1M,1370210400,2981,3007,2817.75,2901.25,5787862,4975815.7
NQ,1M,1372629600,2902.75,3105,2894.25,3083,4221402,4896650.35
NQ,1M,1375308000,3088.75,3148,3052.5,3073.5,4679452,4917928.25
NQ,1M,1378072800,3088.75,3241.5,3076,3209,4596986,4966628.6
NQ,1M,1380578400,3221.25,3401.75,3110.75,3369,6073438,5056700.4
NQ,1M,1383256800,3377.25,3496.5,3310,3487.5,4273900,5005100.05
