symbol,timeframe,time,open,high,low,close,Volume,Volume MA
NQ,1W,930520800,2293.5,2357,2268.5,2347.5,3703,NaN
NQ,1W,931125600,2383.5,2410,2341,2398,10417,NaN
NQ,1W,931730400,2423,2489,2372.5,2484,14942,NaN
NQ,1W,932335200,2475.5,2489,2283.5,2303,15389,NaN
NQ,1W,932940000,2281,2353,2265.5,2294,15925,NaN
NQ,1W,933544800,2266.5,2325,2164.5,2224.5,19952,NaN
NQ,1W,934149600,2236,2302.5,2132,2297.5,21342,NaN
NQ,1W,934754400,2318,2363.5,2278,2308,17531,NaN
NQ,1W,935359200,2337,2477.5,2335.5,2405,15579,NaN
NQ,1W,935964000,2405,2513,2332.5,2513,18354,NaN
NQ,1W,936568800,2531,2585,2454,2565,8999,NaN
NQ,1W,937173600,2577.5,2579.5,2442.5,2568.5,20953,NaN
NQ,1W,937778400,2585,2588,2375,2426,27811,NaN
NQ,1W,938383200,2427,2486.5,2379.5,2431.5,25479,NaN
NQ,1W,938988000,2431.5,2599,2424.5,2578,23340,NaN
NQ,1W,939592800,2578,2617,2405,2416,29215,NaN
NQ,1W,940197600,2406.5,2547,2318.5,2496.5,25664,NaN
NQ,1W,940802400,2497.5,2672,2438,2655.5,22464,NaN
NQ,1W,941410800,2650,2784,2626.5,2784,23072,NaN
NQ,1W,942015600,2750.5,2910,2740.5,2905,27083,19360.7
NQ,1W,942620400,2908.5,3049,2883.5,3043.5,29449,20648
NQ,1W,943225200,3052,3165,2982.5,3121,22504,21252.35
NQ,1W,943830000,3124,3218.5,2961.5,3174,42613,22635.9
NQ,1W,944434800,3174.5,3258,3105,3254,33432,23538.05
NQ,1W,945039600,3252,3458.5,3169,3413.5,50840,25283.8
NQ,1W,945644400,3439,3682,3431.5,3636,31450,25858.7
NQ,1W,946249200,3635.5,3804.5,3566,3754,42105,26896.85
NQ,1W,946854000,3750,3895,3257,3562,75762,29808.4
NQ,1W,947458800,3561,3804.5,3476,3752.5,72719,32665.4
NQ,1W,948063600,3743,3914,3669.5,3893,56659,34580.65
NQ,1W,948668400,3891.5,3938,3409,3475,82390,38250.2
NQ,1W,949273200,3462,3960,3371,3906.5,65782,40491.65
NQ,1W,949878000,3906.5,4144,3875.5,3992.5,90142,43608.2
NQ,1W,950482800,3983.5,4146,3861,3968,103045,47486.5
NQ,1W,951087600,3954.5,4316,3865.5,4194,101866,51412.8
NQ,1W,951692400,4182.5,4458,4029,4454.5,104418,55172.95
NQ,1W,952297200,4447,4732,4272,4667,85808,58180.15
NQ,1W,952902000,4656,4665,4108,4516.5,136471,63880.5
NQ,1W,953506800,4507.5,4884,4215,4804,131564,69305.1
NQ,1W,954111600,4787,4850,4211.5,4457.5,153411,75621.5
NQ,1W,954712800,4417,4417,3738.34,4337,127762,80537.15
NQ,1W,955317600,4031.66,4100.5,3148,3217.5,196213,89222.6
NQ,1W,955922400,3249.84,3781,3249.84,3535,127290,93456.45
NQ,1W,956527200,3488.5,3826.5,3223,3810,148004,99185.05
NQ,1W,957132000,3807.5,3910,3452,3695,157983,104542.2
NQ,1W,957736800,3682,3693,3194,3417.5,156182,110778.8
NQ,1W,958341600,3410,3683.5,3266,3280,152532,116300.15
NQ,1W,958946400,3276,3340.16,2902.5,3130,204753,122749.7
NQ,1W,959551200,3123.5,3775.5,3123,3751.5,141705,126199
NQ,1W,960156000,3752,3900,3605,3814,145582,130645.15
NQ,1W,960760800,3802,3898,3644,3827.5,170988,135075.05
NQ,1W,961365600,3823.5,4057.5,3718,3728,182532,140912.55
NQ,1W,961970400,3737.5,3876,3678,3817,162557,144533.3
NQ,1W,962575200,3801.5,3938.5,3652,3877.5,119321,145347.1
NQ,1W,963180000,3869,4099,3752,4078,188244,149666
NQ,1W,963784800,4075.5,4134.5,3872.5,3934,178587,153374.45
NQ,1W,964389600,3934,4007,3473.5,3506,223131,160240.6
NQ,1W,964994400,3508,3744.5,3370,3632,245907,165712.4
NQ,1W,965599200,3632.5,3809,3542.5,3663.5,196455,168956.95
NQ,1W,966204000,3662.5,3890,3634.5,3835.5,172695,169921.15
NQ,1W,966808800,3837.5,4001,3772.5,3959,189294,172997.75
NQ,1W,967413600,3955.5,4186,3929,4118,157461,171060.15
NQ,1W,968018400,4107.5,4143,3842,3870.5,157369,172564.1
NQ,1W,968623200,3866,3920,3669.5,3718.5,314245,180876.15
NQ,1W,969228000,3721,3874,3602,3776,348500,190402
NQ,1W,969832800,3776.5,3830,3580.5,3621,310630,198124.4
NQ,1W,970437600,3621,3668,3305,3357.5,358503,208422.95
NQ,1W,971042400,3359.5,3402,3021.5,3270.5,368860,216628.3
NQ,1W,971647200,3274,3555.5,3025,3499.5,349139,227000
NQ,1W,972252000,3498.5,3563.5,2978.5,3222.5,367602,238101
NQ,1W,972860400,3220,3387,3062,3353,322591,245681.15
NQ,1W,973465200,3353,3400,2892,2893,327665,252937.8
NQ,1W,974070000,2858,3116.5,2755,2939.5,433056,266462.75
NQ,1W,974674800,2929,2946,2676,2829,217496,271371.5
NQ,1W,975279600,2848,2929,2435,2572.5,444016,284160.1
NQ,1W,975884400,2572.5,2990,2480,2793.5,379212,294191.35
