symbol,timeframe,time,open,high,low,close,Volume,Volume MA
NQ,4H,1368396000,2972.25,2972.25,2963.5,2968,2831,NaN
NQ,4H,1368410400,2967.75,2971,2967.5,2969.75,1845,NaN
NQ,4H,1368424800,2969.75,2973,2960.75,2961,6315,NaN
NQ,4H,1368439200,2961,2977.5,2960.5,2971.25,33828,NaN
NQ,4H,1368453600,2971.5,2987.5,2968.25,2976.75,84538,NaN
NQ,4H,1368468000,2976.75,2982.5,2973.25,2980.75,32314,NaN
NQ,4H,1368482400,2981.25,2986.25,2980.75,2984.25,1800,NaN
NQ,4H,1368496800,2984.25,2986.75,2983.25,2985.75,1389,NaN
NQ,4H,1368511200,2985.5,2985.5,2972.5,2975.25,6599,NaN
NQ,4H,1368525600,2975,2991.75,2971.25,2989.25,37398,NaN
NQ,4H,1368540000,2989.5,3005,2988.5,2991,90791,NaN
NQ,4H,1368554400,2991,2997.5,2984.75,2997,53971,NaN
NQ,4H,1368568800,2995.75,2996.25,2992.5,2995.25,1586,NaN
NQ,4H,1368583200,2995.5,2998.25,2994.75,2995.25,1138,NaN
NQ,4H,1368597600,2995,2996.75,2991,2994.75,6753,NaN
NQ,4H,1368612000,2994.75,3000.5,2987.75,2992.5,38949,NaN
NQ,4H,1368626400,2992.75,3004.5,2989.75,2990,90228,NaN
NQ,4H,1368640800,2989.75,3005.25,2982.5,3005,66795,NaN
NQ,4H,1368655200,3004.25,3008.25,3003,3004.25,3339,NaN
NQ,4H,1368669600,3004.75,3006,3002.25,3003.5,1364,28188.55
NQ,4H,1368684000,3003,3004.75,2996,2998.5,8343,28464.15
NQ,4H,1368698400,2998.5,3014.5,2998.5,3012,47294,30736.6
NQ,4H,1368712800,3012.25,3016.25,3001.25,3009,83632,34602.45
NQ,4H,1368727200,3009.25,3019,2996.25,3001.5,59271,35874.6
NQ,4H,1368741600,3001,3003.75,2998,3002.25,1399,31717.65
NQ,4H,1368756000,3002,3004.25,3001.5,3003.75,1116,30157.75
NQ,4H,1368770400,3003.5,3006.5,2998.75,3003,7303,30432.9
NQ,4H,1368784800,3003,3019.5,3001.25,3012.5,53895,33058.2
NQ,4H,1368799200,3012.5,3017,3004.75,3010.25,70514,36253.95
NQ,4H,1368813600,3010,3028.25,3009.25,3024.25,53527,37060.4
NQ,4H,1369000800,3021.25,3025,3018.5,3024,4538,32747.75
NQ,4H,1369015200,3023.75,3024.25,3019.75,3020.75,2828,30190.6
NQ,4H,1369029600,3021,3022.25,3018,3020.75,5017,30362.15
NQ,4H,1369044000,3020.75,3026.5,3014.25,3025.75,41578,32384.15
NQ,4H,1369058400,3025.75,3032,3012.25,3015.5,92121,36652.55
NQ,4H,1369072800,3015.5,3024.5,3010,3022.25,46124,37011.3
NQ,4H,1369087200,3019.5,3020.5,3018.25,3020,1535,32576.65
NQ,4H,1369101600,3020,3021.75,3019.75,3021.5,1003,29287.05
NQ,4H,1369116000,3021.25,3025.5,3016,3017.75,7948,29517.5
NQ,4H,1369130400,3017.75,3027.5,3016.25,3025.5,36330,31265.8
NQ,4H,1369144800,3025.75,3035.5,3010,3031.25,97941,35745.7
NQ,4H,1369159200,3031.5,3036.75,3021.5,3021.5,39941,35378.05
NQ,4H,1369173600,3021.75,3023.75,3021,3022.25,1128,31252.85
NQ,4H,1369188000,3022.25,3024,3020.5,3022.5,1184,28348.5
NQ,4H,1369202400,3022.25,3028.5,3021.75,3024.5,5292,28543.15
NQ,4H,1369216800,3024.25,3036.75,3023.25,3036,45937,30784.2
NQ,4H,1369231200,3035.5,3053.5,3010.75,3016.5,174343,39136.2
NQ,4H,1369245600,3017,3022,2983.75,3007,132833,43083.1
NQ,4H,1369260000,3006.25,3008.5,2999.25,3000.25,4152,39765
NQ,4H,1369274400,3000,3000,2986,2986,7221,37449.7
NQ,4H,1369288800,2986.25,2987.25,2961.25,2966.25,30307,38738.15
NQ,4H,1369303200,2966,2983.25,2964.75,2971,83820,42787.75
NQ,4H,1369317600,2971,3000,2967,2992.25,117513,48412.55
NQ,4H,1369332000,2992.25,3002.5,2989.5,2995.75,69584,49812.85
NQ,4H,1369346400,2995.75,3003,2994.25,2997.5,3113,45362.45
NQ,4H,1369360800,2997.5,3001.25,2985.25,2995.5,6382,43375.35
NQ,4H,1369375200,2995.5,2999.5,2983.75,2984.5,9891,43793.15
NQ,4H,1369389600,2984.5,2986,2968.25,2971.5,50073,46246.65
NQ,4H,1369404000,2971.25,2987,2963.5,2985,88222,50260.35
NQ,4H,1369418400,2985,2994.75,2978.5,2993,45582,50722.95
NQ,4H,1369605600,2991.25,3004.75,2988,2996.5,4442,46048
NQ,4H,1369620000,2996.25,2999.25,2994,2997.25,1495,44125.7
NQ,4H,1369634400,2997,2999.5,2985,2985.75,3365,44237.55
NQ,4H,1369648800,2985.5,2996.75,2985.25,2995.75,2111,44283.9
NQ,4H,1369663200,2996,3002.75,2995.25,3000.25,1873,44112.95
NQ,4H,1369692000,3000.25,3009.5,2998.25,3006.5,4170,42024.6
NQ,4H,1369706400,3006.75,3008.75,3005,3008.5,1790,33396.95
NQ,4H,1369720800,3008.5,3023.75,3007.75,3020.75,9923,27251.45
NQ,4H,1369735200,3020.75,3033.75,3017.25,3033.5,48367,29462.2
NQ,4H,1369749600,3033.25,3036.75,3003.75,3005.25,100074,34104.85
NQ,4H,1369764000,3005,3017,3000.75,3006.75,60477,35613.35
NQ,4H,1369778400,3004.75,3006.75,3000.25,3002.75,3066,31575.65
NQ,4H,1369792800,3002.75,3008.75,2998.25,2998.5,2903,25845.15
NQ,4H,1369807200,2998.5,3000.25,2989.5,2997.25,12394,22985.65
NQ,4H,1369821600,2997.25,3000.25,2983.25,2993.5,54109,25535.45
NQ,4H,1369836000,2993.5,3003.25,2978.25,3001,109640,30698.35
NQ,4H,1369850400,3001,3006.5,2993,2994,58306,33119.1
NQ,4H,1369864800,2995,3000.25,2990.5,2998.75,3678,30799.35
NQ,4H,1369879200,2998.75,2999.5,2985.25,2986.75,5696,26673.05
NQ,4H,1369893600,2986.5,2993.5,2981.75,2988.75,10116,24899.75
NQ,4H,1369908000,2988.5,3015,2987,3013.75,56019,27478.6
NQ,4H,1369922400,3013.5,3024,3007,3022.5,84305,31619.1
NQ,4H,1369936800,3022.25,3025.5,3009,3010.25,54312,34166.45
NQ,4H,1369951200,3011,3014.25,3005,3011.75,2669,34194.35
NQ,4H,1369965600,3011.5,3014,3010.5,3011.25,1780,34189.7
NQ,4H,1369980000,3011.25,3012.5,2985.75,2989,14292,34695.8
NQ,4H,1369994400,2988.75,3014.25,2986.75,3010,50243,37118.45
NQ,4H,1370008800,3010.25,3022.75,3005.25,3013.75,97837,41514.15
NQ,4H,1370023200,3014,3014.25,2977,2977,104401,44315.85
