timeframe,symbol,time,open,high,low,close
5min,NQ,1676242800,12357.5,12367,12319,12320
5min,NQ,1676243100,12320,12322,12308.75,12310.5
5min,NQ,1676243400,12311,12320.75,12310,12320
5min,NQ,1676243700,12320,12323.5,12316.5,12317.5
5min,NQ,1676244000,12317.75,12319.5,12311,12317.75
5min,NQ,1676244300,12317.75,12317.75,12298.25,12304.5
5min,NQ,1676244600,12305.5,12312.25,12302,12307.25
5min,NQ,1676244900,12307.25,12308,12298.5,12302
5min,NQ,1676245200,12302.25,12304.75,12294.25,12303.75
5min,NQ,1676245500,12303.25,12310,12298.75,12304
5min,NQ,1676245800,12302.5,12309.5,12300.75,12308.25
5min,NQ,1676246100,12307.5,12311.75,12305.75,12306.75
5min,NQ,1676246400,12306.75,12312.5,12302.25,12311.25
5min,NQ,1676246700,12310.5,12311.25,12300.25,12302.5
5min,NQ,1676247000,12301,12301.5,12293.5,12295.25
5min,NQ,1676247300,12294.75,12303.75,12290.75,12300.5
5min,NQ,1676247600,12300.75,12305.75,12300.75,12301.25
5min,NQ,1676247900,12302,12305.75,12300,12305.75
5min,NQ,1676248200,12305.5,12309.75,12302.25,12305.75
5min,NQ,1676248500,12305.75,12309.5,12304.5,12304.75
5min,NQ,1676248800,12305,12308.75,12304.5,12306.5
5min,NQ,1676249100,12307.5,12317,12307.5,12314.25
5min,NQ,1676249400,12314,12315.75,12311.5,12315.25
5min,NQ,1676249700,12314.75,12315.75,12310.75,12311.5
5min,NQ,1676250000,12311.25,12313.75,12309.25,12311
5min,NQ,1676250300,12310.5,12310.5,12282.25,12286
5min,NQ,1676250600,12285.75,12285.75,12272.5,12277
5min,NQ,1676250900,12277.5,12279,12269,12274.75
5min,NQ,1676251200,12274,12277.5,12272,12274
5min,NQ,1676251500,12273.75,12273.75,12267.25,12270
5min,NQ,1676251800,12269.75,12276.25,12265.25,12275.75
5min,NQ,1676252100,12275,12284.5,12275,12283.25
5min,NQ,1676252400,12283.75,12285.5,12279,12284.25
5min,NQ,1676252700,12283.75,12285,12278,12279
5min,NQ,1676253000,12279.75,12286.5,12276.25,12286.5
5min,NQ,1676253300,12286.5,12291.5,12281.5,12285
5min,NQ,1676253600,12285.5,12286,12280.75,12283.5
5min,NQ,1676253900,12282.75,12283.25,12276.5,12278
5min,NQ,1676254200,12278,12281.25,12277.25,12281
5min,NQ,1676254500,12280.25,12291,12280.25,12287.5
5min,NQ,1676254800,12287.5,12287.75,12283,12284
5min,NQ,1676255100,12284,12285.75,12277.25,12278.25
5min,NQ,1676255400,12278.5,12283.75,12278,12283.25
5min,NQ,1676255700,12283,12286,12276,12279.5
5min,NQ,1676256000,12279,12281.5,12277,12277.75
5min,NQ,1676256300,12277.75,12287,12277.75,12286.75
5min,NQ,1676256600,12287,12289,12283.25,12286.5
5min,NQ,1676256900,12287,12293.25,12286,12291.5
5min,NQ,1676257200,12291,12293.75,12285.75,12288.75
5min,NQ,1676257500,12289,12294.5,12287.75,12291.5
5min,NQ,1676257800,12292.25,12292.5,12288,12292.25
5min,NQ,1676258100,12292.25,12293.75,12290.5,12291.5
5min,NQ,1676258400,12290.75,12315.5,12290.75,12306.5
5min,NQ,1676258700,12306.25,12307,12301.25,12303.25
5min,NQ,1676259000,12302.75,12302.75,12295.25,12297.25
5min,NQ,1676259300,12297,12299,12293.5,12298.25
5min,NQ,1676259600,12298.5,12300,12292.25,12296
5min,NQ,1676259900,12296,12298.75,12294.25,12295.25
5min,NQ,1676260200,12295.5,12299,12289.75,12291.25
5min,NQ,1676260500,12291,12294,12281.5,12283.5
5min,NQ,1676260800,12283,12288.75,12283,12286.75
5min,NQ,1676261100,12286.5,12292.5,12286,12290.25
5min,NQ,1676261400,12290.25,12293,12287.75,12288
5min,NQ,1676261700,12287.5,12292.25,12286.25,12289.25
5min,NQ,1676262000,12289.5,12291.25,12284,12284
5min,NQ,1676262300,12283.75,12287,12283.25,12286
5min,NQ,1676262600,12286.5,12290.5,12285.5,12286
5min,NQ,1676262900,12286.5,12289.75,12285.5,12286.75
5min,NQ,1676263200,12287,12287.75,12284.25,12286.5
5min,NQ,1676263500,12285.75,12286.75,12284.5,12285
5min,NQ,1676263800,12284.5,12285.25,12282,12283.75
5min,NQ,1676264100,12283.5,12287,12283.25,12284.75
5min,NQ,1676264400,12285.25,12286.75,12283.25,12284.5
5min,NQ,1676264700,12285.25,12293,12284,12290.75
5min,NQ,1676265000,12290.25,12294.75,12289,12292.5
5min,NQ,1676265300,12292.5,12296.5,12292.5,12295.25
5min,NQ,1676265600,12295.25,12300.25,12293.75,12299
5min,NQ,1676265900,12299,12300,12296.5,12298.25
5min,NQ,1676266200,12298.5,12299.5,12292.75,12296.25
5min,NQ,1676266500,12295.75,12300.25,12295.75,12296.75
5min,NQ,1676266800,12297,12306.5,12297,12305
5min,NQ,1676267100,12305.5,12306.5,12303,12306.25
5min,NQ,1676267400,12306,12306.75,12301.25,12302.5
5min,NQ,1676267700,12302.5,12305.25,12302.25,12303.25
5min,NQ,1676268000,12303.5,12305.25,12299.75,12300
5min,NQ,1676268300,12300.5,12304.75,12300.25,12302.25
5min,NQ,1676268600,12302.25,12308.75,12300.25,12303.25
5min,NQ,1676268900,12304,12306.25,12302.25,12302.25
5min,NQ,1676269200,12302.25,12307.75,12302,12306
5min,NQ,1676269500,12306,12307.75,12304.5,12305
5min,NQ,1676269800,12304.75,12310.25,12303,12308.25
5min,NQ,1676270100,12308.25,12308.75,12305.5,12306.75
5min,NQ,1676270400,12307.25,12308.25,12301,12302.5
5min,NQ,1676270700,12302.25,12309.25,12302.25,12309
5min,NQ,1676271000,12308.25,12308.25,12301.5,12303.5
5min,NQ,1676271300,12303.25,12308.5,12303.25,12308
5min,NQ,1676271600,12308.25,12313.25,12301.75,12312.5
5min,NQ,1676271900,12312.75,12317,12310.75,12313
5min,NQ,1676272200,12313,12318,12311.5,12317
5min,NQ,1676272500,12317,12326.25,12316.25,12323.25
5min,NQ,1676272800,12323.5,12335.25,12323.25,12334
5min,NQ,1676273100,12334,12334.75,12328.25,12334.5
5min,NQ,1676273400,12334,12334,12321,12322
5min,NQ,1676273700,12321.5,12322,12315.75,12318.5
5min,NQ,1676274000,12318.75,12319.5,12312.5,12317.75
5min,NQ,1676274300,12318,12322.25,12316.75,12319.5
5min,NQ,1676274600,12320,12323.5,12317.75,12323
5min,NQ,1676274900,12323,12328,12322.25,12327
5min,NQ,1676275200,12326.75,12336.25,12317,12319.75
5min,NQ,1676275500,12319.75,12328.25,12318.25,12322
5min,NQ,1676275800,12322.25,12335.5,12321,12327
5min,NQ,1676276100,12325.75,12326.5,12314.25,12320
5min,NQ,1676276400,12320.5,12332.25,12316,12330.75
5min,NQ,1676276700,12331.25,12337.25,12322,12328.5
5min,NQ,1676277000,12328.5,12335,12325,12332.75
5min,NQ,1676277300,12333,12339,12329.25,12333
5min,NQ,1676277600,12332.5,12347.5,12332.5,12341.75
5min,NQ,1676277900,12340.5,12351,12340.25,12347
5min,NQ,1676278200,12346.25,12350.25,12342.75,12347.75
5min,NQ,1676278500,12347.75,12356.25,12345.25,12352
5min,NQ,1676278800,12352.5,12377.5,12352.5,12371
5min,NQ,1676279100,12371.25,12375.25,12360.5,12363
5min,NQ,1676279400,12364,12366.5,12359.75,12363
5min,NQ,1676279700,12363.5,12376,12363.25,12373.75
5min,NQ,1676280000,12374,12380.5,12368.25,12371.75
5min,NQ,1676280300,12371.75,12376.25,12370,12372.5
5min,NQ,1676280600,12373,12384.75,12366,12367.75
5min,NQ,1676280900,12368,12373.75,12366,12369.5
5min,NQ,1676281200,12369.25,12369.75,12356.75,12360.75
5min,NQ,1676281500,12361,12365.75,12360,12365.5
5min,NQ,1676281800,12365.5,12368,12360,12364.5
5min,NQ,1676282100,12365,12375,12365,12367.75
5min,NQ,1676282400,12367.25,12379.25,12365.25,12374.5
5min,NQ,1676282700,12375.25,12378.75,12373.5,12377.75
5min,NQ,1676283000,12378.5,12380.75,12373,12373.5
5min,NQ,1676283300,12374.25,12374.5,12362,12362.75
5min,NQ,1676283600,12363,12370.75,12361.75,12369.25
5min,NQ,1676283900,12370,12376,12365.75,12366.5
5min,NQ,1676284200,12366.25,12381.5,12365.5,12381.25
5min,NQ,1676284500,12381.5,12386.5,12378.25,12379.25
5min,NQ,1676284800,12379.5,12385,12379.25,12382.75
5min,NQ,1676285100,12383.5,12385.5,12380,12383.25
5min,NQ,1676285400,12383.25,12393.75,12383,12392.75
5min,NQ,1676285700,12393.25,12396,12389.5,12392.75
5min,NQ,1676286000,12393,12399.5,12390.75,12399.5
5min,NQ,1676286300,12399.5,12400,12389.5,12390.5
5min,NQ,1676286600,12389.25,12393.25,12387,12391
5min,NQ,1676286900,12391.25,12395,12388.5,12389
5min,NQ,1676287200,12389,12393.5,12386,12390.5
5min,NQ,1676287500,12390.5,12393.25,12388.25,12391
5min,NQ,1676287800,12391.25,12400,12391.25,12396.5
5min,NQ,1676288100,12397,12407,12393,12405
5min,NQ,1676288400,12405.75,12406.25,12392,12394
5min,NQ,1676288700,12394.25,12396,12389,12390.5
5min,NQ,1676289000,12391.25,12400,12389.25,12398.25
5min,NQ,1676289300,12397.75,12398,12392,12394
5min,NQ,1676289600,12393.5,12400,12390.5,12395.25
5min,NQ,1676289900,12395,12401.25,12393.25,12398.75
5min,NQ,1676290200,12399,12414,12398.25,12411.75
5min,NQ,1676290500,12411,12425.75,12409,12424.5
5min,NQ,1676290800,12423.75,12432.75,12423.75,12426.25
5min,NQ,1676291100,12426.5,12432.25,12425.25,12429.5
5min,NQ,1676291400,12430,12433.5,12423.5,12425
5min,NQ,1676291700,12425.25,12427.75,12419.75,12423.75
5min,NQ,1676292000,12423.5,12423.75,12416,12417.5
5min,NQ,1676292300,12418,12419.25,12414.25,12418.75
5min,NQ,1676292600,12418,12427,12417.5,12419.5
5min,NQ,1676292900,12419.75,12422.25,12411.5,12413.25
5min,NQ,1676293200,12414,12423.25,12414,12416.25
5min,NQ,1676293500,12416.5,12421,12412.5,12420.75
5min,NQ,1676293800,12420.5,12423,12411,12412.25
5min,NQ,1676294100,12412,12412.5,12402.25,12407.5
5min,NQ,1676294400,12407,12409,12401.25,12408.5
5min,NQ,1676294700,12408.25,12413,12402,12402.75
5min,NQ,1676295000,12403,12404.75,12397,12403.75
5min,NQ,1676295300,12403.75,12406.25,12397.75,12402.5
5min,NQ,1676295600,12402.5,12403.25,12393.5,12396.75
5min,NQ,1676295900,12396.25,12397.25,12385,12386.75
5min,NQ,1676296200,12387.25,12395.75,12381.5,12390
5min,NQ,1676296500,12390,12391.75,12381,12383.75
5min,NQ,1676296800,12384,12391,12381.75,12389.25
5min,NQ,1676297100,12389.5,12397,12387.5,12392
5min,NQ,1676297400,12392.75,12395.25,12390,12392.5
5min,NQ,1676297700,12393,12402,12387,12391.5
5min,NQ,1676298000,12391.75,12408,12391.5,12405.5
5min,NQ,1676298300,12405.75,12407.25,12396,12402
5min,NQ,1676298600,12402.25,12410,12365.75,12371.75
5min,NQ,1676298900,12372.75,12395,12352,12393.25
5min,NQ,1676299200,12394,12429,12387.25,12412.5
5min,NQ,1676299500,12412.5,12437.25,12404,12423.25
5min,NQ,1676299800,12423,12438.5,12396,12423.5
5min,NQ,1676300100,12424,12465.75,12424,12461
5min,NQ,1676300400,12461,12473,12445.25,12447
5min,NQ,1676300700,12447.5,12449.5,12427.25,12434.75
5min,NQ,1676301000,12434.5,12440.5,12416,12432.75
5min,NQ,1676301300,12433.25,12444,12421.5,12442.25
5min,NQ,1676301600,12442.25,12454.25,12429,12439.25
5min,NQ,1676301900,12439.75,12462.25,12436,12459.5
5min,NQ,1676302200,12459.5,12464.75,12447.5,12456.75
5min,NQ,1676302500,12456,12470,12450.5,12451.5
