symbol,timeframe,time,open,high,low,close
NVDA,1D,1358433000,3.0325,3.075,3.025,3.0625
NVDA,1D,1358519400,3.0625,3.0625,3.005,3.0425
NVDA,1D,1358865000,3.04,3.0675,3.0125,3.0275
NVDA,1D,1358951400,3.0375,3.04,3,3.0325
NVDA,1D,1359037800,3.0225,3.06,3.0075,3.0475
NVDA,1D,1359124200,3.0525,3.105,3.0375,3.1025
NVDA,1D,1359383400,3.1175,3.1725,3.11,3.1525
NVDA,1D,1359469800,3.14,3.1475,3.0725,3.085
NVDA,1D,1359556200,3.0875,3.13,3.06875,3.08
NVDA,1D,1359642600,3.08,3.115,3.045,3.065
NVDA,1D,1359729000,3.09,3.1025,3.065,3.0925
NVDA,1D,1359988200,3.075,3.1375,3.0375,3.04
NVDA,1D,1360074600,3.055,3.1275,3.045,3.11
NVDA,1D,1360161000,3.034975,3.11,3.0175,3.085
NVDA,1D,1360247400,3.075,3.1,3.0425,3.0725
NVDA,1D,1360333800,3.0925,3.117475,3.0725,3.0925
NVDA,1D,1360593000,3.1175,3.15875,3.0875,3.1275
NVDA,1D,1360679400,3.09875,3.14125,3.095,3.1075
NVDA,1D,1360765800,3.11,3.16625,3.0825,3.0925
NVDA,1D,1360852200,3.05,3.185,3.0125,3.1825
NVDA,1D,1360938600,3.175,3.1975,3.1125,3.18275
NVDA,1D,1361284200,3.185,3.1875,3.12,3.13875
NVDA,1D,1361370600,3.15,3.2,3.085,3.095
NVDA,1D,1361457000,3.09,3.125,3.065,3.0725
NVDA,1D,1361543400,3.0925,3.1325,3.075,3.13
NVDA,1D,1361802600,3.1375,3.1625,3.07,3.075
NVDA,1D,1361889000,3.0625,3.10875,3.052275,3.0925
NVDA,1D,1361975400,3.0925,3.1725,3.085,3.15
NVDA,1D,1362061800,3.14,3.2125,3.1275,3.165
NVDA,1D,1362148200,3.1425,3.1875,3.11375,3.1775
NVDA,1D,1362407400,3.155,3.19375,3.13,3.16375
NVDA,1D,1362493800,3.1825,3.205,3.16625,3.2
NVDA,1D,1362580200,3.22,3.25,3.1825,3.1975
NVDA,1D,1362666600,3.215,3.2475,3.171775,3.19
NVDA,1D,1362753000,3.1975,3.22,3.1825,3.205
NVDA,1D,1363008600,3.1725,3.1875,3.1475,3.17375
NVDA,1D,1363095000,3.17,3.195,3.14,3.185
NVDA,1D,1363181400,3.185,3.23905,3.155,3.185
NVDA,1D,1363267800,3.205,3.215,3.1675,3.1875
NVDA,1D,1363354200,3.1875,3.1875,3.1475,3.16
NVDA,1D,1363613400,3.14,3.1675,3.115,3.1375
NVDA,1D,1363699800,3.14,3.155,3.095,3.1175
NVDA,1D,1363786200,3.1475,3.165,3.11875,3.155
NVDA,1D,1363872600,3.1375,3.1425,3.1,3.105
NVDA,1D,1363959000,3.115,3.1325,3.1025,3.12
NVDA,1D,1364218200,3.1375,3.14,3.08,3.1025
NVDA,1D,1364304600,3.11,3.1275,3.0975,3.125
NVDA,1D,1364391000,3.1125,3.18,3.105,3.1625
NVDA,1D,1364477400,3.155,3.21,3.1325,3.2075
NVDA,1D,1364823000,3.2,3.2,3.08,3.1025
NVDA,1D,1364909400,3.105,3.1125,3.05,3.06875
NVDA,1D,1364995800,3.065,3.0825,3.01,3.0315
NVDA,1D,1365082200,3.0225,3.0725,3.0125,3.06125
NVDA,1D,1365168600,3.0175,3.115,3.01,3.115
NVDA,1D,1365427800,3.1175,3.1175,3.04875,3.1075
NVDA,1D,1365514200,3.11,3.18,3.0875,3.1575
NVDA,1D,1365600600,3.16,3.2125,3.1525,3.2075
NVDA,1D,1365687000,3.1625,3.2125,3.075,3.1925
NVDA,1D,1365773400,3.2075,3.3075,3.18,3.2725
NVDA,1D,1366032600,3.2625,3.2725,3.185,3.205
NVDA,1D,1366119000,3.235,3.2625,3.2175,3.24
NVDA,1D,1366205400,3.215,3.245,3.1775,3.19625
NVDA,1D,1366291800,3.205,3.225,3.135,3.135
NVDA,1D,1366378200,3.1325,3.15125,3.0925,3.1425
NVDA,1D,1366637400,3.14,3.175,3.115,3.1475
NVDA,1D,1366723800,3.175,3.2625,3.17,3.23
NVDA,1D,1366810200,3.24,3.3675,3.2375,3.34
NVDA,1D,1366896600,3.3575,3.375,3.3275,3.3675
NVDA,1D,1366983000,3.3625,3.3675,3.33375,3.3525
NVDA,1D,1367242200,3.3575,3.405,3.3425,3.3925
NVDA,1D,1367328600,3.4,3.4425,3.3775,3.4425
NVDA,1D,1367415000,3.4425,3.465,3.400625,3.4125
NVDA,1D,1367501400,3.41,3.4625,3.39,3.4525
NVDA,1D,1367587800,3.475,3.4925,3.455,3.4675
NVDA,1D,1367847000,3.4675,3.48625,3.4375,3.4575
NVDA,1D,1367933400,3.4575,3.465,3.38,3.4125
NVDA,1D,1368019800,3.4175,3.495,3.405,3.47475
NVDA,1D,1368106200,3.4125,3.4925,3.4075,3.4775
NVDA,1D,1368192600,3.55,3.65,3.55,3.635
NVDA,1D,1368451800,3.61,3.625,3.545,3.56
NVDA,1D,1368538200,3.6025,3.6425,3.56625,3.6125
NVDA,1D,1368624600,3.595,3.6875,3.595,3.67375
NVDA,1D,1368711000,3.67,3.7075,3.645,3.6575
NVDA,1D,1368797400,3.675,3.7425,3.6475,3.7175
NVDA,1D,1369056600,3.7025,3.72375,3.69,3.71
NVDA,1D,1369143000,3.7125,3.745,3.66875,3.73
NVDA,1D,1369229400,3.745,3.745,3.585,3.6
NVDA,1D,1369315800,3.5575,3.66875,3.5475,3.6575
NVDA,1D,1369402200,3.6375,3.6675,3.595,3.635
NVDA,1D,1369747800,3.6625,3.6725,3.5975,3.6325
NVDA,1D,1369834200,3.61,3.632525,3.595,3.61
NVDA,1D,1369920600,3.605,3.69375,3.595,3.6575
NVDA,1D,1370007000,3.6375,3.69,3.6175,3.6175
NVDA,1D,1370266200,3.6225,3.65,3.5375,3.6125
NVDA,1D,1370352600,3.635,3.7,3.595,3.6175
NVDA,1D,1370439000,3.6125,3.64,3.53,3.54
NVDA,1D,1370525400,3.54,3.59,3.5375,3.5625
NVDA,1D,1370611800,3.5875,3.635,3.5725,3.61125
NVDA,1D,1370871000,3.6025,3.6325,3.5825,3.61
NVDA,1D,1370957400,3.5625,3.6125,3.5425,3.5425
NVDA,1D,1371043800,3.56,3.58875,3.4925,3.5125
NVDA,1D,1371130200,3.5,3.61,3.4975,3.5925
NVDA,1D,1371216600,3.605,3.61025,3.5625,3.5875
NVDA,1D,1371475800,3.615,3.655,3.595,3.6225
NVDA,1D,1371562200,3.64,3.68,3.57,3.6
NVDA,1D,1371648600,3.6325,3.87,3.62,3.71
NVDA,1D,1371735000,3.68,3.685,3.58375,3.61
NVDA,1D,1371821400,3.63,3.6425,3.545,3.60375
NVDA,1D,1372080600,3.5525,3.5975,3.4775,3.53
NVDA,1D,1372167000,3.5675,3.575,3.5175,3.555
NVDA,1D,1372253400,3.595,3.59875,3.52,3.535
NVDA,1D,1372339800,3.545,3.55,3.465,3.5025
NVDA,1D,1372426200,3.5025,3.545,3.4575,3.51
NVDA,1D,1372685400,3.535,3.5425,3.503725,3.525
NVDA,1D,1372771800,3.505,3.575,3.49,3.5225
NVDA,1D,1372858200,3.4925,3.575,3.4925,3.5325
NVDA,1D,1373031000,3.5425,3.5675,3.51875,3.56
NVDA,1D,1373290200,3.57,3.5875,3.5225,3.54125
NVDA,1D,1373376600,3.55,3.581875,3.54,3.56025
NVDA,1D,1373463000,3.56,3.6175,3.55,3.6075
NVDA,1D,1373549400,3.6275,3.6625,3.62,3.6575
NVDA,1D,1373635800,3.65,3.695,3.6375,3.66
NVDA,1D,1373895000,3.6675,3.6675,3.595,3.6525
NVDA,1D,1373981400,3.6675,3.6925,3.64875,3.6725
NVDA,1D,1374067800,3.6725,3.685,3.6425,3.6525
NVDA,1D,1374154200,3.6475,3.66,3.59,3.6375
NVDA,1D,1374240600,3.615,3.6325,3.5225,3.56
NVDA,1D,1374499800,3.5875,3.62,3.5425,3.5575
NVDA,1D,1374586200,3.6025,3.6025,3.535,3.5525
NVDA,1D,1374672600,3.585,3.595,3.5475,3.5525
NVDA,1D,1374759000,3.55,3.61125,3.525,3.565
NVDA,1D,1374845400,3.5225,3.57125,3.5225,3.55
NVDA,1D,1375104600,3.5425,3.5875,3.5325,3.5425
NVDA,1D,1375191000,3.555,3.65,3.5525,3.6025
NVDA,1D,1375277400,3.585,3.645,3.5825,3.60875
NVDA,1D,1375363800,3.6225,3.6675,3.58,3.66
NVDA,1D,1375450200,3.6525,3.6975,3.6275,3.69
NVDA,1D,1375709400,3.68,3.72,3.66125,3.7075
NVDA,1D,1375795800,3.71,3.7175,3.645,3.6525
NVDA,1D,1375882200,3.6325,3.6875,3.63,3.65
NVDA,1D,1375968600,3.67,3.69125,3.6275,3.67475
NVDA,1D,1376055000,3.53,3.6775,3.5275,3.6225
NVDA,1D,1376314200,3.475,3.645,3.2775,3.5925
NVDA,1D,1376400600,3.5975,3.62,3.575,3.605
NVDA,1D,1376487000,3.5975,3.78,3.595,3.7575
NVDA,1D,1376573400,3.7175,3.8125,3.7025,3.78125
NVDA,1D,1376659800,3.775,3.85,3.7675,3.79725
NVDA,1D,1376919000,3.775,3.7875,3.735,3.7375
NVDA,1D,1377005400,3.7175,3.7625,3.7125,3.7375
NVDA,1D,1377091800,3.715,3.7625,3.705,3.72
NVDA,1D,1377178200,3.7175,3.775,3.7175,3.74
NVDA,1D,1377264600,3.745,3.775,3.7325,3.74
NVDA,1D,1377523800,3.7425,3.7575,3.7325,3.74875
NVDA,1D,1377610200,3.7125,3.7375,3.6875,3.70125
NVDA,1D,1377696600,3.7075,3.735,3.685,3.7
NVDA,1D,1377783000,3.6875,3.7275,3.6775,3.6925
NVDA,1D,1377869400,3.695,3.705,3.67,3.6875
NVDA,1D,1378215000,3.6975,3.7425,3.6675,3.69
NVDA,1D,1378301400,3.69,3.7475,3.685,3.725
NVDA,1D,1378387800,3.71,3.75,3.7075,3.735
NVDA,1D,1378474200,3.7375,3.7575,3.69125,3.72
NVDA,1D,1378733400,3.75,3.7825,3.74,3.78125
NVDA,1D,1378819800,3.81,3.865,3.7925,3.8625
NVDA,1D,1378906200,3.8575,3.9375,3.83075,3.9275
NVDA,1D,1378992600,3.9075,3.975,3.9075,3.925
NVDA,1D,1379079000,3.9375,3.9675,3.91,3.95
NVDA,1D,1379338200,3.9825,4.009998,3.9375,3.9525
NVDA,1D,1379424600,3.9675,3.9975,3.95,3.965
NVDA,1D,1379511000,3.9675,4.009998,3.9475,3.99975
NVDA,1D,1379597400,4.017503,4.025003,3.965,3.98125
NVDA,1D,1379683800,3.9925,4.01725,3.94,3.94875
NVDA,1D,1379943000,3.945,3.9775,3.8875,3.91
NVDA,1D,1380029400,3.9125,3.94,3.89,3.925
NVDA,1D,1380115800,3.9175,3.96,3.9,3.93125
NVDA,1D,1380202200,3.94,3.9475,3.895,3.9175
NVDA,1D,1380288600,3.8875,3.92,3.8725,3.895
NVDA,1D,1380547800,3.855,3.9175,3.8325,3.89
NVDA,1D,1380634200,3.895,3.91375,3.86625,3.8875
NVDA,1D,1380720600,3.8475,3.9,3.8475,3.885
NVDA,1D,1380807000,3.8875,3.923,3.82625,3.845
NVDA,1D,1380893400,3.84,3.93,3.83,3.8975
NVDA,1D,1381152600,3.8825,3.925,3.8625,3.8975
NVDA,1D,1381239000,3.8875,3.9425,3.835,3.865
NVDA,1D,1381325400,3.89,3.8925,3.785,3.805
NVDA,1D,1381411800,3.8325,3.8575,3.805,3.84625
NVDA,1D,1381498200,3.7875,3.835,3.775,3.815
NVDA,1D,1381757400,3.805,3.8725,3.805,3.8725
NVDA,1D,1381843800,3.8725,3.894975,3.85,3.8525
NVDA,1D,1381930200,3.875,3.915,3.87,3.9
NVDA,1D,1382016600,3.87,3.9175,3.87,3.9075
NVDA,1D,1382103000,3.9,3.965,3.885,3.9525
NVDA,1D,1382362200,4,4.002497,3.95,3.9625
NVDA,1D,1382448600,3.9625,3.965,3.9075,3.9425
NVDA,1D,1382535000,3.935,3.935,3.8625,3.87525
NVDA,1D,1382621400,3.885,3.91,3.841,3.84625
NVDA,1D,1382707800,3.8675,3.87,3.7975,3.81
NVDA,1D,1382967000,3.805,3.8225,3.75,3.8025
NVDA,1D,1383053400,3.7975,3.815,3.7625,3.8075
NVDA,1D,1383139800,3.82,3.8375,3.7725,3.805
NVDA,1D,1383226200,3.81,3.8375,3.79,3.79725
NVDA,1D,1383312600,3.8175,3.8325,3.7875,3.81375
NVDA,1D,1383575400,3.8275,3.8275,3.6975,3.705
NVDA,1D,1383661800,3.6825,3.71625,3.6425,3.7
NVDA,1D,1383748200,3.7,3.7275,3.6625,3.725
NVDA,1D,1383834600,3.7125,3.7225,3.63,3.63625
NVDA,1D,1383921000,3.75,3.9025,3.73375,3.89
NVDA,1D,1384180200,3.875,3.9325,3.8675,3.9225
NVDA,1D,1384266600,3.94,3.9625,3.885,3.92875
NVDA,1D,1384353000,3.92,4.0375,3.9125,4.0375
NVDA,1D,1384439400,4.025,4.07875,4.0225,4.055
NVDA,1D,1384525800,4.07,4.075,4.0025,4.0425
NVDA,1D,1384785000,3.955,3.99,3.935,3.945
NVDA,1D,1384871400,3.905,3.94,3.855,3.86
NVDA,1D,1384957800,3.8625,3.8725,3.795,3.8025
NVDA,1D,1385044200,3.8075,3.84,3.79,3.8325
NVDA,1D,1385130600,3.8375,3.8375,3.7875,3.795
NVDA,1D,1385389800,3.795,3.8825,3.795,3.8775
NVDA,1D,1385476200,3.92,3.95125,3.89375,3.91
NVDA,1D,1385562600,3.9075,3.93625,3.8825,3.925
NVDA,1D,1385735400,3.925,3.935,3.875,3.9
NVDA,1D,1385994600,3.885,3.965,3.8775,3.9375
NVDA,1D,1386081000,3.9375,3.98875,3.91,3.935
NVDA,1D,1386167400,3.925,3.9975,3.91375,3.99
NVDA,1D,1386253800,3.9975,3.9975,3.92,3.925
NVDA,1D,1386340200,3.9725,3.9725,3.8575,3.8675
NVDA,1D,1386599400,3.8675,3.88,3.795,3.80125
NVDA,1D,1386685800,3.8025,3.9075,3.7975,3.89
NVDA,1D,1386772200,3.8975,3.9025,3.845,3.8525
NVDA,1D,1386858600,3.84,3.86,3.77,3.7775
NVDA,1D,1386945000,3.785,3.8125,3.75,3.755
NVDA,1D,1387204200,3.7575,3.7925,3.755,3.76
NVDA,1D,1387290600,3.7575,3.7875,3.725,3.7775
NVDA,1D,1387377000,3.785,3.8375,3.7375,3.83
NVDA,1D,1387463400,3.825,3.85,3.8,3.845
NVDA,1D,1387549800,3.8525,3.925,3.8425,3.92125
NVDA,1D,1387809000,3.945,3.9775,3.9125,3.945
NVDA,1D,1387895400,3.9675,3.9675,3.915,3.955
NVDA,1D,1388068200,3.97,3.98125,3.9075,3.9175
NVDA,1D,1388154600,3.9375,3.9475,3.915,3.94
NVDA,1D,1388413800,3.9425,3.995,3.9375,3.9925
NVDA,1D,1388500200,4,4.025,3.975,4.005
NVDA,1D,1388673000,3.98,3.995,3.93,3.965
NVDA,1D,1388759400,3.9725,3.980025,3.905,3.9175
NVDA,1D,1389018600,3.9575,4,3.92,3.97
NVDA,1D,1389105000,4.01,4.05,3.98125,4.035
NVDA,1D,1389191400,4.05,4.11,4.035,4.09
NVDA,1D,1389277800,4.0275,4.035,3.925,3.9375
NVDA,1D,1389364200,3.95,3.9775,3.8975,3.9325
NVDA,1D,1389623400,3.9325,3.95625,3.8325,3.84
NVDA,1D,1389709800,3.86,3.9675,3.8425,3.96
NVDA,1D,1389796200,3.9775,4.01625,3.96,4.0025
NVDA,1D,1389882600,4.0025,4.0225,3.985025,4.015
NVDA,1D,1389969000,4.015,4.0625,3.9725,3.9975
NVDA,1D,1390314600,4.0025,4.0375,3.97,4.0125
NVDA,1D,1390401000,4.02,4.025,3.96,4.0075
NVDA,1D,1390487400,3.995,4.0375,3.9625,3.9925
NVDA,1D,1390573800,3.96,3.975,3.89,3.89
NVDA,1D,1390833000,3.89,3.945,3.8425,3.865
NVDA,1D,1390919400,3.8575,3.905,3.8425,3.9025
NVDA,1D,1391005800,3.8875,3.91,3.8625,3.865
NVDA,1D,1391092200,3.8875,3.9375,3.875,3.93
NVDA,1D,1391178600,3.875,3.9475,3.8725,3.925
NVDA,1D,1391437800,3.9525,3.9575,3.8575,3.8725
NVDA,1D,1391524200,3.87,3.9025,3.85,3.895
NVDA,1D,1391610600,3.8675,3.88,3.83,3.86
NVDA,1D,1391697000,3.865,3.92,3.86,3.91
NVDA,1D,1391783400,3.92,3.9725,3.885,3.9675
NVDA,1D,1392042600,3.9625,4.0325,3.95875,3.98
NVDA,1D,1392129000,4.0025,4.0725,3.982525,4.0625
NVDA,1D,1392215400,4.075,4.2375,4.075,4.2075
NVDA,1D,1392301800,4.3125,4.365,4.2375,4.34
NVDA,1D,1392388200,4.3,4.4875,4.2975,4.4775
NVDA,1D,1392733800,4.48,4.495,4.4375,4.475
NVDA,1D,1392820200,4.475,4.575,4.455,4.535
NVDA,1D,1392906600,4.545,4.70375,4.5375,4.695
NVDA,1D,1392993000,4.6875,4.7475,4.63,4.66
NVDA,1D,1393252200,4.65,4.7625,4.6075,4.7275
NVDA,1D,1393338600,4.7,4.72,4.635,4.685
NVDA,1D,1393425000,4.675,4.745,4.6625,4.6775
NVDA,1D,1393511400,4.6775,4.725,4.6125,4.625
NVDA,1D,1393597800,4.6,4.645,4.5286,4.595
NVDA,1D,1393857000,4.4925,4.5725,4.4525,4.5725
NVDA,1D,1393943400,4.595,4.65,4.5875,4.62
NVDA,1D,1394029800,4.615,4.6625,4.595,4.66
NVDA,1D,1394116200,4.6675,4.6925,4.5875,4.595
NVDA,1D,1394202600,4.615,4.6225,4.55375,4.59
NVDA,1D,1394458200,4.575,4.595,4.5025,4.5225
NVDA,1D,1394544600,4.545,4.6075,4.53,4.5675
NVDA,1D,1394631000,4.545,4.6075,4.5275,4.58
NVDA,1D,1394717400,4.59,4.6075,4.4125,4.435
NVDA,1D,1394803800,4.39,4.495,4.39,4.455
NVDA,1D,1395063000,4.4675,4.5,4.45,4.455
NVDA,1D,1395149400,4.4725,4.59,4.4525,4.56
