symbol,timeframe,time,open,high,low,close
NVDA,1H,1635791400,256.85,257.31,255.8,257.17
NVDA,1H,1635795000,257.19,258.51,256.95,258.47
NVDA,1H,1635859800,258.4,262.29,258.03,260.89
NVDA,1H,1635863400,260.9,264.27,260.9,264.18
NVDA,1H,1635867000,264.16,266.76,263.75,265.16
NVDA,1H,1635870600,265.08,265.97,264.5,264.68
NVDA,1H,1635874200,264.66,264.74,262.22,262.78
NVDA,1H,1635877800,262.7,264.24,261.855,264.02
NVDA,1H,1635881400,264.06,265.19,263.63,264.01
NVDA,1H,1635946200,266.7,267.76,262.4,262.98
NVDA,1H,1635949800,263.06,264.18,262.48,264.18
NVDA,1H,1635953400,264.16,265.17,263.49,264.51
NVDA,1H,1635957000,264.45,264.67,263.65,264.18
NVDA,1H,1635960600,264.29,265.5,262.65,263.74
NVDA,1H,1635964200,263.8,266.47,263.01,265.59
NVDA,1H,1635967800,265.63,266.32,265.56,265.9
NVDA,1H,1636032600,272.25,285.48,271.25,284.69
NVDA,1H,1636036200,284.65,290.58,284.35,286.8
NVDA,1H,1636039800,286.93,299.21,286.82,295.3
NVDA,1H,1636043400,295.225,300.93,292.89,297.87
NVDA,1H,1636047000,297.9,308,297.9,307.31
NVDA,1H,1636050600,307.25,313.49,298.21,299.36
NVDA,1H,1636054200,299.48,300.87,295.48,297.86
NVDA,1H,1636119000,301.87,312.3,300.35,307.59
NVDA,1H,1636122600,307.56,311.66,306.86,310.02
NVDA,1H,1636126200,309.93,313.29,304.88,306.95
NVDA,1H,1636129800,306.73,306.89,296.56,296.56
NVDA,1H,1636133400,296.99,303.28,296.93,301.42
NVDA,1H,1636137000,301.31,304.41,299.29,299.9
NVDA,1H,1636140600,300,300.135,294.21,297.49
NVDA,1H,1636381800,301.78,308.94,299.32,305.3
NVDA,1H,1636385400,305.45,310.2,303.73,308.34
NVDA,1H,1636389000,309.21,310.26,304.435,306.045
NVDA,1H,1636392600,305.79,309.6,304.98,308.73
NVDA,1H,1636396200,308.91,310.25,307.59,307.73
NVDA,1H,1636399800,307.75,308.95,306.61,307.42
NVDA,1H,1636403400,307.72,308.38,305.76,308.03
NVDA,1H,1636468200,322.82,323,308.94,312.06
NVDA,1H,1636471800,312.19,315.22,309.82,313.54
NVDA,1H,1636475400,313.6,316.14,305.17,305.4
NVDA,1H,1636479000,305.49,306.25,301.35,301.64
NVDA,1H,1636482600,301.56,306.56,299.73,305.21
NVDA,1H,1636486200,305.73,307.36,303.19,305.31
NVDA,1H,1636489800,305.52,307.42,305.29,306.48
NVDA,1H,1636554600,293.04,308.36,287.88,302.22
NVDA,1H,1636558200,302.2,304.2,298.42,298.48
NVDA,1H,1636561800,298.72,302,298.62,300.84
NVDA,1H,1636565400,300.87,300.87,296.24,297.45
NVDA,1H,1636569000,297.3,298.36,291.29,291.32
NVDA,1H,1636572600,291.14,296.9,291.14,296.37
NVDA,1H,1636576200,296.29,296.54,293.91,294.41
NVDA,1H,1636641000,304.68,304.72,298.23,298.66
NVDA,1H,1636644600,298.5,302.77,297.92,300.99
NVDA,1H,1636648200,300.97,301.225,299.2,299.65
NVDA,1H,1636651800,299.43,302.04,299.43,302.04
NVDA,1H,1636655400,302.39,305.67,301.68,305.49
NVDA,1H,1636659000,305.53,305.9,301.99,303.09
NVDA,1H,1636662600,303.22,305.01,302.59,303.88
NVDA,1H,1636727400,300.17,302.1,296.315,299.76
NVDA,1H,1636731000,299.95,306.34,299.45,305.34
NVDA,1H,1636734600,305.38,306.8,303.925,303.99
NVDA,1H,1636738200,303.82,304.81,302.17,303.98
NVDA,1H,1636741800,304.1,304.72,302.77,303.85
NVDA,1H,1636745400,303.9,304.68,303.18,304.44
NVDA,1H,1636749000,304.45,304.81,303.48,303.9
NVDA,1H,1636986600,305.75,306.4,298.63,298.78
NVDA,1H,1636990200,298.66,300.02,298.1,298.58
NVDA,1H,1636993800,298.72,299.79,292.49,294.18
NVDA,1H,1636997400,294.19,297.635,294.17,296.73
NVDA,1H,1637001000,296.63,297.73,295.87,297
NVDA,1H,1637004600,297,300.26,296.71,299.82
NVDA,1H,1637008200,299.88,300.36,299.11,300.32
NVDA,1H,1637073000,297.59,301.94,297.41,298.97
NVDA,1H,1637076600,298.84,303.76,298.84,302.94
NVDA,1H,1637080200,303,303.3,299.51,299.96
