symbol,timeframe,time,open,high,low,close
NVDA,1W,916669800,0.437502,0.488294,0.388023,0.410169
NVDA,1W,917274600,0.442711,0.46745,0.395835,0.395835
NVDA,1W,917879400,0.395835,0.416669,0.360679,0.412762
NVDA,1W,918484200,0.415367,0.437502,0.372398,0.434898
NVDA,1W,919089000,0.442711,0.46094,0.393231,0.434898
NVDA,1W,919693800,0.442711,0.546878,0.414065,0.457034
NVDA,1W,920298600,0.468752,0.479169,0.41146,0.438804
NVDA,1W,920903400,0.427085,0.466148,0.416669,0.424481
NVDA,1W,921508200,0.434898,0.450523,0.420575,0.437502
NVDA,1W,922113000,0.446617,0.447919,0.38021,0.4362
NVDA,1W,922717800,0.449221,0.459638,0.40495,0.427085
NVDA,1W,923319000,0.421877,0.458336,0.395835,0.437502
NVDA,1W,923923800,0.432294,0.432294,0.390627,0.414065
NVDA,1W,924528600,0.419273,0.419273,0.356773,0.359377
NVDA,1W,925133400,0.359377,0.395835,0.333335,0.38021
NVDA,1W,925738200,0.384117,0.384117,0.343752,0.364585
NVDA,1W,926343000,0.361981,0.406252,0.361981,0.375002
NVDA,1W,926947800,0.369794,0.445315,0.343752,0.354168
NVDA,1W,927552600,0.356773,0.372398,0.347658,0.355471
NVDA,1W,928157400,0.354168,0.356773,0.343752,0.355471
NVDA,1W,928762200,0.357424,0.382814,0.355471,0.368491
NVDA,1W,929367000,0.369142,0.375002,0.341148,0.341148
NVDA,1W,929971800,0.351564,0.361981,0.342124,0.356773
NVDA,1W,930576600,0.368491,0.40495,0.354168,0.40495
NVDA,1W,931181400,0.408856,0.445315,0.388023,0.44206
NVDA,1W,931786200,0.468752,0.481773,0.442711,0.457034
NVDA,1W,932391000,0.458336,0.459638,0.401044,0.40495
NVDA,1W,932995800,0.415367,0.42969,0.401044,0.419273
NVDA,1W,933600600,0.419273,0.424481,0.406252,0.419273
NVDA,1W,934205400,0.420575,0.489586,0.416669,0.472659
NVDA,1W,934810200,0.476565,0.591149,0.438804,0.559899
NVDA,1W,935415000,0.552086,0.562503,0.49219,0.541669
NVDA,1W,936019800,0.550784,0.588545,0.51693,0.555992
NVDA,1W,936624600,0.565107,0.565107,0.533857,0.552086
NVDA,1W,937229400,0.55469,0.55469,0.489586,0.507815
NVDA,1W,937834200,0.4987,0.505211,0.34896,0.377606
NVDA,1W,938439000,0.402346,0.463544,0.377606,0.398439
NVDA,1W,939043800,0.41146,0.520836,0.401044,0.489586
NVDA,1W,939648600,0.493492,0.494794,0.424481,0.445315
NVDA,1W,940253400,0.446617,0.462242,0.397137,0.449221
NVDA,1W,940858200,0.446617,0.484377,0.424481,0.46094
NVDA,1W,941466600,0.453127,0.630211,0.453127,0.588545
NVDA,1W,942071400,0.570315,0.66667,0.552086,0.66667
