timeframe,symbol,time,open,high,low,close
1min,NVDA,1678714200,227.51,228.68,227.11,228.26
1min,NVDA,1678714260,228.3,229.59,228.15,229.46
1min,NVDA,1678714320,229.47,229.47,227.2,227.79
1min,NVDA,1678714380,227.98,229,227.1,228.29
1min,NVDA,1678714440,228.2,228.29,227.68,227.73
1min,NVDA,1678714500,227.74,227.74,226.46,226.46
1min,NVDA,1678714560,226.37,226.8,225.8,225.94
1min,NVDA,1678714620,225.8,225.93,224.64,224.68
1min,NVDA,1678714680,224.62,224.72,223.65,223.68
1min,NVDA,1678714740,223.7,225.1,223.54,225.1
1min,NVDA,1678714800,225.12,225.21,224.54,224.74
1min,NVDA,1678714860,224.84,224.84,223.76,224
1min,NVDA,1678714920,224,224.09,223.34,224.02
1min,NVDA,1678714980,223.96,224.46,223.82,223.94
1min,NVDA,1678715040,223.82,223.82,222.97,223.78
1min,NVDA,1678715100,223.63,224.65,223.38,224.52
1min,NVDA,1678715160,224.24,224.63,224.03,224.63
1min,NVDA,1678715220,224.6,226.7,224.21,226.7
1min,NVDA,1678715280,226.79,227.3,225.91,227.21
1min,NVDA,1678715340,227.33,228.38,226.97,227.74
1min,NVDA,1678715400,228.03,228.46,227.81,227.88
1min,NVDA,1678715460,227.67,228,227.41,227.78
1min,NVDA,1678715520,227.87,228.37,227.58,227.58
1min,NVDA,1678715580,227.57,227.75,226.33,226.43
1min,NVDA,1678715640,226.66,227.67,226.66,227.44
1min,NVDA,1678715700,227.18,228,226.85,227.63
1min,NVDA,1678715760,227.72,228.63,227.64,228.52
1min,NVDA,1678715820,228.57,228.65,228.26,228.4
1min,NVDA,1678715880,228.47,229.09,228.38,228.87
1min,NVDA,1678715940,228.75,228.81,227.93,228.13
1min,NVDA,1678716000,227.8,228.16,227.37,227.74
1min,NVDA,1678716060,227.73,228.22,227.45,227.79
1min,NVDA,1678716120,227.79,227.79,226.82,227.02
1min,NVDA,1678716180,226.91,227.6,226.84,227.16
1min,NVDA,1678716240,227.02,227.66,226.85,226.85
1min,NVDA,1678716300,226.56,227.07,226.29,226.52
1min,NVDA,1678716360,226.43,227.29,226.39,227.28
1min,NVDA,1678716420,227.11,227.83,226.09,227.82
1min,NVDA,1678716480,227.85,229,227.65,228.87
1min,NVDA,1678716540,228.72,228.82,228.38,228.625
1min,NVDA,1678716600,228.69,228.98,228.36,228.74
1min,NVDA,1678716660,228.8,228.84,228.33,228.59
1min,NVDA,1678716720,228.68,228.68,227.58,227.78
1min,NVDA,1678716780,227.79,227.9,227.27,227.76
1min,NVDA,1678716840,228,228,227.6,227.74
1min,NVDA,1678716900,227.58,227.74,227.09,227.16
1min,NVDA,1678716960,227.28,227.58,226.88,227.26
1min,NVDA,1678717020,227.405,227.41,226.95,227.33
1min,NVDA,1678717080,227.31,228.01,227.31,227.56
1min,NVDA,1678717140,227.52,227.52,227.05,227.28
1min,NVDA,1678717200,227.33,227.5,227.18,227.5
1min,NVDA,1678717260,227.88,228.19,227.79,228
1min,NVDA,1678717320,228.06,229.04,228.06,228.67
1min,NVDA,1678717380,228.54,228.54,227.73,227.73
1min,NVDA,1678717440,227.73,228.1,227.61,228.06
1min,NVDA,1678717500,228.4,228.45,227.77,227.77
1min,NVDA,1678717560,227.65,228.65,227.52,228.14
1min,NVDA,1678717620,228.09,228.34,227.43,227.46
1min,NVDA,1678717680,227.63,227.97,227.49,227.7
1min,NVDA,1678717740,227.87,227.88,227.24,227.42
1min,NVDA,1678717800,227.5,228.43,227.5,228.01
1min,NVDA,1678717860,227.98,228.07,227.39,227.8
1min,NVDA,1678717920,227.76,228.7,227.76,228.7
1min,NVDA,1678717980,228.79,229.87,228.79,229.79
1min,NVDA,1678718040,229.89,230.1,229.15,229.52
1min,NVDA,1678718100,229.47,229.59,228.98,229.3
1min,NVDA,1678718160,229.16,229.17,228.51,228.54
1min,NVDA,1678718220,228.36,228.5,228.14,228.3
1min,NVDA,1678718280,228.32,228.32,227.31,227.76
1min,NVDA,1678718340,227.65,228.5,227.65,228.23
1min,NVDA,1678718400,228.41,228.41,227.79,228.22
1min,NVDA,1678718460,227.89,227.89,227.47,227.54
1min,NVDA,1678718520,227.6,227.63,227.09,227.46
1min,NVDA,1678718580,227.48,227.51,227.11,227.49
1min,NVDA,1678718640,227.56,228.13,227.56,227.72
1min,NVDA,1678718700,227.89,228.1,227.5,228.05
1min,NVDA,1678718760,228.3,228.35,227.98,228.07
1min,NVDA,1678718820,227.98,228.59,227.72,228.49
1min,NVDA,1678718880,228.39,228.4,228.02,228.3
1min,NVDA,1678718940,228.2,228.23,227.85,228
1min,NVDA,1678719000,228.08,228.23,227.39,227.47
1min,NVDA,1678719060,227.54,227.61,227.3,227.58
1min,NVDA,1678719120,227.59,227.79,226.84,227.06
1min,NVDA,1678719180,227.01,227.35,227.01,227.27
1min,NVDA,1678719240,227.2,227.78,226.94,227.76
1min,NVDA,1678719300,227.95,229.11,227.84,228.9
1min,NVDA,1678719360,228.8,229.04,228.74,229.04
1min,NVDA,1678719420,229.29,229.5,228.85,229.04
1min,NVDA,1678719480,229.09,229.35,229.09,229.35
1min,NVDA,1678719540,229.29,229.46,229.07,229.1
1min,NVDA,1678719600,229.28,229.33,228.71,228.99
1min,NVDA,1678719660,229.02,229.02,228.53,228.68
1min,NVDA,1678719720,228.61,229.7,228.58,229.4
1min,NVDA,1678719780,229.38,229.64,229.06,229.2
1min,NVDA,1678719840,229.05,229.18,228.9,228.9
1min,NVDA,1678719900,228.975,229.09,228.67,228.975
1min,NVDA,1678719960,228.97,229.14,228.73,228.73
1min,NVDA,1678720020,228.78,228.9,228.61,228.83
1min,NVDA,1678720080,228.81,229.52,228.62,229.51
1min,NVDA,1678720140,229.41,229.45,228.92,229.03
1min,NVDA,1678720200,228.95,229.59,228.95,229.35
1min,NVDA,1678720260,229.62,230.15,229.62,229.87
1min,NVDA,1678720320,229.8,231.01,229.78,230.62
1min,NVDA,1678720380,230.635,230.68,229.71,229.87
1min,NVDA,1678720440,229.86,230.42,229.86,230.22
1min,NVDA,1678720500,230.14,230.94,230.14,230.75
1min,NVDA,1678720560,230.85,231.12,230.63,231.04
1min,NVDA,1678720620,231.07,231.07,230.7,230.85
1min,NVDA,1678720680,230.92,231.5,230.92,231.48
1min,NVDA,1678720740,231.49,231.5,230.89,231.2
1min,NVDA,1678720800,231.33,231.46,231.13,231.24
1min,NVDA,1678720860,231.11,231.55,230.92,230.92
1min,NVDA,1678720920,230.94,231.12,230.31,230.38
1min,NVDA,1678720980,230.3,230.37,229.93,230
1min,NVDA,1678721040,230.13,230.54,230.13,230.46
1min,NVDA,1678721100,230.46,230.8,230.43,230.44
1min,NVDA,1678721160,230.59,231.04,230.25,230.665
1min,NVDA,1678721220,230.665,231,230.54,230.74
1min,NVDA,1678721280,230.85,231.43,230.85,231.23
1min,NVDA,1678721340,231.11,231.35,231.11,231.19
1min,NVDA,1678721400,231.03,231.47,230.96,231.42
1min,NVDA,1678721460,231.37,231.44,230.89,230.97
1min,NVDA,1678721520,230.8,230.8,230.5,230.5
1min,NVDA,1678721580,230.57,231,230.54,230.95
1min,NVDA,1678721640,230.94,230.94,230.65,230.75
1min,NVDA,1678721700,230.65,230.75,230.45,230.54
1min,NVDA,1678721760,230.52,230.52,230.22,230.33
1min,NVDA,1678721820,230.43,230.54,229.99,230.19
1min,NVDA,1678721880,230.14,230.53,230.08,230.32
1min,NVDA,1678721940,230.35,230.37,229.78,230.05
1min,NVDA,1678722000,230.25,230.43,230.04,230.39
1min,NVDA,1678722060,230.5,230.9,230.46,230.61
1min,NVDA,1678722120,230.74,231.24,230.46,231.19
1min,NVDA,1678722180,231.21,231.21,230.8,230.91
1min,NVDA,1678722240,231,231.24,231,231.1
1min,NVDA,1678722300,231.2,231.38,231.08,231.28
1min,NVDA,1678722360,231.39,231.56,230.8,231.24
1min,NVDA,1678722420,231.21,231.44,231.1,231.34
1min,NVDA,1678722480,231.35,232,231.06,231.92
1min,NVDA,1678722540,232,232.19,231.87,232.02
1min,NVDA,1678722600,232.07,232.13,231.4,231.46
1min,NVDA,1678722660,231.38,231.91,231.37,231.85
1min,NVDA,1678722720,231.82,231.94,231.6,231.64
1min,NVDA,1678722780,231.58,231.75,231.19,231.6
1min,NVDA,1678722840,231.8,231.87,231.2,231.3
1min,NVDA,1678722900,231.2,231.46,231.13,231.18
1min,NVDA,1678722960,231.26,231.49,231.23,231.44
1min,NVDA,1678723020,231.55,231.74,231.44,231.54
1min,NVDA,1678723080,231.53,231.73,231.26,231.65
1min,NVDA,1678723140,231.72,231.92,231.62,231.62
1min,NVDA,1678723200,231.7,232.8,231.63,232.3
1min,NVDA,1678723260,232.39,232.62,232.17,232.17
1min,NVDA,1678723320,232.12,232.12,231.43,231.48
1min,NVDA,1678723380,231.43,231.43,230.88,230.91
1min,NVDA,1678723440,231.03,231.19,230.77,231.19
1min,NVDA,1678723500,231.21,231.56,231.02,231.46
1min,NVDA,1678723560,231.53,232.44,231.53,232.27
1min,NVDA,1678723620,232.25,232.44,232.24,232.28
1min,NVDA,1678723680,232.22,232.24,231.94,232.18
1min,NVDA,1678723740,232.29,232.35,232.16,232.19
1min,NVDA,1678723800,232.16,232.16,231.61,231.63
1min,NVDA,1678723860,231.62,231.62,231.1,231.14
1min,NVDA,1678723920,231.04,231.12,230.61,230.91
1min,NVDA,1678723980,230.9,231.45,230.9,231.36
1min,NVDA,1678724040,231.56,231.71,230.77,230.85
1min,NVDA,1678724100,230.87,231.69,230.77,231.34
1min,NVDA,1678724160,231.31,231.61,231.13,231.58
1min,NVDA,1678724220,231.7,231.75,231.25,231.26
1min,NVDA,1678724280,231.31,231.33,231.07,231.11
