symbol,timeframe,time,open,high,low,close
TSLA,1W,1277731800,1.266665,2.027945,1.169331,1.279999
TSLA,1W,1278423000,1.333332,1.333332,0.998666,1.159998
TSLA,1W,1278941400,1.196665,1.433332,1.126665,1.375999
TSLA,1W,1279546200,1.424665,1.483332,1.299999,1.419331
TSLA,1W,1280151000,1.433332,1.433332,1.303332,1.329332
TSLA,1W,1280755800,1.366665,1.478665,1.301332,1.305999
TSLA,1W,1281360600,1.326665,1.331999,1.159332,1.221333
TSLA,1W,1281965400,1.229999,1.305999,1.217439,1.273333
TSLA,1W,1282570200,1.272665,1.359272,1.237332,1.313332
TSLA,1W,1283175000,1.313332,1.419999,1.288665,1.403332
TSLA,1W,1283866200,1.373999,1.403332,1.317331,1.344665
TSLA,1W,1284384600,1.392665,1.543998,1.319999,1.348665
TSLA,1W,1284989400,1.377999,1.436665,1.299999,1.339999
TSLA,1W,1285594200,1.359998,1.476659,1.336665,1.373333
TSLA,1W,1286199000,1.361998,1.418665,1.353332,1.361998
TSLA,1W,1286803800,1.362665,1.401993,1.335332,1.369331
TSLA,1W,1287408600,1.367999,1.396665,1.333332,1.381332
TSLA,1W,1288013400,1.395999,1.457999,1.367331,1.455999
TSLA,1W,1288618200,1.462665,1.688665,1.403332,1.629332
TSLA,1W,1289226600,1.633332,2.033331,1.601998,1.989331
TSLA,1W,1289831400,2.014665,2.195964,1.894665,2.065999
TSLA,1W,1290436200,2.104665,2.399998,2.099998,2.354665
TSLA,1W,1291041000,2.360811,2.427998,2.057998,2.099332
TSLA,1W,1291645800,2.089999,2.194664,1.970665,2.101331
TSLA,1W,1292250600,2.109331,2.117998,1.850731,2.090665
TSLA,1W,1292855400,2.109331,2.190664,1.994665,2.005998
TSLA,1W,1293460200,1.867998,1.905331,1.666665,1.775332
TSLA,1W,1294065000,1.789332,1.905331,1.726664,1.882665
TSLA,1W,1294669800,1.877998,1.913999,1.707332,1.716665
TSLA,1W,1295361000,1.698665,1.709332,1.491332,1.535998
TSLA,1W,1295879400,1.568665,1.671998,1.548665,1.600664
TSLA,1W,1296484200,1.603332,1.648665,1.543331,1.563999
TSLA,1W,1297089000,1.550664,1.683332,1.519331,1.549998
TSLA,1W,1297693800,1.575998,1.699332,1.503998,1.545331
TSLA,1W,1298385000,1.525332,1.589999,1.407332,1.573998
TSLA,1W,1298903400,1.582666,1.665999,1.566665,1.663332
TSLA,1W,1299508200,1.661998,1.693331,1.568665,1.604666
TSLA,1W,1300109400,1.587999,1.599998,1.453332,1.530666
TSLA,1W,1300714200,1.536665,1.536665,1.451332,1.516665
TSLA,1W,1301319000,1.513332,1.913999,1.503332,1.777332
TSLA,1W,1301923800,1.788665,1.862665,1.681998,1.765999
TSLA,1W,1302528600,1.764665,1.768665,1.613332,1.705332
TSLA,1W,1303133400,1.675332,1.798665,1.623998,1.782666
TSLA,1W,1303738200,1.779998,1.857998,1.731332,1.839999
TSLA,1W,1304343000,1.839999,1.853331,1.716665,1.807998
TSLA,1W,1304947800,1.799998,1.929998,1.776664,1.836665
TSLA,1W,1305552600,1.865999,1.895998,1.701332,1.864665
TSLA,1W,1306157400,1.841331,1.983997,1.744665,1.969998
TSLA,1W,1306848600,1.979331,2.099998,1.891998,2.008665
TSLA,1W,1307367000,2.006665,2.008665,1.801332,1.857331
TSLA,1W,1307971800,1.871332,1.979998,1.715999,1.766665
TSLA,1W,1308576600,1.752664,1.883331,1.699998,1.837665
TSLA,1W,1309181400,1.848665,1.973332,1.820665,1.934665
TSLA,1W,1309872600,1.934665,1.999998,1.903331,1.920665
TSLA,1W,1310391000,1.893331,1.939331,1.816665,1.838665
TSLA,1W,1310995800,1.822665,2.029331,1.775332,1.952664
TSLA,1W,1311600600,1.933997,1.949998,1.833332,1.877998
TSLA,1W,1312205400,1.911331,1.946665,1.521998,1.615999
TSLA,1W,1312810200,1.539999,1.809332,1.539999,1.753998
TSLA,1W,1313415000,1.774665,1.783332,1.466665,1.486665
TSLA,1W,1314019800,1.540665,1.596665,1.433332,1.581998
TSLA,1W,1314624600,1.614665,1.699998,1.511998,1.537999
TSLA,1W,1315315800,1.499998,1.601998,1.485998,1.531332
TSLA,1W,1315834200,1.499998,1.722665,1.496665,1.719998
TSLA,1W,1316439000,1.663332,1.796665,1.587999,1.758665
TSLA,1W,1317043800,1.767998,1.799332,1.565999,1.625998
TSLA,1W,1317648600,1.663332,1.839999,1.528664,1.799332
TSLA,1W,1318253400,1.820665,1.903331,1.799998,1.869998
TSLA,1W,1318858200,1.857331,1.895165,1.780666,1.868665
TSLA,1W,1319463000,1.857998,1.999998,1.826664,1.991331
TSLA,1W,1320067800,1.966665,2.165999,1.866665,2.153998
TSLA,1W,1320676200,2.109331,2.299998,2.019998,2.242664
TSLA,1W,1321281000,2.199998,2.333331,2.16933,2.173332
TSLA,1W,1321885800,2.162665,2.185997,2.069998,2.110665
TSLA,1W,1322490600,2.133331,2.265998,2.108665,2.219998
TSLA,1W,1323095400,2.235331,2.333331,1.973998,2.069331
TSLA,1W,1323700200,2.029331,2.061997,1.865331,1.866665
TSLA,1W,1324305000,1.872665,1.899998,1.735332,1.859997
TSLA,1W,1324996200,1.843998,1.955998,1.842665,1.903998
TSLA,1W,1325601000,1.929331,1.966665,1.760665,1.793998
TSLA,1W,1326119400,1.799998,1.907998,1.509332,1.519331
TSLA,1W,1326810600,1.774665,1.849332,1.749998,1.773332
TSLA,1W,1327329000,1.787332,1.981331,1.762658,1.955331
TSLA,1W,1327933800,1.965999,2.088665,1.901932,2.076664
TSLA,1W,1328538600,2.073332,2.19333,1.989331,2.073332
TSLA,1W,1329143400,2.103331,2.331331,2.059997,2.331331
TSLA,1W,1329834600,2.324664,2.331331,2.166665,2.249998
TSLA,1W,1330353000,2.227331,2.299998,2.199998,2.26933
TSLA,1W,1330957800,2.289998,2.353998,2.174664,2.315998
TSLA,1W,1331559000,2.312664,2.439331,2.306665,2.354665
TSLA,1W,1332163800,2.350664,2.354665,2.209997,2.271998
TSLA,1W,1332768600,2.372664,2.663331,2.336091,2.482665
TSLA,1W,1333373400,2.488664,2.564637,2.293998,2.298664
TSLA,1W,1333978200,2.273332,2.298664,2.133997,2.239331
TSLA,1W,1334583000,2.227331,2.248658,2.101998,2.210664
TSLA,1W,1335187800,2.190664,2.241998,2.066665,2.222664
TSLA,1W,1335792600,2.217998,2.292664,2.093331,2.121998
TSLA,1W,1336397400,2.130665,2.311997,1.957998,2.149998
TSLA,1W,1337002200,2.127998,2.141998,1.788665,1.837331
TSLA,1W,1337607000,1.838665,2.089331,1.807998,1.987331
TSLA,1W,1338298200,2.000664,2.128664,1.850664,1.876664
TSLA,1W,1338816600,1.868665,2.012665,1.807332,2.005331
TSLA,1W,1339421400,2.020665,2.066665,1.907998,1.993998
TSLA,1W,1340026200,1.995998,2.299998,1.966665,2.252331
TSLA,1W,1340631000,2.262664,2.274664,2.041331,2.085997
TSLA,1W,1341235800,2.089999,2.119965,2.012665,2.065999
TSLA,1W,1341840600,2.062665,2.29333,2.044665,2.283331
TSLA,1W,1342445400,2.287998,2.399998,2.070665,2.119331
TSLA,1W,1343050200,2.069998,2.086665,1.842665,1.967331
TSLA,1W,1343655000,1.967331,2.016531,1.701332,1.817998
TSLA,1W,1344259800,1.836665,2.059997,1.836665,1.995998
TSLA,1W,1344864600,1.979331,2.086665,1.920665,2.000664
TSLA,1W,1345469400,2.009997,2.056665,1.933331,1.966665
TSLA,1W,1346074200,1.971332,1.979998,1.866665,1.901331
TSLA,1W,1346765400,1.901331,1.971332,1.853998,1.956665
TSLA,1W,1347283800,1.946665,2.043331,1.819665,2.025998
TSLA,1W,1347888600,2.156665,2.185331,1.969331,2.001331
TSLA,1W,1348493400,1.967331,2.068665,1.831998,1.951998
TSLA,1W,1349098200,1.966665,2.006665,1.909997,1.925998
TSLA,1W,1349703000,1.923998,1.959997,1.833332,1.842665
TSLA,1W,1350307800,1.867998,1.932665,1.790665,1.849332
TSLA,1W,1350912600,1.865999,1.903998,1.801332,1.825332
TSLA,1W,1351517400,1.846665,1.969998,1.824665,1.927878
TSLA,1W,1352125800,1.986665,2.136665,1.955331,2.021332
TSLA,1W,1352730600,2.019331,2.141331,2.010665,2.122658
TSLA,1W,1353335400,2.137999,2.231331,2.113331,2.141998
TSLA,1W,1353940200,2.139999,2.285997,2.101331,2.254665
TSLA,1W,1354545000,2.259331,2.333331,2.233331,2.277998
TSLA,1W,1355149800,2.29533,2.386664,2.183331,2.253998
TSLA,1W,1355754600,2.251331,2.350664,2.238664,2.266664
TSLA,1W,1356359400,2.242664,2.299998,2.199998,2.214664
TSLA,1W,1356964200,2.199998,2.363331,2.199998,2.29333
TSLA,1W,1357569000,2.319998,2.319998,2.140665,2.193998
TSLA,1W,1358173800,2.205331,2.323332,2.189998,2.301331
TSLA,1W,1358865000,2.303998,2.514664,2.283997,2.465331
TSLA,1W,1359383400,2.457331,2.580665,2.457331,2.553331
TSLA,1W,1359988200,2.559997,2.666664,2.505997,2.615998
TSLA,1W,1360593000,2.531997,2.609997,2.463331,2.46933
TSLA,1W,1361284200,2.490664,2.64333,2.302664,2.407331
TSLA,1W,1361802600,2.409997,2.449998,2.253331,2.309997
TSLA,1W,1362407400,2.317998,2.629331,2.313331,2.564664
TSLA,1W,1363008600,2.591331,2.632665,2.347332,2.352664
TSLA,1W,1363613400,2.353331,2.470664,2.327998,2.441331
TSLA,1W,1364218200,2.473332,2.567997,2.451331,2.525997
TSLA,1W,1364823000,2.823997,3.111996,2.680697,2.757997
TSLA,1W,1365427800,2.797997,3.009264,2.688664,2.916664
TSLA,1W,1366032600,2.899997,3.32533,2.833996,3.188663
TSLA,1W,1366637400,3.239997,3.582664,3.18333,3.41333
TSLA,1W,1367242200,3.450663,3.878662,3.41333,3.636663
TSLA,1W,1367847000,3.75933,5.399995,3.674663,5.117596
TSLA,1W,1368451800,5.399329,6.47466,5.207328,6.099994
TSLA,1W,1369056600,6.074661,6.529993,5.536661,6.471994
TSLA,1W,1369747800,6.769993,7.659992,6.515327,6.517326
TSLA,1W,1370266200,6.507993,6.859992,5.883327,6.802659
TSLA,1W,1370871000,6.595326,6.83466,6.269994,6.68666
TSLA,1W,1371475800,6.90666,7.141993,6.499994,6.63666
TSLA,1W,1372080600,6.433327,7.349993,6.353327,7.157326
TSLA,1W,1372685400,7.290659,8.125992,7.276659,8.005992
TSLA,1W,1373290200,8.091325,8.662658,7.921326,8.659991
TSLA,1W,1373895000,8.868658,8.883924,6.96666,7.978658
TSLA,1W,1374499800,7.992659,8.711991,7.970659,8.625991
TSLA,1W,1375104600,8.621325,9.216657,8.545324,9.199991
TSLA,1W,1375709400,9.33399,10.591989,8.823991,10.19999
