timeframe,symbol,time,open,high,low,close
3min,TSLA,1666013400,210.15,213.3,209.49,212.8
3min,TSLA,1666013580,212.76,213.625,211.68,213.33
3min,TSLA,1666013760,213.33,214.21,212.68,213.58
3min,TSLA,1666013940,213.56,214.58,213.2,214.21
3min,TSLA,1666014120,214.19,214.27,212.2,212.8
3min,TSLA,1666014300,212.9,213.1,212,212.55
3min,TSLA,1666014480,212.61,215.2,212.4,215.1
3min,TSLA,1666014660,215.09,215.16,213.82,214.49
3min,TSLA,1666014840,214.575,214.93,213.34,213.88
3min,TSLA,1666015020,213.87,214.8,213.45,214.68
3min,TSLA,1666015200,214.72,215.1,213.93,214.65
3min,TSLA,1666015380,214.56,216.62,214.56,216.16
3min,TSLA,1666015560,216.22,216.8,215.89,216.28
3min,TSLA,1666015740,216.3,216.94,215.65,216.42
3min,TSLA,1666015920,216.54,218.02,216.15,217.84
3min,TSLA,1666016100,217.88,218.17,216.75,216.99
3min,TSLA,1666016280,216.96,217.8,216.86,217.42
3min,TSLA,1666016460,217.4,217.52,216.42,216.72
3min,TSLA,1666016640,216.72,217.64,216.44,217.49
3min,TSLA,1666016820,217.51,217.51,216.83,217.17
3min,TSLA,1666017000,217.22,218.1,217,217.87
3min,TSLA,1666017180,217.99,218.13,217.1,217.775
3min,TSLA,1666017360,217.69,218.72,217.67,218.05
3min,TSLA,1666017540,218.05,218.77,217.75,218.23
3min,TSLA,1666017720,218.27,218.43,217.74,217.95
3min,TSLA,1666017900,217.95,218.1,217.67,217.75
3min,TSLA,1666018080,217.74,217.74,217.05,217.2
3min,TSLA,1666018260,217.245,217.245,216.19,216.25
3min,TSLA,1666018440,216.23,216.3,215.57,216.01
3min,TSLA,1666018620,216.06,216.97,215.71,216.61
3min,TSLA,1666018800,216.68,217.68,216.37,217.44
3min,TSLA,1666018980,217.44,217.62,216.8,217.1
3min,TSLA,1666019160,217.1,217.51,216.84,216.84
3min,TSLA,1666019340,216.81,217.93,216.61,217.81
3min,TSLA,1666019520,217.93,218.39,217.71,217.96
3min,TSLA,1666019700,217.94,218.33,217.57,218.05
3min,TSLA,1666019880,218.05,218.16,217.4,218.04
3min,TSLA,1666020060,217.9,218.56,217.58,218.47
3min,TSLA,1666020240,218.49,218.6,217.97,218.39
3min,TSLA,1666020420,218.43,219.15,218.32,219.09
3min,TSLA,1666020600,219.09,219.19,218.6,218.78
3min,TSLA,1666020780,218.81,219.34,218.68,219.05
3min,TSLA,1666020960,219.13,219.23,218.85,219.11
3min,TSLA,1666021140,219.08,220.26,219.05,220.26
3min,TSLA,1666021320,220.27,220.43,219.82,220.06
3min,TSLA,1666021500,220.07,220.09,219.67,219.8
3min,TSLA,1666021680,219.87,220.65,219.85,220.22
3min,TSLA,1666021860,220.25,220.62,220.09,220.58
3min,TSLA,1666022040,220.58,220.76,219.97,220.01
3min,TSLA,1666022220,220.04,220.2,219.7,219.85
3min,TSLA,1666022400,219.9,220.27,219.64,219.93
3min,TSLA,1666022580,219.99,220,219.37,219.71
3min,TSLA,1666022760,219.71,220.17,219.62,219.99
3min,TSLA,1666022940,220.07,220.39,219.64,219.64
3min,TSLA,1666023120,219.56,219.62,218.93,219.44
