symbol,timeframe,time,open,high,low,close
TSLA,4H,1277818200,1.26633206,1.2666654,1.16999883,1.25199874
TSLA,4H,1277832600,1.25599874,1.666665,1.24199875,1.5919984
TSLA,4H,1277904600,1.73266493,2.0273313,1.63666503,1.84799815
TSLA,4H,1277919000,1.85533147,1.8606648,1.55333178,1.58466508
TSLA,4H,1277991000,1.67733165,1.7253316,1.35266531,1.4293319
TSLA,4H,1278005400,1.44599855,1.47866518,1.3999986,1.45399854
TSLA,4H,1278077400,1.53066513,1.53066513,1.28199871,1.30999869
TSLA,4H,1278091800,1.30933202,1.31333202,1.24866541,1.27799872
TSLA,4H,1278423000,1.32333201,1.32799867,1.17799882,1.18666548
TSLA,4H,1278437400,1.19466547,1.19866546,1.05599894,1.06866559
TSLA,4H,1278509400,1.0919989,1.10799889,0.999999,1.01866564
TSLA,4H,1278523800,1.01533231,1.06533226,1.01199898,1.05199894
TSLA,4H,1278595800,1.07599892,1.12133221,1.04199895,1.07999892
TSLA,4H,1278610200,1.07799892,1.1666655,1.07066559,1.16399883
TSLA,4H,1278682200,1.17399882,1.17999882,1.10366556,1.17133216
TSLA,4H,1278696600,1.17666549,1.1919988,1.14199885,1.15733217
TSLA,4H,1278941400,1.1959988,1.20266546,1.1333322,1.14999885
TSLA,4H,1278955800,1.14999885,1.1606655,1.1333322,1.13399886
TSLA,4H,1279027800,1.16333217,1.17599882,1.12666554,1.17266549
TSLA,4H,1279042200,1.17799882,1.22866543,1.17799882,1.20466546
TSLA,4H,1279114200,1.19266547,1.31333202,1.18799881,1.2939987
TSLA,4H,1279128600,1.30466536,1.34266532,1.28666538,1.31399868
TSLA,4H,1279200600,1.33466533,1.42599857,1.2666654,1.41933191
TSLA,4H,1279215000,1.41799858,1.43066523,1.27733205,1.32266534
TSLA,4H,1279287000,1.37666529,1.41933191,1.33733199,1.37199862
TSLA,4H,1279301400,1.37399862,1.37799862,1.34466532,1.37599862
TSLA,4H,1279546200,1.42466524,1.48133185,1.39733193,1.45799854
TSLA,4H,1279560600,1.45666521,1.47799852,1.44466522,1.45933187
TSLA,4H,1279632600,1.44199855,1.45333188,1.3919986,1.40399859
TSLA,4H,1279647000,1.40266526,1.41199858,1.33733199,1.34733198
TSLA,4H,1279719000,1.38333195,1.38599861,1.30133203,1.35999864
TSLA,4H,1279733400,1.35933197,1.37799862,1.33399866,1.34333199
TSLA,4H,1279805400,1.37333196,1.41399858,1.36133197,1.40799859
TSLA,4H,1279819800,1.40999859,1.40999859,1.38866527,1.3979986
TSLA,4H,1279891800,1.41733191,1.43666523,1.41666525,1.41666525
TSLA,4H,1279906200,1.41799858,1.42333191,1.40999859,1.41799858
TSLA,4H,1280151000,1.42333191,1.4333319,1.38466528,1.40333193
TSLA,4H,1280165400,1.39933193,1.41466525,1.35666531,1.3959986
TSLA,4H,1280237400,1.3939986,1.41099858,1.35066531,1.36799863
TSLA,4H,1280251800,1.36799863,1.37333196,1.36599863,1.3666653
TSLA,4H,1280323800,1.37266529,1.39266527,1.37066529,1.38133195
TSLA,4H,1280338200,1.38266528,1.38733194,1.37733195,1.37866528
TSLA,4H,1280410200,1.37999862,1.38666528,1.333332,1.33799866
TSLA,4H,1280424600,1.33733199,1.35533197,1.333332,1.35333198
TSLA,4H,1280496600,1.34666532,1.35666531,1.30666536,1.31466535
TSLA,4H,1280511000,1.31399868,1.329332,1.31333202,1.32466534
TSLA,4H,1280755800,1.35999864,1.38266528,1.35999864,1.37866528
TSLA,4H,1280770200,1.37866528,1.39733193,1.37666529,1.38799861
TSLA,4H,1280842200,1.39466527,1.45199854,1.38866527,1.43266523
TSLA,4H,1280856600,1.43066523,1.4626652,1.43066523,1.46199853
TSLA,4H,1280928600,1.45666521,1.47666519,1.38999861,1.41733191
TSLA,4H,1280943000,1.41066525,1.4333319,1.40333193,1.41066525
TSLA,4H,1281015000,1.41933191,1.41933191,1.33999866,1.34999865
TSLA,4H,1281029400,1.34733198,1.37133196,1.34599865,1.35933197
TSLA,4H,1281101400,1.33466533,1.33466533,1.30399869,1.31266535
TSLA,4H,1281115800,1.31399868,1.31466535,1.30733202,1.30733202
TSLA,4H,1281360600,1.31999868,1.325332,1.2979987,1.30733202
TSLA,4H,1281375000,1.30999869,1.31133202,1.29933203,1.30399869
TSLA,4H,1281447000,1.28199871,1.30666536,1.25466541,1.26133207
TSLA,4H,1281461400,1.2606654,1.27666539,1.25933207,1.26799873
TSLA,4H,1281533400,1.23666543,1.24133209,1.20333213,1.20333213
TSLA,4H,1281547800,1.20133213,1.20699879,1.19066547,1.19066547
TSLA,4H,1281619800,1.17799882,1.17799882,1.15933217,1.17399882
TSLA,4H,1281634200,1.16866549,1.17133216,1.1666655,1.1666655
TSLA,4H,1281706200,1.17999882,1.21433212,1.17999882,1.20999879
TSLA,4H,1281720600,1.21933211,1.22666544,1.1999988,1.21799878
TSLA,4H,1281965400,1.22199877,1.24799875,1.22199877,1.24466542
TSLA,4H,1281979800,1.24599875,1.25199874,1.24533208,1.25199874
TSLA,4H,1282051800,1.27666539,1.29133204,1.25199874,1.28333205
TSLA,4H,1282066200,1.28266538,1.28666538,1.27333206,1.27599872
TSLA,4H,1282138200,1.28266538,1.2959987,1.25066541,1.25333208
TSLA,4H,1282152600,1.25266541,1.25533207,1.24066542,1.24933208
TSLA,4H,1282224600,1.24533208,1.27999872,1.22333211,1.26133207
TSLA,4H,1282239000,1.27533205,1.27933205,1.24799875,1.25133208
TSLA,4H,1282311000,1.24066542,1.27333206,1.23933209,1.27333206
TSLA,4H,1282325400,1.26999873,1.27199872,1.2666654,1.27066539
TSLA,4H,1282570200,1.26866539,1.33199866,1.26866539,1.32799867
TSLA,4H,1282584600,1.327332,1.35599864,1.31599868,1.33866532
TSLA,4H,1282656600,1.29333204,1.30133203,1.2656654,1.28133205
TSLA,4H,1282671000,1.27333206,1.30933202,1.26999873,1.27933205
TSLA,4H,1282743000,1.27666539,1.31266535,1.23999876,1.28733204
TSLA,4H,1282757400,1.2959987,1.331332,1.29333204,1.32666534
TSLA,4H,1282829400,1.31999868,1.34999865,1.30733202,1.31066535
TSLA,4H,1282843800,1.31133202,1.32333201,1.30866535,1.31133202
TSLA,4H,1282915800,1.31999868,1.31999868,1.30933202,1.31333202
TSLA,4H,1282930200,1.31333202,1.31399868,1.30933202,1.31266535
TSLA,4H,1283175000,1.31599868,1.34433198,1.31066535,1.33266533
TSLA,4H,1283189400,1.333332,1.33999866,1.31933201,1.31999868
TSLA,4H,1283261400,1.30266536,1.31533201,1.2979987,1.30199869
TSLA,4H,1283275800,1.30666536,1.30666536,1.29066537,1.30066536
TSLA,4H,1283347800,1.30733202,1.34333199,1.30666536,1.34266532
TSLA,4H,1283362200,1.34333199,1.37066529,1.34199865,1.3646653
TSLA,4H,1283434200,1.35499864,1.39133194,1.35499864,1.39133194
TSLA,4H,1283448600,1.3959986,1.41466525,1.38599861,1.3999986
TSLA,4H,1283520600,1.39833193,1.41999858,1.38466528,1.40333193
TSLA,4H,1283535000,1.40333193,1.41533191,1.39933193,1.40666526
TSLA,4H,1283866200,1.36866529,1.38133195,1.36799863,1.37933195
TSLA,4H,1283880600,1.38133195,1.39866526,1.36866529,1.36866529
TSLA,4H,1283952600,1.38933194,1.39533193,1.38066528,1.38233195
TSLA,4H,1283967000,1.38199861,1.39333194,1.37933195,1.38933194
TSLA,4H,1284039000,1.38999861,1.39666527,1.38133195,1.38666528
TSLA,4H,1284053400,1.38266528,1.38933194,1.37999862,1.38066528
TSLA,4H,1284125400,1.36999863,1.3919986,1.31733201,1.34066532
TSLA,4H,1284139800,1.33199866,1.35333198,1.33199866,1.34466532
TSLA,4H,1284384600,1.38266528,1.39133194,1.36699863,1.37599862
TSLA,4H,1284399000,1.37866528,1.38866527,1.36766529,1.38666528
TSLA,4H,1284471000,1.37333196,1.43466523,1.37066529,1.40599859
TSLA,4H,1284485400,1.40333193,1.41666525,1.40333193,1.41133192
TSLA,4H,1284557400,1.38733194,1.44666522,1.38733194,1.44666522
TSLA,4H,1284571800,1.44599855,1.4666652,1.44599855,1.46599853
TSLA,4H,1284643800,1.47133186,1.54333179,1.40933192,1.41999858
TSLA,4H,1284658200,1.42133191,1.43533189,1.38933194,1.39533193
TSLA,4H,1284730200,1.40666526,1.41999858,1.32066534,1.33733199
TSLA,4H,1284744600,1.33733199,1.35133198,1.33699866,1.34533198
TSLA,4H,1284989400,1.37799862,1.40866525,1.34666532,1.40333193
TSLA,4H,1285003800,1.40599859,1.42133191,1.40133193,1.40133193
TSLA,4H,1285075800,1.38333195,1.4333319,1.38333195,1.40399859
TSLA,4H,1285090200,1.40466526,1.42066524,1.37866528,1.38133195
TSLA,4H,1285162200,1.38599861,1.39533193,1.33399866,1.33466533
TSLA,4H,1285176600,1.33466533,1.34066532,1.32066534,1.32333201
TSLA,4H,1285248600,1.31999868,1.33933199,1.30266536,1.31999868
TSLA,4H,1285263000,1.31999868,1.32066534,1.30066536,1.30133203
TSLA,4H,1285335000,1.33466533,1.34466532,1.331332,1.33199866
TSLA,4H,1285349400,1.331332,1.33999866,1.31066535,1.33999866
TSLA,4H,1285594200,1.35199864,1.38333195,1.33933199,1.36733196
TSLA,4H,1285608600,1.36399863,1.37933195,1.36333197,1.3666653
TSLA,4H,1285680600,1.40866525,1.41866524,1.38466528,1.41399858
TSLA,4H,1285695000,1.41533191,1.43266523,1.41199858,1.42599857
TSLA,4H,1285767000,1.41866524,1.45933187,1.41333192,1.45466521
TSLA,4H,1285781400,1.45333188,1.46799853,1.44933188,1.46133187
TSLA,4H,1285853400,1.4666652,1.47333186,1.40066526,1.40066526
TSLA,4H,1285867800,1.39533193,1.40666526,1.34599865,1.36133197
TSLA,4H,1285939800,1.37466529,1.38066528,1.35399864,1.37333196
TSLA,4H,1285954200,1.37333196,1.37866528,1.3666653,1.37266529
