symbol,timeframe,time,open,high,low,close
GOOGL,1M,1091453400,2.502675,2.839752,2.401327,2.561732
GOOGL,1M,1094045400,2.56999,3.378774,2.475899,3.243143
GOOGL,1M,1096637400,3.269168,5.003599,3.225626,4.770623
GOOGL,1M,1099319400,4.842192,5.044889,4.036662,4.553913
GOOGL,1M,1101911400,4.556916,5.001847,4.215835,4.824425
GOOGL,1M,1104762600,4.939787,5.137479,4.411525,4.895244
GOOGL,1M,1107268200,4.864214,5.425257,4.529389,4.704309
GOOGL,1M,1109687400,4.73684,4.750854,4.318435,4.517127
GOOGL,1M,1112365800,4.540901,5.62395,4.500361,5.505335
GOOGL,1M,1115040600,5.556635,6.966749,5.51059,6.938474
GOOGL,1M,1117632600,7.083115,7.738749,6.692233,7.360881
GOOGL,1M,1120224600,7.384158,7.952708,7.181709,7.200978
GOOGL,1M,1122903000,7.20999,7.500267,6.840381,7.156935
GOOGL,1M,1125581400,7.154681,8.031532,7.131911,7.919173
GOOGL,1M,1128346200,7.848353,9.377838,7.274176,9.312522
GOOGL,1M,1130855400,9.30552,10.791457,9.234199,10.132634
GOOGL,1M,1133447400,10.237423,11.16607,9.984926,10.381563
GOOGL,1M,1136298600,10.573247,11.889274,9.878072,10.826996
GOOGL,1M,1138804200,9.74419,10.172358,8.453944,9.074297
GOOGL,1M,1141223400,9.222939,9.984676,8.296791,9.759458
GOOGL,1M,1144071000,9.747697,11.278929,9.707656,10.458634
GOOGL,1M,1146490200,10.471897,10.49617,9.022996,9.304518
GOOGL,1M,1149168600,9.347559,10.493421,9.299014,10.493421
GOOGL,1M,1151933400,10.511187,10.707624,9.451407,9.674378
GOOGL,1M,1154439000,9.637092,9.759458,9.092814,9.47243
GOOGL,1M,1157117400,9.534117,10.477402,9.427135,10.057244
GOOGL,1M,1159795800,10.057244,12.310929,9.964405,11.9213
GOOGL,1M,1162391400,11.980482,12.83744,11.637816,12.132008
GOOGL,1M,1164983400,12.161285,12.321938,11.319484,11.523166
GOOGL,1M,1167834600,11.661301,12.83744,11.538935,12.549661
GOOGL,1M,1170340200,12.66227,12.662521,11.086745,11.247148
GOOGL,1M,1172759400,11.077483,11.661301,10.935597,11.465108
GOOGL,1M,1175520600,11.455101,12.324443,11.313967,11.795928
GOOGL,1M,1178026200,11.816199,12.731839,11.44634,12.459798
GOOGL,1M,1180704600,12.537149,13.387723,12.451819,13.08018
GOOGL,1M,1183383000,13.149993,13.978048,12.484095,12.762367
GOOGL,1M,1185975000,12.77488,13.183277,12.02315,12.893745
GOOGL,1M,1188912600,12.88799,14.308611,12.784386,14.195507
GOOGL,1M,1191245400,14.263071,17.692145,14.254066,17.692145
GOOGL,1M,1193923800,17.586794,18.69912,15.415439,17.341805
GOOGL,1M,1196692200,17.292007,18.137578,16.328323,17.303768
GOOGL,1M,1199284200,17.338555,17.451164,12.987586,14.121186
GOOGL,1M,1201876200,13.229568,13.539121,11.182089,11.790924
GOOGL,1M,1204554600,11.799184,11.829463,10.312746,11.022431
GOOGL,1M,1207056600,11.204357,14.635686,11.035694,14.371178
GOOGL,1M,1209648600,14.471776,15.075858,13.458293,14.659207
GOOGL,1M,1212413400,14.576626,14.715261,12.889743,13.173264
GOOGL,1M,1214919000,13.002102,13.905473,11.651306,11.855238
GOOGL,1M,1217597400,11.824209,12.778881,11.558699,11.593486
GOOGL,1M,1220362200,11.930812,12.066191,9.526981,10.022713
GOOGL,1M,1222867800,10.288718,10.434611,7.743502,8.992717
GOOGL,1M,1225722600,8.948173,9.318032,6.188497,7.331103
GOOGL,1M,1228141800,7.17395,8.24549,6.57087,7.698708
GOOGL,1M,1230906600,7.722474,8.816796,7.075607,8.47146
GOOGL,1M,1233585000,8.365358,9.534239,8.246743,8.457946
GOOGL,1M,1236004200,8.341335,8.987707,7.243268,8.709942
GOOGL,1M,1238592600,8.602837,10.103541,8.523513,9.908852
GOOGL,1M,1241184600,9.88533,10.440941,9.626577,10.440867
GOOGL,1M,1243863000,10.478404,11.19435,10.056999,10.549976
