symbol,timeframe,time,open,high,low,close
GOOGL,1W,1092663000,2.502675,2.729645,2.401327,2.710377
GOOGL,1W,1093267800,2.773688,2.839752,2.591762,2.656324
GOOGL,1W,1093872600,2.639808,2.639808,2.475899,2.502675
GOOGL,1W,1094563800,2.527699,2.666584,2.492666,2.635804
GOOGL,1W,1095082200,2.674592,2.940099,2.664082,2.940099
GOOGL,1W,1095687000,2.926586,3.10551,2.922082,2.998656
GOOGL,1W,1096291800,2.991899,3.378774,2.947857,3.317715
GOOGL,1W,1096896600,3.398794,3.500392,3.309207,3.44659
GOOGL,1W,1097501400,3.428572,3.641028,3.338235,3.606245
GOOGL,1W,1098106200,3.583473,4.508619,3.493386,4.314931
GOOGL,1W,1098711000,4.411275,5.003599,4.317934,4.770623
GOOGL,1W,1099319400,4.842192,5.044889,4.217837,4.237857
GOOGL,1W,1099924200,4.277395,4.749603,4.135758,4.554414
GOOGL,1W,1100529000,4.510621,4.712567,4.147269,4.239108
GOOGL,1W,1101133800,4.220215,4.505116,4.036662,4.4891
GOOGL,1W,1101738600,4.513374,4.579438,4.442054,4.514374
GOOGL,1W,1102343400,4.482594,4.521882,4.215835,4.295412
GOOGL,1W,1102948200,4.308425,4.521632,4.240359,4.506367
GOOGL,1W,1103553000,4.552662,4.719574,4.55116,4.702056
GOOGL,1W,1104157800,4.733337,5.001847,4.732086,4.824425
GOOGL,1W,1104762600,4.939787,5.095938,4.697552,4.850951
GOOGL,1W,1105367400,4.867217,5.0051,4.76712,5.004099
GOOGL,1W,1106058600,5.027122,5.137479,4.707562,4.711566
GOOGL,1W,1106577000,4.721826,4.872221,4.411525,4.763116
GOOGL,1W,1107181800,4.851451,5.425257,4.770373,5.113956
GOOGL,1W,1107786600,5.136477,5.165005,4.635742,4.689544
GOOGL,1W,1108391400,4.576685,5.000846,4.529389,4.95355
GOOGL,1W,1109082600,4.921519,4.977323,4.560169,4.651257
GOOGL,1W,1109601000,4.65451,4.751354,4.61222,4.652008
GOOGL,1W,1110205800,4.692547,4.750854,4.433046,4.449312
GOOGL,1W,1110810600,4.462575,4.514374,4.318435,4.505366
GOOGL,1W,1111415400,4.488099,4.558668,4.435548,4.485597
GOOGL,1W,1112020200,4.546405,4.624481,4.445308,4.505366
GOOGL,1W,1112621400,4.503114,4.882231,4.500361,4.805907
GOOGL,1W,1113226200,4.831932,4.874724,4.620978,4.629486
GOOGL,1W,1113831000,4.628486,5.605432,4.5917,5.400483
GOOGL,1W,1114435800,5.447779,5.62395,5.423756,5.505335
GOOGL,1W,1115040600,5.556635,5.752575,5.51059,5.706029
GOOGL,1W,1115645400,5.705529,5.811382,5.623449,5.736559
GOOGL,1W,1116250200,5.747569,6.04761,5.719793,6.046109
GOOGL,1W,1116855000,6.086398,6.657703,6.073636,6.656451
GOOGL,1W,1117546200,6.742282,7.32935,6.740785,7.013297
GOOGL,1W,1118064600,7.06585,7.497017,6.956742,7.069351
GOOGL,1W,1118669400,7.002287,7.11164,6.692233,7.014299
GOOGL,1W,1119274200,6.908947,7.457226,6.799839,7.438458
GOOGL,1W,1119879000,7.482251,7.738749,7.237513,7.288313
GOOGL,1W,1120570200,7.309586,7.447219,7.219747,7.412933
GOOGL,1W,1121088600,7.417185,7.676189,7.280303,7.537052
GOOGL,1W,1121693400,7.507275,7.952708,7.415438,7.567331
GOOGL,1W,1122298200,7.56708,7.589606,7.181709,7.200978
GOOGL,1W,1122903000,7.20999,7.500267,7.209489,7.315842
GOOGL,1W,1123507800,7.347122,7.398417,7.022308,7.250049
GOOGL,1W,1124112600,7.252029,7.32635,6.881669,7.00679
GOOGL,1W,1124717400,7.033818,7.132412,6.840381,7.096379
