symbol,timeframe,time,open,high,low,close
GOOGL,4H,1509643800,52.0535,52.27,51.9725,52.1275
GOOGL,4H,1509715800,51.92825,52.398,51.8875,52.3245
GOOGL,4H,1509730200,52.369,52.533,52.3185,52.48
GOOGL,4H,1509978600,52.365,52.6245,52.2465,52.3535
GOOGL,4H,1509993000,52.312,52.415,52.114,52.114
GOOGL,4H,1510065000,52.3465,52.5615,52.1555,52.489
GOOGL,4H,1510079400,52.444,52.665,52.4225,52.6155
GOOGL,4H,1510151400,52.5155,52.983,52.3685,52.9135
GOOGL,4H,1510165800,52.901,53.129,52.8275,52.9155
GOOGL,4H,1510237800,52.4395,52.4395,51.8045,51.9405
GOOGL,4H,1510252200,51.963,52.4025,51.9285,52.3445
GOOGL,4H,1510324200,52.2,52.2525,52.067,52.1855
GOOGL,4H,1510338600,52.2395,52.3125,52.15,52.181
GOOGL,4H,1510583400,52.02475,52.422,52.001,52.25
GOOGL,4H,1510597800,52.2185,52.249,51.994,52.0205
GOOGL,4H,1510669800,51.8925,52.0755,51.474,51.8955
GOOGL,4H,1510684200,51.9815,52.092,51.9565,52.0815
GOOGL,4H,1510756200,51.75,51.955,51.5505,51.738
GOOGL,4H,1510770600,51.738,51.9465,51.67975,51.835
GOOGL,4H,1510842600,51.9945,52.5875,51.9945,52.452
GOOGL,4H,1510857000,52.4355,52.499,52.399,52.414
GOOGL,4H,1510929000,52.4505,52.4505,52.102,52.126
GOOGL,4H,1510943400,52.1225,52.1265,51.691,51.8085
GOOGL,4H,1511188200,51.8275,51.92575,51.652,51.7815
GOOGL,4H,1511202600,51.7665,51.816,51.715,51.748
GOOGL,4H,1511274600,52.0485,52.3585,52.046,52.35
GOOGL,4H,1511289000,52.394,52.516,52.377,52.509
GOOGL,4H,1511361000,52.5635,52.5995,52.378,52.5035
GOOGL,4H,1511375400,52.526,52.75,52.525,52.617
GOOGL,4H,1511533800,52.6495,52.999,52.6255,52.837
GOOGL,4H,1511793000,52.8505,53.4565,52.7515,53.4415
GOOGL,4H,1511807400,53.4575,53.651,53.3515,53.6045
GOOGL,4H,1511879400,53.697,53.9675,53.2,53.217
GOOGL,4H,1511893800,53.2625,53.2935,52.755,53.1405
GOOGL,4H,1511965800,52.919,52.919,51.502,51.917
GOOGL,4H,1511980200,51.851,51.9885,51.6035,51.854
GOOGL,4H,1512052200,52.0025,52.181,51.558,51.7505
GOOGL,4H,1512066600,51.742,51.847,51.551,51.7045
GOOGL,4H,1512138600,51.568,51.8165,50.9145,51.1905
GOOGL,4H,1512153000,51.2635,51.2855,51,51.255
GOOGL,4H,1512397800,51.4085,51.55425,50.54,51.137
GOOGL,4H,1512412200,51.0665,51.1825,50.4695,50.577
GOOGL,4H,1512484200,50.3215,51.8175,50.1465,51.3
GOOGL,4H,1512498600,51.27225,51.2875,50.901,51.009
GOOGL,4H,1512570600,50.7655,51.7065,50.7655,51.63
GOOGL,4H,1512585000,51.713,51.952,51.6085,51.6605
GOOGL,4H,1512657000,51.8805,52.408,51.8105,52.3355
GOOGL,4H,1512671400,52.3625,52.446,52.1435,52.254
GOOGL,4H,1512743400,52.6025,52.8145,52.42225,52.607
GOOGL,4H,1512757800,52.5975,52.5975,52.3055,52.434
GOOGL,4H,1513002600,52.5145,52.7245,52.206,52.631
GOOGL,4H,1513017000,52.68,52.7875,52.554,52.5685
GOOGL,4H,1513089000,52.511,53.102,52.303,52.8845
GOOGL,4H,1513103400,52.808,52.8375,52.384,52.42725
GOOGL,4H,1513175400,52.612,52.7145,52.3905,52.511
GOOGL,4H,1513189800,52.456,52.7455,52.456,52.5755
GOOGL,4H,1513261800,52.7155,53.3325,52.7155,52.963
GOOGL,4H,1513276200,53.008,53.097,52.8755,52.924
GOOGL,4H,1513348200,53.2235,53.662,53.03375,53.5005
GOOGL,4H,1513362600,53.5275,53.7555,53.356,53.5205
GOOGL,4H,1513607400,53.8765,54.243,53.541,54.1385
GOOGL,4H,1513621800,54.129,54.307,54.127,54.2605
GOOGL,4H,1513693800,54.1145,54.236,53.648,53.789
GOOGL,4H,1513708200,53.824,54.0315,53.788,53.957
GOOGL,4H,1513780200,54.0115,54.0295,53.4415,53.669
GOOGL,4H,1513794600,53.662,53.7285,53.6025,53.6975
GOOGL,4H,1513866600,53.719,53.8605,53.46,53.8425
GOOGL,4H,1513881000,53.839,53.839,53.5,53.5595
GOOGL,4H,1513953000,53.5275,53.5815,53.3875,53.461
GOOGL,4H,1513967400,53.452,53.4805,53.4165,53.454
GOOGL,4H,1514298600,53.356,53.4,52.9495,53.255
GOOGL,4H,1514313000,53.258,53.2875,53.14,53.284
GOOGL,4H,1514385000,53.353,53.3545,53.0045,53.097
GOOGL,4H,1514399400,53.107,53.107,52.925,52.957
GOOGL,4H,1514471400,53.0825,53.232,52.8905,52.8905
GOOGL,4H,1514485800,52.858,52.87,52.6775,52.781
GOOGL,4H,1514557800,52.7615,52.815,52.6765,52.7185
GOOGL,4H,1514572200,52.7235,52.9025,52.6465,52.662
GOOGL,4H,1514903400,52.8115,53.705,52.69825,53.6845
