symbol,timeframe,time,open,high,low,close
MSFT,1D,1347975000,31.10001,31.21001,31.03,31.175
MSFT,1D,1348061400,31.09,31.19,31.03999,31.052
MSFT,1D,1348147800,30.95,31.48,30.91,31.45
MSFT,1D,1348234200,31.42999,31.61,31.09,31.19
MSFT,1D,1348493400,31,31.07001,30.64,30.78
MSFT,1D,1348579800,30.95,31,30.36,30.39
MSFT,1D,1348666200,30.28,30.60001,30.03999,30.16499
MSFT,1D,1348752600,30.17,30.39999,29.89,30.16
MSFT,1D,1348839000,30.17999,30.25999,29.74001,29.75999
MSFT,1D,1349098200,29.81,29.98,29.42,29.49001
MSFT,1D,1349184600,29.67999,29.89,29.5,29.66
MSFT,1D,1349271000,29.75,29.99001,29.67,29.86
MSFT,1D,1349357400,29.97,30.03,29.57001,30.03
MSFT,1D,1349443800,30.23,30.25,29.74001,29.85001
MSFT,1D,1349703000,29.64,29.92,29.55,29.78
MSFT,1D,1349789400,29.67999,29.74001,29.17999,29.28
MSFT,1D,1349875800,29.14999,29.31,28.95,28.98
MSFT,1D,1349962200,29.215,29.25,28.87,28.95
MSFT,1D,1350048600,28.97,29.32001,28.8,29.2
MSFT,1D,1350307800,29.37,29.72,29.25,29.50999
MSFT,1D,1350394200,29.45,29.74001,29.32001,29.49001
MSFT,1D,1350480600,29.3,29.64,29.09,29.59
MSFT,1D,1350567000,29.64999,29.73,29.25999,29.495
MSFT,1D,1350653400,29.05,29.08,28.5,28.64
MSFT,1D,1350912600,28.73,28.83,27.83,28
MSFT,1D,1350999000,27.765,28.2,27.75999,28.047
MSFT,1D,1351085400,28.16,28.2,27.87,27.9019
MSFT,1D,1351171800,28.19,28.2,27.86,27.88
MSFT,1D,1351258200,27.86,28.34,27.84,28.21001
MSFT,1D,1351690200,28.55,28.88,28.5,28.53999
MSFT,1D,1351776600,28.84,29.56,28.82001,29.515
MSFT,1D,1351863000,29.59,29.77,29.33,29.4998
MSFT,1D,1352125800,29.62,29.74001,29.33,29.63
MSFT,1D,1352212200,29.82001,30.2,29.61,29.86
MSFT,1D,1352298600,29.53,29.825,29.05,29.08
MSFT,1D,1352385000,29.12,29.37,28.8,28.81
MSFT,1D,1352471400,28.88,29.19,28.80499,28.83
MSFT,1D,1352730600,28.94,29.00999,28.21001,28.22
MSFT,1D,1352817000,27.02,27.3,26.75,27.08949
MSFT,1D,1352903400,27.24001,27.28999,26.8,26.84
MSFT,1D,1352989800,26.88,26.97,26.63,26.66071
MSFT,1D,1353076200,26.67,26.7,26.34489,26.5209
MSFT,1D,1353335400,26.8,26.8,26.47,26.72771
MSFT,1D,1353421800,26.75999,26.8,26.46001,26.71001
MSFT,1D,1353508200,26.71001,27.1666,26.67,26.95
MSFT,1D,1353681000,27.23,27.77,27.2,27.7
MSFT,1D,1353940200,27.53999,27.58,27.17,27.38499
MSFT,1D,1354026600,27.35989,27.38,27.0424,27.08
MSFT,1D,1354113000,27.00999,27.39,26.77,27.36
MSFT,1D,1354199400,27.11,27.36,26.86,26.95
MSFT,1D,1354285800,27.05,27.13,26.49001,26.61501
MSFT,1D,1354545000,26.78,26.82001,26.39999,26.4294
MSFT,1D,1354631400,26.5,26.63,26.34,26.37
MSFT,1D,1354717800,26.38,26.92999,26.25999,26.67
MSFT,1D,1354804200,26.81,26.98,26.61,26.72501
MSFT,1D,1354890600,26.82001,26.82001,26.37,26.455
MSFT,1D,1355149800,26.56,26.97,26.52,26.94
MSFT,1D,1355236200,27.05,27.49001,27.05,27.32001
MSFT,1D,1355322600,27.53,27.62,27.08,27.24001
MSFT,1D,1355409000,27.32001,27.52,26.95,27.11
MSFT,1D,1355495400,27.11,27.13,26.7,26.81
MSFT,1D,1355754600,26.78999,27.215,26.67999,27.095
MSFT,1D,1355841000,27.25,27.63,27.14,27.56
MSFT,1D,1355927400,27.69,27.73,27.25,27.31
MSFT,1D,1356013800,27.36,27.67999,27.14999,27.67999
MSFT,1D,1356100200,27.45,27.49001,27,27.45
MSFT,1D,1356359400,27.2,27.25,27,27.06
MSFT,1D,1356532200,27.03,27.2,26.7,26.86
MSFT,1D,1356618600,26.89,27.09,26.57001,26.96001
MSFT,1D,1356705000,26.71001,26.89999,26.55,26.55
MSFT,1D,1356964200,26.59,26.77,26.37,26.7097
MSFT,1D,1357137000,27.25,27.73,27.1499,27.62
MSFT,1D,1357223400,27.63,27.64999,27.16,27.25
MSFT,1D,1357309800,27.27,27.34,26.73,26.74001
MSFT,1D,1357569000,26.77,26.88,26.64,26.69
MSFT,1D,1357655400,26.75,26.78999,26.46001,26.55
MSFT,1D,1357741800,26.72,26.75,26.56,26.7
MSFT,1D,1357828200,26.64999,26.98,26.28999,26.46001
MSFT,1D,1357914600,26.49001,26.92999,26.28,26.83
MSFT,1D,1358173800,26.89999,27.08,26.75999,26.89
MSFT,1D,1358260200,26.83,27.28999,26.825,27.21001
MSFT,1D,1358346600,27.14999,27.23,27.00999,27.03999
MSFT,1D,1358433000,27.19,27.47,27.06,27.25
MSFT,1D,1358519400,27.10001,27.28999,27.03999,27.25
MSFT,1D,1358865000,27.3,27.45,27,27.14999
MSFT,1D,1358951400,27.2,27.63499,27.2,27.61
MSFT,1D,1359037800,27.7,28.07001,27.47,27.63
MSFT,1D,1359124200,27.58,28.23,27.39,27.88
MSFT,1D,1359383400,28.00999,28.22501,27.75999,27.911
MSFT,1D,1359469800,27.82001,28.13,27.60001,28.00999
MSFT,1D,1359556200,28.00999,28.19,27.75999,27.85001
MSFT,1D,1359642600,27.78999,27.97,27.39999,27.45
MSFT,1D,1359729000,27.67,28.05,27.55,27.92999
MSFT,1D,1359988200,27.87,28.02,27.42,27.44
MSFT,1D,1360074600,27.62,27.66,27.36,27.495
MSFT,1D,1360161000,27.3799,27.53999,27.25,27.34
MSFT,1D,1360247400,27.35001,27.39,27.10001,27.283
MSFT,1D,1360333800,27.35001,27.71001,27.31,27.55
MSFT,1D,1360593000,27.64999,27.92,27.5,27.86
MSFT,1D,1360679400,27.88,28,27.75,27.88
MSFT,1D,1360765800,27.92999,28.11,27.88,28.03
MSFT,1D,1360852200,27.92,28.06,27.87,28.03999
MSFT,1D,1360938600,28.03999,28.16,27.875,28.00999
MSFT,1D,1361284200,27.8801,28.09,27.8,28.045
MSFT,1D,1361370600,28.13,28.2,27.83,27.87
MSFT,1D,1361457000,27.74001,27.74001,27.23,27.49001
MSFT,1D,1361543400,27.67999,27.75999,27.48,27.75999
MSFT,1D,1361802600,27.97,28.05,27.37,27.37
MSFT,1D,1361889000,27.38,27.60001,27.34,27.37
MSFT,1D,1361975400,27.42,28,27.33,27.81
MSFT,1D,1362061800,27.88,27.97,27.74001,27.8
MSFT,1D,1362148200,27.72,27.98,27.52,27.95
MSFT,1D,1362407400,27.85001,28.14999,27.7,28.14999
MSFT,1D,1362493800,28.28999,28.53999,28.16,28.35001
MSFT,1D,1362580200,28.21001,28.23,27.78,28.09
MSFT,1D,1362666600,28.11,28.28,28.005,28.14
MSFT,1D,1362753000,28.25,28.33,27.96001,28
MSFT,1D,1363008600,27.94,27.97,27.67,27.87
MSFT,1D,1363095000,27.84,27.95,27.64,27.91
MSFT,1D,1363181400,27.87,28.02,27.75,27.91499
MSFT,1D,1363267800,28,28.16,27.92999,28.13499
MSFT,1D,1363354200,28.03,28.16,27.98,28.035
MSFT,1D,1363613400,27.88,28.28,27.81,28.10001
MSFT,1D,1363699800,28.12,28.22,28.03,28.17999
MSFT,1D,1363786200,28.34,28.49001,28.17999,28.315
MSFT,1D,1363872600,28.11,28.36,28.05,28.11
MSFT,1D,1363959000,28.19,28.33791,28.10001,28.25
MSFT,1D,1364218200,28.3,28.35001,27.96001,28.16
MSFT,1D,1364304600,28.24001,28.34,28.11,28.155
MSFT,1D,1364391000,28.14,28.44501,28.08,28.37
MSFT,1D,1364477400,28.32001,28.66,28.25999,28.605
MSFT,1D,1364823000,28.64,28.66,28.36,28.61
MSFT,1D,1364909400,28.59,28.85001,28.52,28.8
MSFT,1D,1364995800,28.75,28.95,28.53999,28.56
MSFT,1D,1365082200,28.39,28.61,28.27,28.595
MSFT,1D,1365168600,28.22,28.78,28.11,28.7
MSFT,1D,1365427800,28.73,28.73,28.47,28.59
MSFT,1D,1365514200,28.73,29.815,28.67999,29.61
MSFT,1D,1365600600,29.57001,30.32001,29.52,30.28
MSFT,1D,1365687000,29.10001,29.2,28.73,28.935
MSFT,1D,1365773400,28.85001,29.02,28.66,28.78999
MSFT,1D,1366032600,28.64999,28.98,28.50999,28.69
MSFT,1D,1366119000,28.89999,29.14,28.69501,28.97
MSFT,1D,1366205400,28.85001,29.03999,28.60001,28.825
MSFT,1D,1366291800,28.95,28.98,28.5,28.78999
MSFT,1D,1366378200,29.62,30.24001,29.61,29.765
MSFT,1D,1366637400,30.3,31.17999,30.27,30.83
MSFT,1D,1366723800,30.7,30.89999,30.38,30.60001
MSFT,1D,1366810200,30.62,31.92,30.60001,31.75999
MSFT,1D,1366896600,31.71001,32.84,31.53999,31.94
MSFT,1D,1366983000,31.89999,31.98,31.45,31.78999
MSFT,1D,1367242200,31.8,32.67999,31.77,32.61
MSFT,1D,1367328600,32.56,33.11,32.28,33.10001
MSFT,1D,1367415000,32.92999,33.08,32.60001,32.72
MSFT,1D,1367501400,32.63,33.17,32.39,33.16
MSFT,1D,1367587800,33.23,33.52,33.08,33.49001
MSFT,1D,1367847000,33.42,33.91,33.25,33.75
MSFT,1D,1367933400,33.64999,33.78999,33.24001,33.31
MSFT,1D,1368019800,33.0667,33.24001,32.64999,32.99001
MSFT,1D,1368106200,32.85001,33,32.59,32.66
MSFT,1D,1368192600,32.67,32.72,32.32001,32.69
MSFT,1D,1368451800,32.61,33.07001,32.55,33.03
MSFT,1D,1368538200,32.86011,33.53,32.8,33.53
MSFT,1D,1368624600,33.45,33.89999,33.42999,33.845
MSFT,1D,1368711000,33.64,34.14999,33.55,34.08
MSFT,1D,1368797400,34.1301,34.87,34.10001,34.87
MSFT,1D,1369056600,34.73,35.095,34.67999,35.08
MSFT,1D,1369143000,35.10001,35.27251,34.72,34.85001
MSFT,1D,1369229400,34.78999,34.84,34.36,34.61
MSFT,1D,1369315800,34.23,34.55,33.89999,34.14999
MSFT,1D,1369402200,33.92,34.28,33.89999,34.269
MSFT,1D,1369747800,34.42,35.17999,34.41,35.02
MSFT,1D,1369834200,34.74001,35.02,34.57001,34.88
MSFT,1D,1369920600,34.85001,35.25,34.813,35.03
