symbol,timeframe,time,open,high,low,close
MSFT,1M,510244200,0.097223,0.1033,0.088543,0.095487
MSFT,1M,512749800,0.095487,0.121963,0.092883,0.11198
MSFT,1M,515338200,0.11198,0.123265,0.10764,0.120661
MSFT,1M,518103000,0.120661,0.121529,0.102432,0.106772
MSFT,1M,520608600,0.106772,0.109376,0.090279,0.098959
MSFT,1M,523287000,0.098959,0.106772,0.094619,0.098959
MSFT,1M,525965400,0.098959,0.109376,0.091147,0.098091
MSFT,1M,528557400,0.098091,0.139758,0.095487,0.13455
MSFT,1M,531412200,0.135418,0.177953,0.135418,0.172745
MSFT,1M,533831400,0.172745,0.173613,0.15712,0.167536
MSFT,1M,536509800,0.167536,0.2691,0.164932,0.253909
MSFT,1M,539274600,0.253909,0.276044,0.230905,0.266496
MSFT,1M,541693800,0.266496,0.343753,0.255211,0.335941
MSFT,1M,544285800,0.335941,0.378476,0.314239,0.361115
MSFT,1M,546874200,0.361115,0.445317,0.356774,0.400178
MSFT,1M,549552600,0.400178,0.400178,0.334205,0.35417
MSFT,1M,552144600,0.35417,0.367191,0.307295,0.326392
MSFT,1M,554995800,0.326392,0.421011,0.316843,0.412331
MSFT,1M,557501400,0.412331,0.462678,0.368059,0.460074
MSFT,1M,560093400,0.460074,0.550353,0.258683,0.34549
MSFT,1M,562861800,0.34549,0.361115,0.281253,0.310767
MSFT,1M,565367400,0.310767,0.388893,0.277781,0.37674
MSFT,1M,568045800,0.378476,0.428824,0.364587,0.387157
MSFT,1M,570724200,0.387157,0.421879,0.34549,0.412331
MSFT,1M,573229800,0.412331,0.454866,0.37674,0.392365
MSFT,1M,575908200,0.392365,0.40799,0.366323,0.378476
MSFT,1M,578583000,0.378476,0.411462,0.371531,0.402782
MSFT,1M,581175000,0.402782,0.468755,0.401046,0.465282
MSFT,1M,583767000,0.465282,0.489588,0.394101,0.413199
MSFT,1M,586445400,0.413199,0.416671,0.331601,0.347226
MSFT,1M,589123800,0.34549,0.383684,0.333337,0.362851
MSFT,1M,591888600,0.359379,0.375004,0.331601,0.340281
MSFT,1M,594397800,0.340281,0.350698,0.314239,0.328128
MSFT,1M,596989800,0.328128,0.37674,0.326392,0.369795
MSFT,1M,599754600,0.369795,0.418407,0.348962,0.414067
MSFT,1M,602346600,0.414067,0.449657,0.406254,0.413199
MSFT,1M,604765800,0.413199,0.432296,0.317712,0.346358
MSFT,1M,607613400,0.346358,0.392365,0.329864,0.388025
MSFT,1M,610032600,0.388025,0.423615,0.35417,0.420143
MSFT,1M,612711000,0.420143,0.421879,0.355906,0.368059
MSFT,1M,615475800,0.368927,0.395837,0.357642,0.380212
MSFT,1M,617981400,0.380212,0.420143,0.375004,0.40799
MSFT,1M,620659800,0.40799,0.482644,0.401046,0.475699
MSFT,1M,623338200,0.475699,0.597228,0.472227,0.567714
MSFT,1M,625933800,0.567714,0.619798,0.527783,0.604173
MSFT,1M,628525800,0.604173,0.612853,0.520839,0.604173
MSFT,1M,631204200,0.604173,0.666673,0.583339,0.642368
MSFT,1M,633882600,0.642368,0.697924,0.640631,0.685771
MSFT,1M,636301800,0.685771,0.812508,0.684035,0.769105
MSFT,1M,639063000,0.769105,0.875009,0.758688,0.805564
MSFT,1M,641568600,0.805564,1.093761,0.788202,1.013899
MSFT,1M,644247000,1.013899,1.079872,0.986121,1.055566
MSFT,1M,646925400,1.055566,1.121539,0.913204,0.92362
MSFT,1M,649517400,0.92362,0.934037,0.704868,0.854175
MSFT,1M,652368600,0.854175,0.881953,0.756952,0.875009
MSFT,1M,654787800,0.895842,0.951398,0.743063,0.885426
MSFT,1M,657469800,0.885426,1.03126,0.871536,1.003482
MSFT,1M,660234600,1.010427,1.065983,0.979176,1.045149
MSFT,1M,662740200,1.045149,1.381958,1.013899,1.362861
MSFT,1M,665418600,1.362861,1.513904,1.350708,1.440987
MSFT,1M,667837800,1.440987,1.56946,1.29168,1.473973
MSFT,1M,670516200,1.473973,1.631961,1.333347,1.375014
MSFT,1M,673104600,1.375014,1.562516,1.342027,1.524321
MSFT,1M,675955800,1.524321,1.593766,1.35418,1.419278
MSFT,1M,678375000,1.419278,1.541674,1.260423,1.531258
MSFT,1M,681053400,1.531258,1.807301,1.494799,1.776051
MSFT,1M,683818200,1.770842,1.875009,1.666675,1.854176
MSFT,1M,686323800,1.854176,1.984385,1.796884,1.955739
MSFT,1M,689005800,1.953135,2.119802,1.890634,2.026052
MSFT,1M,691684200,2.005218,2.333345,2.00001,2.31772
MSFT,1M,694276200,2.307303,2.776056,2.281261,2.505221
MSFT,1M,697127400,2.463554,2.687513,2.354178,2.57293
MSFT,1M,699546600,2.578138,2.713555,2.432304,2.468762
MSFT,1M,702138600,2.442721,2.692722,2.229178,2.296886
MSFT,1M,704727000,2.302095,2.546888,2.276053,2.520846
MSFT,1M,707405400,2.510429,2.593763,2.054688,2.1875
MSFT,1M,709997400,2.195313,2.335938,2.054688,2.273438
MSFT,1M,712848600,2.273438,2.34375,2.125,2.328125
MSFT,1M,715354200,2.3125,2.5625,2.289063,2.515625
MSFT,1M,717946200,2.5,2.820313,2.367188,2.773438
MSFT,1M,720714600,2.78125,2.96875,2.726563,2.910156
MSFT,1M,723220200,2.898438,2.9375,2.664063,2.667969
MSFT,1M,725898600,2.65625,2.9375,2.640625,2.703125
