symbol,timeframe,time,open,high,low,close
TSLA,1H,1635449400,356.8196437,359.24964127,355.90631128,359.04297481
TSLA,1H,1635514200,361.26630592,366.66630053,357.93297592,362.84963768
TSLA,1H,1635517800,362.66630452,364.8963023,362.27630491,363.76630343
TSLA,1H,1635521400,363.47963705,365.99296787,362.88963764,364.26630293
TSLA,1H,1635525000,364.14963638,368.61963191,363.74963678,367.30963322
TSLA,1H,1635528600,367.22296664,367.50963302,364.95963557,365.57296829
TSLA,1H,1635532200,365.53963499,367.33296653,364.33296953,366.862967
TSLA,1H,1635535800,366.71963381,371.73629547,366.70963382,371.42296245
TSLA,1H,1635773400,381.74295214,383.33295055,372.96962757,378.19295569
TSLA,1H,1635777000,378.27962227,387.39961316,377.66628955,387.06961349
TSLA,1H,1635780600,387.03628019,391.64960892,384.9262823,390.04961051
TSLA,1H,1635784200,390.08627714,397.6462696,389.04627818,391.02627621
TSLA,1H,1635787800,390.76627647,392.9696076,387.51627971,388.99961156
TSLA,1H,1635791400,388.91294498,396.99627024,388.70294519,396.99627024
TSLA,1H,1635795000,396.88293702,403.24959733,396.68960388,403.10626414
TSLA,1H,1635859800,386.45128077,402.74959783,381.99961855,400.85293306
TSLA,1H,1635863400,400.70959987,400.70959987,390.9362763,392.44127479
TSLA,1H,1635867000,392.39960817,393.52294038,387.11294678,387.7596128
TSLA,1H,1635870600,387.39627983,390.78294312,384.38294951,388.77961178
TSLA,1H,1635874200,388.38294551,389.49627773,386.38628084,388.30627892
TSLA,1H,1635877800,388.43294546,394.52293938,386.85294704,393.24960732
TSLA,1H,1635881400,393.48627375,396.33293757,389.27961128,390.65960991
TSLA,1H,1635946200,392.44294146,396.78627045,390.30627692,394.91627232
TSLA,1H,1635949800,394.28960628,394.90627233,390.8029431,391.14960942
TSLA,1H,1635953400,391.07294283,391.11294279,384.41628281,390.09961046
TSLA,1H,1635957000,390.23461033,394.33293957,389.39627783,392.44627479
TSLA,1H,1635960600,392.58294132,392.75960781,388.43294546,391.44627579
TSLA,1H,1635964200,391.64294226,402.7462645,390.4646101,399.16293475
TSLA,1H,1635967800,399.72626752,405.11292881,398.49960208,404.33292959
TSLA,1H,1636032600,411.4995891,413.82292011,408.24625901,410.93292299
TSLA,1H,1636036200,410.98625627,414.35625291,409.3229246,409.3229246
TSLA,1H,1636039800,408.91959167,413.18625408,405.66626159,412.8995877
TSLA,1H,1636043400,412.9995876,413.71958688,410.69625656,411.85958874
TSLA,1H,1636047000,411.95625531,412.91625435,409.4895911,412.05292188
TSLA,1H,1636050600,412.1662551,413.3329206,409.12625813,409.44625781
TSLA,1H,1636054200,409.49959109,412.1662551,408.70292522,409.83292409
TSLA,1H,1636119000,409.38292454,412.6662546,402.8462644,410.53292339
TSLA,1H,1636122600,410.47959011,412.95625431,409.58292434,409.58292434
TSLA,1H,1636126200,409.87292405,411.6995889,409.17959141,411.3329226
TSLA,1H,1636129800,411.30458929,413.24958735,406.66626059,407.74292618
TSLA,1H,1636133400,407.73625952,410.35459024,407.73625952,409.57292435
TSLA,1H,1636137000,409.77959081,410.66625659,406.25292767,407.07626018
TSLA,1H,1636140600,407.10959348,408.51959207,405.69959489,407.16292676
TSLA,1H,1636381800,383.22628399,398.95960162,377.77628944,396.69293721
TSLA,1H,1636385400,396.30960426,397.94960263,392.92960764,396.236271
TSLA,1H,1636389000,396.15960441,396.66627057,393.99627324,395.62960494
TSLA,1H,1636392600,395.68627155,397.99960258,395.19960537,395.48960508
TSLA,1H,1636396200,395.75293815,396.33293757,393.05960751,393.30627393
TSLA,1H,1636399800,393.08294082,395.33293857,393.08294082,393.79960677
TSLA,1H,1636403400,393.98627325,394.05960651,386.66628056,387.52961303
TSLA,1H,1636468200,391.19294271,391.19294271,344.9996555,363.99963653
TSLA,1H,1636471800,364.35630284,368.04629915,357.75964276,358.75630843
TSLA,1H,1636475400,358.9863082,359.71630747,344.9996555,349.91965059
TSLA,1H,1636479000,349.21631796,350.78631639,341.29632586,347.85965264
TSLA,1H,1636482600,347.55298628,353.54631363,342.55299128,350.04631713
TSLA,1H,1636486200,349.98965052,350.83298301,341.63965885,341.66632549
TSLA,1H,1636489800,341.33299249,343.89632327,337.22966326,341.16632599
TSLA,1H,1636554600,336.80633035,357.92630926,329.29300452,356.33297752
TSLA,1H,1636558200,356.51631067,359.33297452,354.99964551,355.77964473
TSLA,1H,1636561800,355.6429782,356.92631026,350.29298355,350.29298355
TSLA,1H,1636565400,350.61298323,355.93297792,349.33631784,350.00298384
TSLA,1H,1636569000,349.58631759,353.0096475,343.47965702,343.53965696
TSLA,1H,1636572600,343.56965693,355.52964498,337.50299632,353.83964667
TSLA,1H,1636576200,354.32631285,358.39964212,350.86298298,355.90297795
TSLA,1H,1636641000,367.58963294,367.72629947,351.70631547,356.63631055
TSLA,1H,1636644600,356.8863103,360.60630658,355.40297844,357.36297649
TSLA,1H,1636648200,357.45964306,359.01630817,353.99631318,354.87297897
TSLA,1H,1636651800,354.84631233,357.19964332,352.42631475,353.49631368
TSLA,1H,1636655400,353.3763138,356.23964428,352.12631505,355.47964503
TSLA,1H,1636659000,355.82297802,357.02964349,353.83298001,354.83631234
TSLA,1H,1636662600,355.00631217,355.08631209,353.43631374,354.33631284
TSLA,1H,1636727400,349.16631801,351.45964905,342.69632447,348.82298501
TSLA,1H,1636731000,348.96631821,349.1429847,343.76965673,343.92298991
TSLA,1H,1636734600,343.92298991,344.0329898,339.91632724,342.42965807
TSLA,1H,1636738200,342.37299146,345.34298849,340.45966003,341.8563253
TSLA,1H,1636741800,341.87632528,345.58298825,340.63299319,341.71299211
TSLA,1H,1636745400,341.68299214,343.52965697,340.70299312,342.57965792
TSLA,1H,1636749000,342.72632444,345.15632201,342.43965806,344.45965604
TSLA,1H,1636986600,339.20966128,341.14299268,327.44633969,327.54633959
TSLA,1H,1636990200,327.54633959,331.47300234,326.22634091,329.86967061
TSLA,1H,1636993800,329.86300395,332.79966768,328.33300548,329.56467091
TSLA,1H,1636997400,329.78300403,331.16633598,328.85967162,329.79967068
TSLA,1H,1637001000,329.65633749,329.96633718,327.84967262,328.43300538
TSLA,1H,1637004600,328.43300538,343.90298993,328.29300552,339.36299446
TSLA,1H,1637008200,339.36299446,339.6229942,334.62966585,337.83966265
TSLA,1H,1637073000,334.43633271,352.32964818,334.05966642,349.38965112
TSLA,1H,1637076600,348.79298504,351.5763156,346.81632035,348.25631891
TSLA,1H,1637080200,348.24298559,348.99965151,345.41965508,347.82965267
TSLA,1H,1637083800,347.96965253,351.34631583,346.23632093,349.35965115
TSLA,1H,1637087400,349.35965115,350.97964953,348.17965232,348.3329855
TSLA,1H,1637091000,348.3996521,349.38631779,346.0329878,348.05298578
TSLA,1H,1637094600,347.81631935,352.32964818,347.81631935,351.50298234
TSLA,1H,1637159400,354.66297918,364.98296888,352.07298177,364.13630306
TSLA,1H,1637163000,364.15630304,373.02629418,363.38630381,366.3629675
TSLA,1H,1637166600,366.3629675,367.47963305,361.29963922,362.0196385
TSLA,1H,1637170200,362.36630482,363.64630355,357.4196431,361.95630523
TSLA,1H,1637173800,362.08297177,366.98296688,361.03630615,366.14963438
TSLA,1H,1637177400,366.41963411,367.56963296,361.70963881,362.78963774
TSLA,1H,1637181000,363.03630416,365.68963484,362.98297088,363.30630389
