symbol,timeframe,time,open,high,low,close
TSLA,1M,1275399000,1.266665,2.027945,1.169331,1.588665
TSLA,1M,1277991000,1.666665,1.727998,0.998666,1.329332
TSLA,1M,1280755800,1.366665,1.478665,1.159332,1.298665
TSLA,1M,1283347800,1.307999,1.543998,1.299999,1.360332
TSLA,1M,1285939800,1.379332,1.457999,1.333332,1.455999
TSLA,1M,1288618200,1.462665,2.399998,1.403332,2.355331
TSLA,1M,1291213800,2.391331,2.427998,1.666665,1.775332
TSLA,1M,1294065000,1.789332,1.913999,1.491332,1.606666
TSLA,1M,1296570600,1.620665,1.699332,1.407332,1.592665
TSLA,1M,1298989800,1.603332,1.913999,1.451332,1.849998
TSLA,1M,1301664600,1.829998,1.878664,1.613332,1.839999
TSLA,1M,1304343000,1.839999,2.018665,1.701332,2.009331
TSLA,1M,1306935000,1.999998,2.099998,1.699998,1.941998
TSLA,1M,1309527000,1.937999,2.029331,1.775332,1.877998
TSLA,1M,1312205400,1.911331,1.946665,1.433332,1.649332
TSLA,1M,1314883800,1.643998,1.799332,1.485998,1.625998
TSLA,1M,1317648600,1.663332,1.999998,1.528664,1.957998
TSLA,1M,1320154200,1.892665,2.333331,1.866665,2.182665
TSLA,1M,1322749800,2.171332,2.333331,1.735332,1.903998
TSLA,1M,1325601000,1.929331,1.999998,1.509332,1.937999
TSLA,1M,1328106600,1.937999,2.331331,1.933331,2.227331
TSLA,1M,1330612200,2.233997,2.663331,2.174664,2.482665
TSLA,1M,1333373400,2.488664,2.564637,2.066665,2.208664
TSLA,1M,1335879000,2.208664,2.311997,1.788665,1.966665
TSLA,1M,1338557400,1.901998,2.299998,1.807332,2.085997
TSLA,1M,1341235800,2.089999,2.399998,1.813999,1.827998
TSLA,1M,1343827800,1.865999,2.086665,1.701332,1.901331
TSLA,1M,1346765400,1.901331,2.185331,1.819665,1.951998
TSLA,1M,1349098200,1.966665,2.006665,1.790665,1.875424
TSLA,1M,1351776600,1.883331,2.285997,1.879998,2.254665
TSLA,1M,1354545000,2.259331,2.386664,2.183331,2.257998
TSLA,1M,1357137000,2.333331,2.580665,2.140665,2.500663
TSLA,1M,1359729000,2.544664,2.666664,2.253331,2.321998
TSLA,1M,1362148200,2.333331,2.632665,2.283331,2.525997
TSLA,1M,1364823000,2.823997,3.878662,2.680697,3.59933
TSLA,1M,1367415000,3.732664,7.659992,3.53333,6.517326
TSLA,1M,1370266200,6.507993,7.349993,5.883327,7.157326
TSLA,1M,1372685400,7.290659,9.165992,6.96666,8.951991
TSLA,1M,1375363800,8.999991,11.533322,8.823991,11.266655
