symbol,timeframe,time,open,high,low,close
NVDA,4H,1520001000,57.14,58.215,55.48,57.5125
NVDA,4H,1520015400,57.5425,59.195,57.3775,59.1375
NVDA,4H,1520260200,58.56,59.3125,57.39,59.0225
NVDA,4H,1520274600,59.005,59.2625,58.7225,58.9225
NVDA,4H,1520346600,59.795,60.725,59.35,60.515
NVDA,4H,1520361000,60.5125,60.5825,60.125,60.5375
NVDA,4H,1520433000,59.535,60.9775,59.5,60.1525
NVDA,4H,1520447400,60.15,60.54,60.02,60.4625
NVDA,4H,1520519400,60.7375,60.7375,59.855,60.0225
NVDA,4H,1520533800,60.0275,60.3575,59.8775,60.29
NVDA,4H,1520605800,60.7475,61.46,60.6275,60.965
NVDA,4H,1520620200,60.9675,61.325,60.81,61.3175
NVDA,4H,1520861400,61.7475,63.25,61.7175,62.89
NVDA,4H,1520875800,62.88,62.88,62.2875,62.4425
NVDA,4H,1520947800,62.8775,63.6225,61.77,62.715
NVDA,4H,1520962200,62.7225,62.79,61.5175,61.9225
NVDA,4H,1521034200,62.3625,62.63,61.565,62.075
NVDA,4H,1521048600,62.0825,62.355,61.73,62.1875
NVDA,4H,1521120600,62.485,63.15,62.045,62.2825
NVDA,4H,1521135000,62.2875,62.505,61.915,62.33
NVDA,4H,1521207000,62.5375,62.7025,62.135,62.405
NVDA,4H,1521221400,62.385,62.8075,62.355,62.61
NVDA,4H,1521466200,62.045,62.3025,59.4525,59.765
NVDA,4H,1521480600,59.785,60.305,59.26,60.2475
NVDA,4H,1521552600,60.35,61.9125,60.315,61.8575
NVDA,4H,1521567000,61.85,62.7825,61.755,62.385
NVDA,4H,1521639000,62.345,62.8825,61.8325,62.4875
NVDA,4H,1521653400,62.475,62.995,61.87,62.1525
NVDA,4H,1521725400,61.45,61.95,60.0875,61.6
NVDA,4H,1521739800,61.6175,61.71,60.4175,60.4275
NVDA,4H,1521811800,60.6,60.6675,58.2025,59.585
NVDA,4H,1521826200,59.6625,59.945,58.135,58.24
NVDA,4H,1522071000,59.5,60.4975,59,59.83
NVDA,4H,1522085400,59.8425,61.1325,59.6875,61.12
NVDA,4H,1522157400,61.96125,62.4975,58.1825,58.505
NVDA,4H,1522171800,58.5,59.105,54.97,56.375
NVDA,4H,1522243800,56.0825,57.3475,54.25,54.93
NVDA,4H,1522258200,55.035,55.71,54.75,55.35
NVDA,4H,1522330200,56.02625,57.4125,55.1825,57.395
NVDA,4H,1522344600,57.42,58.87,57.2925,58.0875
NVDA,4H,1522675800,57.18,58.64,55.3175,55.385
NVDA,4H,1522690200,55.3775,55.685,54.385,55.2075
NVDA,4H,1522762200,56.9525,57.585,55.585,56.2575
NVDA,4H,1522776600,56.27,56.73,55.3525,56.3825
NVDA,4H,1522848600,53.825,55.8675,53.5425,54.8425
NVDA,4H,1522863000,54.855,56.6625,54.785,56.545
NVDA,4H,1522935000,57.0575,57.245,54.83,55
NVDA,4H,1522949400,54.99375,55.6675,54.63,55.3425
NVDA,4H,1523021400,54.3625,55.3975,53.91,54.3625
NVDA,4H,1523035800,54.3425,54.4225,53.28,53.5425
NVDA,4H,1523280600,54.13,55.4575,53.65,55.2275
NVDA,4H,1523295000,55.2075,55.35,53.7875,53.8625
NVDA,4H,1523367000,56.16375,56.925,55.6275,56.525
NVDA,4H,1523381400,56.465,57.25,56.4225,56.97
NVDA,4H,1523453400,56.8275,57.24,56.24,56.8875
NVDA,4H,1523467800,56.8775,57.07,56.33,56.555
NVDA,4H,1523539800,57.495,58.74,57.0675,58.11
NVDA,4H,1523554200,58.075,58.825,58.03,58.66
NVDA,4H,1523626200,59.2925,59.3775,57.6925,58.5075
NVDA,4H,1523640600,58.555,58.5675,57.3925,57.8675
NVDA,4H,1523885400,58.01,58.1975,56.95,57.9075
NVDA,4H,1523899800,57.9275,58.1075,57.63,57.875
NVDA,4H,1523971800,58.3925,59.25,57.86,59.1575
NVDA,4H,1523986200,59.175,59.595,59.07,59.39
NVDA,4H,1524058200,58.8775,59.8,58.205,59.4175
NVDA,4H,1524072600,59.4425,59.5625,58.9575,59.0825
NVDA,4H,1524144600,57.9175,58.27,56.88,56.9875
NVDA,4H,1524159000,56.9825,57.4,56.7025,57.235
NVDA,4H,1524231000,57.185,58,56.9575,57.5575
NVDA,4H,1524245400,57.565,57.6,56.875,57.1625
NVDA,4H,1524490200,57.3625,57.845,56.1675,56.2775
NVDA,4H,1524504600,56.2225,56.35,55.7125,55.9675
NVDA,4H,1524576600,56.2525,57.1725,54.7975,55.155
NVDA,4H,1524591000,55.155,55.415,54.69,55.325
NVDA,4H,1524663000,55.0525,55.3875,52.585,54.1775
NVDA,4H,1524677400,54.18,54.4575,53.74,54.125
NVDA,4H,1524749400,55.8025,56.1275,55.16,55.8525
NVDA,4H,1524763800,55.8725,56.3875,55.7975,56.2925
NVDA,4H,1524835800,57.355,57.5675,56.155,56.555
NVDA,4H,1524850200,56.55,56.85,56.38,56.6
NVDA,4H,1525095000,56.745,57.25,56.055,56.26
NVDA,4H,1525109400,56.3,56.55,56.05,56.2325
NVDA,4H,1525181400,56.085,56.355,55.5525,55.86
NVDA,4H,1525195800,55.865,56.8125,55.7275,56.7675
NVDA,4H,1525267800,56.7725,57.1625,56.3275,56.8175
NVDA,4H,1525282200,56.8275,57.18,56.5275,56.58
NVDA,4H,1525354200,56.905,58.195,56.45,57.9475
NVDA,4H,1525368600,57.965,58.5025,57.915,58.275
NVDA,4H,1525440600,58,59.4775,57.7925,59.175
NVDA,4H,1525455000,59.145,59.79,59.145,59.775
NVDA,4H,1525699800,60.805,62.7475,60.7525,62.31
NVDA,4H,1525714200,62.3125,62.525,61.69,62.16
NVDA,4H,1525786200,62.185,62.605,61.6825,62.335
NVDA,4H,1525800600,62.375,62.6025,61.97,62.6025
NVDA,4H,1525872600,62.805,63.695,62.5475,63.4375
NVDA,4H,1525887000,63.42,63.9525,63.415,63.9525
NVDA,4H,1525959000,64.48,64.9725,64.3025,64.675
NVDA,4H,1525973400,64.635,65.1225,64.5,65.0725
